; Candidate 10315
; ADRP+ADD at VM 0xfffffff008ceb360 (fileoff 0x1ce7360): page=0x1fe688000 add_imm=0xe09

0xfffffff008ceb2e0: 00d03591  add	x0, x0, #0xd74
0xfffffff008ceb2e4: 010080d2  mov	x1, #0
0xfffffff008ceb2e8: 6a7bda97  bl	#0xfffffff00838a090
0xfffffff008ceb2ec: 010080d2  mov	x1, #0
0xfffffff008ceb2f0: f374da97  bl	#0xfffffff0083886bc
0xfffffff008ceb2f4: 200200b4  cbz	x0, #0xfffffff008ceb338
0xfffffff008ceb2f8: 100040f9  ldr	x16, [x0]
0xfffffff008ceb2fc: f10300aa  mov	x17, x0
0xfffffff008ceb300: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ceb304: 301ac1da  autda	x16, x17
0xfffffff008ceb308: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff008ceb30c: e90310aa  mov	x9, x16
0xfffffff008ceb310: 4234ff90  adrp	x2, #0xfffffff007373000
0xfffffff008ceb314: 42d03691  add	x2, x2, #0xdb4
0xfffffff008ceb318: e10313aa  mov	x1, x19
0xfffffff008ceb31c: f10309aa  mov	x17, x9
0xfffffff008ceb320: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008ceb324: 11093fd7  blraa	x8, x17
0xfffffff008ceb328: 00010037  tbnz	w0, #0, #0xfffffff008ceb348
0xfffffff008ceb32c: 4334ff90  adrp	x3, #0xfffffff007373000
0xfffffff008ceb330: 63883891  add	x3, x3, #0xe22
0xfffffff008ceb334: 03000014  b	#0xfffffff008ceb340
0xfffffff008ceb338: 4334ff90  adrp	x3, #0xfffffff007373000
0xfffffff008ceb33c: 636c3591  add	x3, x3, #0xd5b
0xfffffff008ceb340: 020080d2  mov	x2, #0
0xfffffff008ceb344: 7efbff97  bl	#0xfffffff008cea13c
0xfffffff008ceb348: 9f2403d5  bti	j
0xfffffff008ceb34c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ceb350: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ceb354: ffc30091  add	sp, sp, #0x30
0xfffffff008ceb358: ff0f5fd6  retab	
0xfffffff008ceb35c: f40300f9  str	x20, [sp]
0xfffffff008ceb360: 4034ff90  adrp	x0, #0xfffffff007373000
0xfffffff008ceb364: 00243891  add	x0, x0, #0xe09
0xfffffff008ceb368: 69a4de97  bl	#0xfffffff00849450c
0xfffffff008ceb36c: c4000000  udf	#0xc4
0xfffffff008ceb370: 0c000000  udf	#0xc
0xfffffff008ceb374: 54000000  udf	#0x54
0xfffffff008ceb378: 48000000  udf	#0x48
0xfffffff008ceb37c: 7f2303d5  pacibsp	
0xfffffff008ceb380: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ceb384: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ceb388: fd430091  add	x29, sp, #0x10
0xfffffff008ceb38c: f30301aa  mov	x19, x1
0xfffffff008ceb390: 40008052  mov	w0, #2
0xfffffff008ceb394: a3ffff97  bl	#0xfffffff008ceb220
0xfffffff008ceb398: e00313aa  mov	x0, x19
0xfffffff008ceb39c: 7c13c497  bl	#0xfffffff007df018c
0xfffffff008ceb3a0: 80000034  cbz	w0, #0xfffffff008ceb3b0
0xfffffff008ceb3a4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ceb3a8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ceb3ac: ff0f5fd6  retab	
0xfffffff008ceb3b0: c7250094  bl	#0xfffffff008cf4acc
0xfffffff008ceb3b4: 7f2303d5  pacibsp	
0xfffffff008ceb3b8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ceb3bc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ceb3c0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ceb3c4: fd830091  add	x29, sp, #0x20
0xfffffff008ceb3c8: ff0700f9  str	xzr, [sp, #8]
0xfffffff008ceb3cc: 08018052  mov	w8, #8
0xfffffff008ceb3d0: e80700b9  str	w8, [sp, #4]
0xfffffff008ceb3d4: a86eff90  adrp	x8, #0xfffffff007abf000
0xfffffff008ceb3d8: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff008ceb3dc: 010140f9  ldr	x1, [x8]
