; Candidate 8951
; ADRP+ADD at VM 0xfffffff0088fb944 (fileoff 0x18f7944): page=0x1fe975000 add_imm=0xd20

0xfffffff0088fb8c4: 28fdff97  bl	#0xfffffff0088fad64
0xfffffff0088fb8c8: 551000b4  cbz	x21, #0xfffffff0088fbad0
0xfffffff0088fb8cc: 40080036  tbz	w0, #0, #0xfffffff0088fb9d4
0xfffffff0088fb8d0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fb8d4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0088fb8d8: e8f30132  mov	w8, #-0x55555556
0xfffffff0088fb8dc: e82f00b9  str	w8, [sp, #0x2c]
0xfffffff0088fb8e0: e0c30091  add	x0, sp, #0x30
0xfffffff0088fb8e4: e1b30091  add	x1, sp, #0x2c
0xfffffff0088fb8e8: 8762d797  bl	#0xfffffff007ed4304
0xfffffff0088fb8ec: f41b40f9  ldr	x20, [sp, #0x30]
0xfffffff0088fb8f0: 700240f9  ldr	x16, [x19]
0xfffffff0088fb8f4: f10313aa  mov	x17, x19
0xfffffff0088fb8f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fb8fc: 301ac1da  autda	x16, x17
0xfffffff0088fb900: f10310aa  mov	x17, x16
0xfffffff0088fb904: f147c1da  xpacd	x17
0xfffffff0088fb908: 1f0211eb  cmp	x16, x17
0xfffffff0088fb90c: 40000054  b.eq	#0xfffffff0088fb914
0xfffffff0088fb910: 408e38d4  brk	#0xc472
0xfffffff0088fb914: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fb918: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fb91c: f52f40b9  ldr	w21, [sp, #0x2c]
0xfffffff0088fb920: e00313aa  mov	x0, x19
0xfffffff0088fb924: 010080d2  mov	x1, #0
0xfffffff0088fb928: f10308aa  mov	x17, x8
0xfffffff0088fb92c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fb930: 31093fd7  blraa	x9, x17
0xfffffff0088fb934: a84bffb0  adrp	x8, #0xfffffff007270000
0xfffffff0088fb938: 08253291  add	x8, x8, #0xc89
0xfffffff0088fb93c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fb940: f45700a9  stp	x20, x21, [sp]
0xfffffff0088fb944: a04bffb0  adrp	x0, #0xfffffff007270000
0xfffffff0088fb948: 00803491  add	x0, x0, #0xd20
0xfffffff0088fb94c: b56de997  bl	#0xfffffff008357020
0xfffffff0088fb950: 21000014  b	#0xfffffff0088fb9d4
0xfffffff0088fb954: 9f2403d5  bti	j
0xfffffff0088fb958: 700240f9  ldr	x16, [x19]
0xfffffff0088fb95c: f10313aa  mov	x17, x19
0xfffffff0088fb960: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fb964: 301ac1da  autda	x16, x17
0xfffffff0088fb968: 110a81d2  mov	x17, #0x850
0xfffffff0088fb96c: 1002118b  add	x16, x16, x17
0xfffffff0088fb970: 080240f9  ldr	x8, [x16]
0xfffffff0088fb974: e90310aa  mov	x9, x16
0xfffffff0088fb978: e00313aa  mov	x0, x19
0xfffffff0088fb97c: f10309aa  mov	x17, x9
0xfffffff0088fb980: 1198f2f2  movk	x17, #0x94c0, lsl #48
0xfffffff0088fb984: 11093fd7  blraa	x8, x17
0xfffffff0088fb988: 13000014  b	#0xfffffff0088fb9d4
0xfffffff0088fb98c: 9f2403d5  bti	j
0xfffffff0088fb990: 700240f9  ldr	x16, [x19]
0xfffffff0088fb994: f10313aa  mov	x17, x19
0xfffffff0088fb998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fb99c: 301ac1da  autda	x16, x17
0xfffffff0088fb9a0: 118680d2  mov	x17, #0x430
0xfffffff0088fb9a4: 1002118b  add	x16, x16, x17
0xfffffff0088fb9a8: 080240f9  ldr	x8, [x16]
0xfffffff0088fb9ac: e90310aa  mov	x9, x16
0xfffffff0088fb9b0: 2a019052  mov	w10, #0x8009
0xfffffff0088fb9b4: ea7fbc72  movk	w10, #0xe3ff, lsl #16
0xfffffff0088fb9b8: 41011f32  orr	w1, w10, #2
0xfffffff0088fb9bc: e00313aa  mov	x0, x19
0xfffffff0088fb9c0: 020080d2  mov	x2, #0
