; Candidate 15871
; ADRP+ADD at VM 0xfffffff009db4c34 (fileoff 0x2db0c34): page=0x608000 add_imm=0xd00

0xfffffff009db4bb4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009db4bb8: ffc30191  add	sp, sp, #0x70
0xfffffff009db4bbc: ff0f5fd6  retab	
0xfffffff009db4bc0: e8958052  mov	w8, #0x4af
0xfffffff009db4bc4: 09c6fed0  adrp	x9, #0xfffffff007676000
0xfffffff009db4bc8: 29a11191  add	x9, x9, #0x468
0xfffffff009db4bcc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009db4bd0: e8c5fe90  adrp	x8, #0xfffffff007670000
0xfffffff009db4bd4: 08693591  add	x8, x8, #0xd5a
0xfffffff009db4bd8: ff2301a9  stp	xzr, x8, [sp, #0x10]
0xfffffff009db4bdc: 08c6fed0  adrp	x8, #0xfffffff007676000
0xfffffff009db4be0: 082d1e91  add	x8, x8, #0x78b
0xfffffff009db4be4: e87f00a9  stp	x8, xzr, [sp]
0xfffffff009db4be8: c0c5fef0  adrp	x0, #0xfffffff00766f000
0xfffffff009db4bec: 00c03f91  add	x0, x0, #0xff0
0xfffffff009db4bf0: c1fafe90  adrp	x1, #0xfffffff007d0c000
0xfffffff009db4bf4: 211c46f9  ldr	x1, [x1, #0xc38]
0xfffffff009db4bf8: e3c6fe90  adrp	x3, #0xfffffff007690000
0xfffffff009db4bfc: 63982591  add	x3, x3, #0x966
0xfffffff009db4c00: 02008052  mov	w2, #0
0xfffffff009db4c04: 4bf99597  bl	#0xfffffff008333130
0xfffffff009db4c08: e7ffff17  b	#0xfffffff009db4ba4
0xfffffff009db4c0c: 5f2403d5  bti	c
0xfffffff009db4c10: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff009db4c14: c0035fd6  ret	
0xfffffff009db4c18: 5f2403d5  bti	c
0xfffffff009db4c1c: b6be9417  b	#0xfffffff0082e46f4
0xfffffff009db4c20: 5f2403d5  bti	c
0xfffffff009db4c24: b4be9417  b	#0xfffffff0082e46f4
0xfffffff009db4c28: 7f2303d5  pacibsp	
0xfffffff009db4c2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009db4c30: fd030091  mov	x29, sp
0xfffffff009db4c34: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4c38: 00003491  add	x0, x0, #0xd00
0xfffffff009db4c3c: 01c6fed0  adrp	x1, #0xfffffff007676000
0xfffffff009db4c40: 21d80f91  add	x1, x1, #0x3f6
0xfffffff009db4c44: 42300090  adrp	x2, #0xfffffff00a3bc000
0xfffffff009db4c48: 42e02691  add	x2, x2, #0x9b8
0xfffffff009db4c4c: 03268052  mov	w3, #0x130
0xfffffff009db4c50: babb9497  bl	#0xfffffff0082e3b38
0xfffffff009db4c54: 30fbfef0  adrp	x16, #0xfffffff007d1b000
0xfffffff009db4c58: 10221e91  add	x16, x16, #0x788
0xfffffff009db4c5c: 10420091  add	x16, x16, #0x10
0xfffffff009db4c60: f10300aa  mov	x17, x0
0xfffffff009db4c64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db4c68: 300ac1da  pacda	x16, x17
0xfffffff009db4c6c: 100000f9  str	x16, [x0]
0xfffffff009db4c70: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4c74: 00a03491  add	x0, x0, #0xd28
0xfffffff009db4c78: 01c6fed0  adrp	x1, #0xfffffff007676000
0xfffffff009db4c7c: 21441d91  add	x1, x1, #0x751
0xfffffff009db4c80: c2fafe90  adrp	x2, #0xfffffff007d0c000
0xfffffff009db4c84: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff009db4c88: 03068052  mov	w3, #0x30
0xfffffff009db4c8c: abbb9497  bl	#0xfffffff0082e3b38
0xfffffff009db4c90: 30fbfef0  adrp	x16, #0xfffffff007d1b000
0xfffffff009db4c94: 10e22291  add	x16, x16, #0x8b8
0xfffffff009db4c98: 10420091  add	x16, x16, #0x10
0xfffffff009db4c9c: f10300aa  mov	x17, x0
0xfffffff009db4ca0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db4ca4: 300ac1da  pacda	x16, x17
0xfffffff009db4ca8: 100000f9  str	x16, [x0]
0xfffffff009db4cac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009db4cb0: ff0f5fd6  retab	
