; Candidate 8591
; ADRP+ADD at VM 0xfffffff0088b3c38 (fileoff 0x18afc38): page=0x1fe960000 add_imm=0xe0f

0xfffffff0088b3bb8: e00315aa  mov	x0, x21
0xfffffff0088b3bbc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088b3bc0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088b3bc4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088b3bc8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088b3bcc: ff030291  add	sp, sp, #0x80
0xfffffff0088b3bd0: ff0f5fd6  retab	
0xfffffff0088b3bd4: 7f2303d5  pacibsp	
0xfffffff0088b3bd8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088b3bdc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088b3be0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088b3be4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088b3be8: fd430191  add	x29, sp, #0x50
0xfffffff0088b3bec: f30300aa  mov	x19, x0
0xfffffff0088b3bf0: 800d8052  mov	w0, #0x6c
0xfffffff0088b3bf4: 01018052  mov	w1, #8
0xfffffff0088b3bf8: f61eff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3bfc: 40020034  cbz	w0, #0xfffffff0088b3c44
0xfffffff0088b3c00: 800d8052  mov	w0, #0x6c
0xfffffff0088b3c04: 051fff97  bl	#0xfffffff00887b818
0xfffffff0088b3c08: f50300aa  mov	x21, x0
0xfffffff0088b3c0c: 68010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3c10: f40300aa  mov	x20, x0
0xfffffff0088b3c14: 00018052  mov	w0, #8
0xfffffff0088b3c18: 0e1fff97  bl	#0xfffffff00887b850
0xfffffff0088b3c1c: 95030034  cbz	w21, #0xfffffff0088b3c8c
0xfffffff0088b3c20: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3c24: 08050991  add	x8, x8, #0x241
0xfffffff0088b3c28: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3c2c: 880d8052  mov	w8, #0x6c
0xfffffff0088b3c30: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b3c34: f40300f9  str	x20, [sp]
0xfffffff0088b3c38: 004bff90  adrp	x0, #0xfffffff007213000
0xfffffff0088b3c3c: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088b3c40: 080ed497  bl	#0xfffffff007db7460
0xfffffff0088b3c44: b30400b4  cbz	x19, #0xfffffff0088b3cd8
0xfffffff0088b3c48: 600640f9  ldr	x0, [x19, #8]
0xfffffff0088b3c4c: 100040f9  ldr	x16, [x0]
0xfffffff0088b3c50: f10300aa  mov	x17, x0
0xfffffff0088b3c54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b3c58: 301ac1da  autda	x16, x17
0xfffffff0088b3c5c: 112780d2  mov	x17, #0x138
0xfffffff0088b3c60: 1002118b  add	x16, x16, x17
0xfffffff0088b3c64: 080240f9  ldr	x8, [x16]
0xfffffff0088b3c68: e90310aa  mov	x9, x16
0xfffffff0088b3c6c: f10309aa  mov	x17, x9
0xfffffff0088b3c70: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff0088b3c74: 11093fd7  blraa	x8, x17
0xfffffff0088b3c78: 14008052  mov	w20, #0
0xfffffff0088b3c7c: 681640b9  ldr	w8, [x19, #0x14]
0xfffffff0088b3c80: 08050011  add	w8, w8, #1
0xfffffff0088b3c84: 681600b9  str	w8, [x19, #0x14]
0xfffffff0088b3c88: 15000014  b	#0xfffffff0088b3cdc
0xfffffff0088b3c8c: 48010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3c90: f40300aa  mov	x20, x0
0xfffffff0088b3c94: 00018052  mov	w0, #8
0xfffffff0088b3c98: ee1eff97  bl	#0xfffffff00887b850
0xfffffff0088b3c9c: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3ca0: 08050991  add	x8, x8, #0x241
0xfffffff0088b3ca4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3ca8: 880d8052  mov	w8, #0x6c
0xfffffff0088b3cac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b3cb0: f40300f9  str	x20, [sp]
0xfffffff0088b3cb4: a049ffd0  adrp	x0, #0xfffffff0071e9000
