; Candidate 5553
; ADRP+ADD at VM 0xfffffff0087f8320 (fileoff 0x17f4320): page=0x1fea1e000 add_imm=0xd51

0xfffffff0087f82a0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f82a4: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f82a8: 08f53391  add	x8, x8, #0xcfd
0xfffffff0087f82ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f82b0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f82b4: e80e8052  mov	w8, #0x77
0xfffffff0087f82b8: e050ffd0  adrp	x0, #0xfffffff007216000
0xfffffff0087f82bc: 00643291  add	x0, x0, #0xc99
0xfffffff0087f82c0: 76000014  b	#0xfffffff0087f8498
0xfffffff0087f82c4: e00e8052  mov	w0, #0x77
0xfffffff0087f82c8: 81008052  mov	w1, #4
0xfffffff0087f82cc: 410d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f82d0: 80220034  cbz	w0, #0xfffffff0087f8720
0xfffffff0087f82d4: e00e8052  mov	w0, #0x77
0xfffffff0087f82d8: 500d0294  bl	#0xfffffff00887b818
0xfffffff0087f82dc: f50300aa  mov	x21, x0
0xfffffff0087f82e0: b3ef0294  bl	#0xfffffff0088b41ac
0xfffffff0087f82e4: f30300aa  mov	x19, x0
0xfffffff0087f82e8: 80008052  mov	w0, #4
0xfffffff0087f82ec: 590d0294  bl	#0xfffffff00887b850
0xfffffff0087f82f0: 15110034  cbz	w21, #0xfffffff0087f8510
0xfffffff0087f82f4: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff0087f82f8: 0ac540b9  ldr	w10, [x8, #0xc4]
0xfffffff0087f82fc: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8300: 08953391  add	x8, x8, #0xce5
0xfffffff0087f8304: 29ba8052  mov	w9, #0x5d1
0xfffffff0087f8308: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f830c: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8310: 08f53391  add	x8, x8, #0xcfd
0xfffffff0087f8314: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f8318: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f831c: e80e8052  mov	w8, #0x77
0xfffffff0087f8320: e050ffd0  adrp	x0, #0xfffffff007216000
0xfffffff0087f8324: 00443591  add	x0, x0, #0xd51
0xfffffff0087f8328: f32300a9  stp	x19, x8, [sp]
0xfffffff0087f832c: 5c000014  b	#0xfffffff0087f849c
0xfffffff0087f8330: e00e8052  mov	w0, #0x77
0xfffffff0087f8334: 81008052  mov	w1, #4
0xfffffff0087f8338: 260d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f833c: 201f0034  cbz	w0, #0xfffffff0087f8720
0xfffffff0087f8340: e00e8052  mov	w0, #0x77
0xfffffff0087f8344: 350d0294  bl	#0xfffffff00887b818
0xfffffff0087f8348: f60300aa  mov	x22, x0
0xfffffff0087f834c: 98ef0294  bl	#0xfffffff0088b41ac
0xfffffff0087f8350: f50300aa  mov	x21, x0
0xfffffff0087f8354: 80008052  mov	w0, #4
0xfffffff0087f8358: 3e0d0294  bl	#0xfffffff00887b850
0xfffffff0087f835c: d6100034  cbz	w22, #0xfffffff0087f8574
0xfffffff0087f8360: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff0087f8364: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f8368: 08c540b9  ldr	w8, [x8, #0xc4]
0xfffffff0087f836c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0087f8370: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087f8374: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8378: 08d93691  add	x8, x8, #0xdb6
0xfffffff0087f837c: e9ba8052  mov	w9, #0x5d7
0xfffffff0087f8380: 3f000014  b	#0xfffffff0087f847c
0xfffffff0087f8384: e00e8052  mov	w0, #0x77
0xfffffff0087f8388: 81008052  mov	w1, #4
0xfffffff0087f838c: 110d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f8390: 801c0034  cbz	w0, #0xfffffff0087f8720
0xfffffff0087f8394: e00e8052  mov	w0, #0x77
0xfffffff0087f8398: 200d0294  bl	#0xfffffff00887b818
0xfffffff0087f839c: f60300aa  mov	x22, x0
