; Candidate 6991
; ADRP+ADD at VM 0xfffffff00884ee74 (fileoff 0x184ae74): page=0x1fe99b000 add_imm=0xe80

0xfffffff00884edf4: 37020034  cbz	w23, #0xfffffff00884ee38
0xfffffff00884edf8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884edfc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884ee00: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884ee04: c84eff90  adrp	x8, #0xfffffff007226000
0xfffffff00884ee08: 09b11491  add	x9, x8, #0x52c
0xfffffff00884ee0c: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884ee10: 08811191  add	x8, x8, #0x460
0xfffffff00884ee14: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884ee18: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884ee1c: e80d8052  mov	w8, #0x6f
0xfffffff00884ee20: 204eff90  adrp	x0, #0xfffffff007212000
0xfffffff00884ee24: 000c2191  add	x0, x0, #0x843
0xfffffff00884ee28: f62300a9  stp	x22, x8, [sp]
0xfffffff00884ee2c: 8da1d597  bl	#0xfffffff007db7460
0xfffffff00884ee30: 540300b5  cbnz	x20, #0xfffffff00884ee98
0xfffffff00884ee34: 48000014  b	#0xfffffff00884ef54
0xfffffff00884ee38: dd940194  bl	#0xfffffff0088b41ac
0xfffffff00884ee3c: f60300aa  mov	x22, x0
0xfffffff00884ee40: e0008052  mov	w0, #7
0xfffffff00884ee44: 83b20094  bl	#0xfffffff00887b850
0xfffffff00884ee48: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884ee4c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884ee50: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884ee54: c84eff90  adrp	x8, #0xfffffff007226000
0xfffffff00884ee58: 09b11491  add	x9, x8, #0x52c
0xfffffff00884ee5c: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884ee60: 08811191  add	x8, x8, #0x460
0xfffffff00884ee64: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884ee68: e80d8052  mov	w8, #0x6f
0xfffffff00884ee6c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884ee70: f60300f9  str	x22, [sp]
0xfffffff00884ee74: c04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884ee78: 00003a91  add	x0, x0, #0xe80
0xfffffff00884ee7c: c18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884ee80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884ee84: 2350ff90  adrp	x3, #0xfffffff007252000
0xfffffff00884ee88: 633c1791  add	x3, x3, #0x5cf
0xfffffff00884ee8c: 02008052  mov	w2, #0
0xfffffff00884ee90: a890eb97  bl	#0xfffffff008333130
0xfffffff00884ee94: 140600b4  cbz	x20, #0xfffffff00884ef54
0xfffffff00884ee98: f50500b4  cbz	x21, #0xfffffff00884ef54
0xfffffff00884ee9c: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff00884eea0: 88224239  ldrb	w8, [x20, #0x88]
0xfffffff00884eea4: 68092037  tbnz	w8, #4, #0xfffffff00884efd0
0xfffffff00884eea8: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00884eeac: 1f0d0071  cmp	w8, #3
0xfffffff00884eeb0: a10d0054  b.ne	#0xfffffff00884f064
0xfffffff00884eeb4: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00884eeb8: a26301d1  sub	x2, x29, #0x58
0xfffffff00884eebc: 01098052  mov	w1, #0x48
0xfffffff00884eec0: 6da40094  bl	#0xfffffff008878074
0xfffffff00884eec4: 401d0034  cbz	w0, #0xfffffff00884f26c
0xfffffff00884eec8: f60300aa  mov	x22, x0
0xfffffff00884eecc: e00d8052  mov	w0, #0x6f
0xfffffff00884eed0: 81008052  mov	w1, #4
0xfffffff00884eed4: 3fb20094  bl	#0xfffffff00887b7d0
0xfffffff00884eed8: 80140034  cbz	w0, #0xfffffff00884f168
0xfffffff00884eedc: e00d8052  mov	w0, #0x6f
0xfffffff00884eee0: 4eb20094  bl	#0xfffffff00887b818
0xfffffff00884eee4: f80300aa  mov	x24, x0
0xfffffff00884eee8: b1940194  bl	#0xfffffff0088b41ac
0xfffffff00884eeec: f70300aa  mov	x23, x0
0xfffffff00884eef0: 80008052  mov	w0, #4
