; Candidate 10013
; ADRP+ADD at VM 0xfffffff008c68038 (fileoff 0x1c64038): page=0x167d000 add_imm=0xe30

0xfffffff008c67fb8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008c67fbc: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008c67fc0: ff430191  add	sp, sp, #0x50
0xfffffff008c67fc4: ff0f5fd6  retab	
0xfffffff008c67fc8: 5f2403d5  bti	c
0xfffffff008c67fcc: 006040f9  ldr	x0, [x0, #0xc0]
0xfffffff008c67fd0: c0035fd6  ret	
0xfffffff008c67fd4: 5f2403d5  bti	c
0xfffffff008c67fd8: 869bff17  b	#0xfffffff008c4edf0
0xfffffff008c67fdc: 7f2303d5  pacibsp	
0xfffffff008c67fe0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008c67fe4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008c67fe8: fd430091  add	x29, sp, #0x10
0xfffffff008c67fec: f30300aa  mov	x19, x0
0xfffffff008c67ff0: 809bff97  bl	#0xfffffff008c4edf0
0xfffffff008c67ff4: 0072ff90  adrp	x0, #0xfffffff007aa7000
0xfffffff008c67ff8: 00e01691  add	x0, x0, #0x5b8
0xfffffff008c67ffc: e10313aa  mov	x1, x19
0xfffffff008c68000: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008c68004: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008c68008: ff2303d5  autibsp	
0xfffffff008c6800c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008c68010: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008c68018
0xfffffff008c68014: 208e38d4  brk	#0xc471
0xfffffff008c68018: bdb9db17  b	#0xfffffff00835670c
0xfffffff008c6801c: 5f2403d5  bti	c
0xfffffff008c68020: 00200091  add	x0, x0, #8
0xfffffff008c68024: 017d8052  mov	w1, #0x3e8
0xfffffff008c68028: 8baaff17  b	#0xfffffff008c52a54
0xfffffff008c6802c: 7f2303d5  pacibsp	
0xfffffff008c68030: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c68034: fd030091  mov	x29, sp
0xfffffff008c68038: e0b300b0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c6803c: 00c03891  add	x0, x0, #0xe30
0xfffffff008c68040: e136ff90  adrp	x1, #0xfffffff007344000
0xfffffff008c68044: 214c3c91  add	x1, x1, #0xf13
0xfffffff008c68048: c271fff0  adrp	x2, #0xfffffff007aa3000
0xfffffff008c6804c: 42b045f9  ldr	x2, [x2, #0xb60]
0xfffffff008c68050: 03438052  mov	w3, #0x218
0xfffffff008c68054: b9eed997  bl	#0xfffffff0082e3b38
0xfffffff008c68058: f071ffb0  adrp	x16, #0xfffffff007aa5000
0xfffffff008c6805c: 10020991  add	x16, x16, #0x240
0xfffffff008c68060: 10420091  add	x16, x16, #0x10
0xfffffff008c68064: f10300aa  mov	x17, x0
0xfffffff008c68068: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c6806c: 300ac1da  pacda	x16, x17
0xfffffff008c68070: 100000f9  str	x16, [x0]
0xfffffff008c68074: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008c68078: ff0f5fd6  retab	
0xfffffff008c6807c: 5f2403d5  bti	c
0xfffffff008c68080: e0b300b0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c68084: 00c03891  add	x0, x0, #0xe30
0xfffffff008c68088: 9bf1d917  b	#0xfffffff0082e46f4
0xfffffff008c6808c: 5f2403d5  bti	c
0xfffffff008c68090: 000440f9  ldr	x0, [x0, #8]
0xfffffff008c68094: 85340214  b	#0xfffffff008cf52a8
0xfffffff008c68098: 7f2303d5  pacibsp	
0xfffffff008c6809c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008c680a0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008c680a4: fd430091  add	x29, sp, #0x10
0xfffffff008c680a8: f30300aa  mov	x19, x0
0xfffffff008c680ac: 01080029  stp	w1, w2, [x0]
0xfffffff008c680b0: 030400f9  str	x3, [x0, #8]
0xfffffff008c680b4: 630100b4  cbz	x3, #0xfffffff008c680e0
