; Candidate 14301
; ADRP+ADD at VM 0xfffffff00976040c (fileoff 0x275c40c): page=0xc2b000 add_imm=0xea8

0xfffffff00976038c: c00100b5  cbnz	x0, #0xfffffff0097603c4
0xfffffff009760390: 700240f9  ldr	x16, [x19]
0xfffffff009760394: f10313aa  mov	x17, x19
0xfffffff009760398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976039c: 301ac1da  autda	x16, x17
0xfffffff0097603a0: 113d80d2  mov	x17, #0x1e8
0xfffffff0097603a4: 1002118b  add	x16, x16, x17
0xfffffff0097603a8: 080240f9  ldr	x8, [x16]
0xfffffff0097603ac: e90310aa  mov	x9, x16
0xfffffff0097603b0: e00313aa  mov	x0, x19
0xfffffff0097603b4: 010080d2  mov	x1, #0
0xfffffff0097603b8: f10309aa  mov	x17, x9
0xfffffff0097603bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097603c0: 11093fd7  blraa	x8, x17
0xfffffff0097603c4: e00313aa  mov	x0, x19
0xfffffff0097603c8: a521fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097603cc: e00313aa  mov	x0, x19
0xfffffff0097603d0: a321fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097603d4: c00100b5  cbnz	x0, #0xfffffff00976040c
0xfffffff0097603d8: 700240f9  ldr	x16, [x19]
0xfffffff0097603dc: f10313aa  mov	x17, x19
0xfffffff0097603e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097603e4: 301ac1da  autda	x16, x17
0xfffffff0097603e8: 114380d2  mov	x17, #0x218
0xfffffff0097603ec: 1002118b  add	x16, x16, x17
0xfffffff0097603f0: 080240f9  ldr	x8, [x16]
0xfffffff0097603f4: e90310aa  mov	x9, x16
0xfffffff0097603f8: e00313aa  mov	x0, x19
0xfffffff0097603fc: 010080d2  mov	x1, #0
0xfffffff009760400: f10309aa  mov	x17, x9
0xfffffff009760404: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009760408: 11093fd7  blraa	x8, x17
0xfffffff00976040c: 406100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009760410: 00a03a91  add	x0, x0, #0xea8
0xfffffff009760414: 5111ae97  bl	#0xfffffff0082e4958
0xfffffff009760418: f40300aa  mov	x20, x0
0xfffffff00976041c: e00313aa  mov	x0, x19
0xfffffff009760420: 8f21fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760424: f50300aa  mov	x21, x0
0xfffffff009760428: e00100b5  cbnz	x0, #0xfffffff009760464
0xfffffff00976042c: 700240f9  ldr	x16, [x19]
0xfffffff009760430: f10313aa  mov	x17, x19
0xfffffff009760434: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009760438: 301ac1da  autda	x16, x17
0xfffffff00976043c: 113d80d2  mov	x17, #0x1e8
0xfffffff009760440: 1002118b  add	x16, x16, x17
0xfffffff009760444: 080240f9  ldr	x8, [x16]
0xfffffff009760448: e90310aa  mov	x9, x16
0xfffffff00976044c: e00313aa  mov	x0, x19
0xfffffff009760450: 010080d2  mov	x1, #0
0xfffffff009760454: f10309aa  mov	x17, x9
0xfffffff009760458: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976045c: 11093fd7  blraa	x8, x17
0xfffffff009760460: f50300aa  mov	x21, x0
0xfffffff009760464: e00313aa  mov	x0, x19
0xfffffff009760468: 7d21fd97  bl	#0xfffffff0096a8a5c
0xfffffff00976046c: f60300aa  mov	x22, x0
0xfffffff009760470: e00313aa  mov	x0, x19
0xfffffff009760474: 7a21fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760478: e80300aa  mov	x8, x0
0xfffffff00976047c: 77f1feb0  adrp	x23, #0xfffffff00758d000
0xfffffff009760480: f7c63491  add	x23, x23, #0xd31
0xfffffff009760484: e00317aa  mov	x0, x23
0xfffffff009760488: c80100b5  cbnz	x8, #0xfffffff0097604c0
