; Candidate 3030
; ADRP+ADD at VM 0xfffffff00870c994 (fileoff 0x1708994): page=0x1fea25000 add_imm=0xd90

0xfffffff00870c914: 18008052  mov	w24, #0
0xfffffff00870c918: 3c912a91  add	x28, x9, #0xaa4
0xfffffff00870c91c: e93e41b9  ldr	w9, [x23, #0x13c]
0xfffffff00870c920: 14598152  mov	w20, #0xac8
0xfffffff00870c924: ea0309aa  mov	x10, x9
0xfffffff00870c928: f40b00f9  str	x20, [sp, #0x10]
0xfffffff00870c92c: aa0a00b4  cbz	x10, #0xfffffff00870ca80
0xfffffff00870c930: 160080d2  mov	x22, #0
0xfffffff00870c934: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00870c938: 19585cf9  ldr	x25, [x0, #0x38b0]
0xfffffff00870c93c: 2a03148b  add	x10, x25, x20
0xfffffff00870c940: 4b694039  ldrb	w11, [x10, #0x1a]
0xfffffff00870c944: 4b090035  cbnz	w11, #0xfffffff00870ca6c
0xfffffff00870c948: 980b0079  strh	w24, [x28, #4]
0xfffffff00870c94c: 9f0f0079  strh	wzr, [x28, #6]
0xfffffff00870c950: 9b170079  strh	w27, [x28, #0xa]
0xfffffff00870c954: 481540b9  ldr	w8, [x10, #0x14]
0xfffffff00870c958: e90f40f9  ldr	x9, [sp, #0x18]
0xfffffff00870c95c: 2101088b  add	x1, x9, x8
0xfffffff00870c960: e2a30091  add	x2, sp, #0x28
0xfffffff00870c964: e3830091  add	x3, sp, #0x20
0xfffffff00870c968: 309aff97  bl	#0xfffffff0086f3228
0xfffffff00870c96c: 80090034  cbz	w0, #0xfffffff00870ca9c
0xfffffff00870c970: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00870c974: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff00870c978: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00870c97c: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00870c980: c90100b4  cbz	x9, #0xfffffff00870c9b8
0xfffffff00870c984: 29848052  mov	w9, #0x421
0xfffffff00870c988: 0852fff0  adrp	x8, #0xfffffff00714f000
0xfffffff00870c98c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00870c990: e82700a9  stp	x8, x9, [sp]
0xfffffff00870c994: 2051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00870c998: 00403691  add	x0, x0, #0xd90
0xfffffff00870c99c: 8197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870c9a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870c9a4: 02008052  mov	w2, #0
0xfffffff00870c9a8: 4351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff00870c9ac: 63043d91  add	x3, x3, #0xf41
0xfffffff00870c9b0: e099f097  bl	#0xfffffff008333130
0xfffffff00870c9b4: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff00870c9b8: a84228ab  adds	x8, x21, w8, uxtw
0xfffffff00870c9bc: 02070054  b.hs	#0xfffffff00870ca9c
0xfffffff00870c9c0: 881700b9  str	w8, [x28, #0x14]
0xfffffff00870c9c4: 2803148b  add	x8, x25, x20
0xfffffff00870c9c8: 091140b9  ldr	w9, [x8, #0x10]
0xfffffff00870c9cc: 891b00b9  str	w9, [x28, #0x18]
0xfffffff00870c9d0: 090140b9  ldr	w9, [x8]
0xfffffff00870c9d4: 2a1d0011  add	w10, w9, #7
0xfffffff00870c9d8: 3f010071  cmp	w9, #0
0xfffffff00870c9dc: 4ab1891a  csel	w10, w10, w9, lt
0xfffffff00870c9e0: 4a491353  lsl	w10, w10, #0xd
0xfffffff00870c9e4: 4a3d1012  and	w10, w10, #0xffff0000
0xfffffff00870c9e8: 0b0940b9  ldr	w11, [x8, #8]
0xfffffff00870c9ec: 6c1d0011  add	w12, w11, #7
0xfffffff00870c9f0: 7f010071  cmp	w11, #0
0xfffffff00870c9f4: 8cb18b1a  csel	w12, w12, w11, lt
0xfffffff00870c9f8: 4a0d8c2a  orr	w10, w10, w12, asr #3
0xfffffff00870c9fc: 8a1f00b9  str	w10, [x28, #0x1c]
0xfffffff00870ca00: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff00870ca04: 4c050051  sub	w12, w10, #1
0xfffffff00870ca08: 4a190011  add	w10, w10, #6
0xfffffff00870ca0c: 9f010071  cmp	w12, #0
0xfffffff00870ca10: 4ab18c1a  csel	w10, w10, w12, lt
