; Candidate 11062
; ADRP+ADD at VM 0xfffffff008e43fe4 (fileoff 0x1e3ffe4): page=0x1fe58f000 add_imm=0xdf9

0xfffffff008e43f64: 020080d2  mov	x2, #0
0xfffffff008e43f68: 030080d2  mov	x3, #0
0xfffffff008e43f6c: 040080d2  mov	x4, #0
0xfffffff008e43f70: 050080d2  mov	x5, #0
0xfffffff008e43f74: e4e7cc97  bl	#0xfffffff00817df04
0xfffffff008e43f78: f4f59f37  tbnz	w20, #0x13, #0xfffffff008e43e34
0xfffffff008e43f7c: beffff17  b	#0xfffffff008e43e74
0xfffffff008e43f80: b367bc97  bl	#0xfffffff007d5de4c
0xfffffff008e43f84: 28598152  mov	w8, #0xac9
0xfffffff008e43f88: e81300f9  str	x8, [sp, #0x20]
0xfffffff008e43f8c: 682cfff0  adrp	x8, #0xfffffff0073d2000
0xfffffff008e43f90: 08d93291  add	x8, x8, #0xcb6
0xfffffff008e43f94: 692cfff0  adrp	x9, #0xfffffff0073d2000
0xfffffff008e43f98: 29b53891  add	x9, x9, #0xe2d
0xfffffff008e43f9c: 0e000014  b	#0xfffffff008e43fd4
0xfffffff008e43fa0: 48598152  mov	w8, #0xaca
0xfffffff008e43fa4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008e43fa8: 682cfff0  adrp	x8, #0xfffffff0073d2000
0xfffffff008e43fac: 08d93291  add	x8, x8, #0xcb6
0xfffffff008e43fb0: 692cfff0  adrp	x9, #0xfffffff0073d2000
0xfffffff008e43fb4: 295d3991  add	x9, x9, #0xe57
0xfffffff008e43fb8: 07000014  b	#0xfffffff008e43fd4
0xfffffff008e43fbc: 68598152  mov	w8, #0xacb
0xfffffff008e43fc0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008e43fc4: 682cfff0  adrp	x8, #0xfffffff0073d2000
0xfffffff008e43fc8: 08d93291  add	x8, x8, #0xcb6
0xfffffff008e43fcc: 692cfff0  adrp	x9, #0xfffffff0073d2000
0xfffffff008e43fd0: 29893991  add	x9, x9, #0xe62
0xfffffff008e43fd4: 6a2cfff0  adrp	x10, #0xfffffff0073d2000
0xfffffff008e43fd8: 4a853891  add	x10, x10, #0xe21
0xfffffff008e43fdc: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff008e43fe0: ea2700a9  stp	x10, x9, [sp]
0xfffffff008e43fe4: 602cfff0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e43fe8: 00e43791  add	x0, x0, #0xdf9
0xfffffff008e43fec: 4841d997  bl	#0xfffffff00849450c
0xfffffff008e43ff0: 687f1053  lsr	w8, w27, #0x10
0xfffffff008e43ff4: 693f0012  and	w9, w27, #0xffff
0xfffffff008e43ff8: aa2f7229  ldp	w10, w11, [x29, #-0x70]
0xfffffff008e43ffc: ac8359b8  ldur	w12, [x29, #-0x68]
0xfffffff008e44000: 4d518152  mov	w13, #0xa8a
0xfffffff008e44004: 6e2cffd0  adrp	x14, #0xfffffff0073d2000
0xfffffff008e44008: ced93291  add	x14, x14, #0xcb6
0xfffffff008e4400c: eeb707a9  stp	x14, x13, [sp, #0x78]
0xfffffff008e44010: ebb306a9  stp	x11, x12, [sp, #0x68]
0xfffffff008e44014: ea3300f9  str	x10, [sp, #0x60]
0xfffffff008e44018: ea4740f9  ldr	x10, [sp, #0x88]
0xfffffff008e4401c: eb03182a  mov	w11, w24
0xfffffff008e44020: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff008e44024: ea03172a  mov	w10, w23
0xfffffff008e44028: eb4b40f9  ldr	x11, [sp, #0x90]
0xfffffff008e4402c: eb2b04a9  stp	x11, x10, [sp, #0x40]
0xfffffff008e44030: ea4f40f9  ldr	x10, [sp, #0x98]
0xfffffff008e44034: ab0357f8  ldur	x11, [x29, #-0x90]
0xfffffff008e44038: eb2b03a9  stp	x11, x10, [sp, #0x30]
0xfffffff008e4403c: aaaf77a9  ldp	x10, x11, [x29, #-0x88]
0xfffffff008e44040: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff008e44044: aa8358f8  ldur	x10, [x29, #-0x78]
0xfffffff008e44048: f42b01a9  stp	x20, x10, [sp, #0x10]
0xfffffff008e4404c: 602cffd0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e44050: 00702f91  add	x0, x0, #0xbdc
0xfffffff008e44054: e82700a9  stp	x8, x9, [sp]
0xfffffff008e44058: 2d41d997  bl	#0xfffffff00849450c
0xfffffff008e4405c: 88568152  mov	w8, #0xab4
0xfffffff008e44060: 692cffd0  adrp	x9, #0xfffffff0073d2000
