; Candidate 14294
; ADRP+ADD at VM 0xfffffff00975f5d4 (fileoff 0x275b5d4): page=0xc2c000 add_imm=0xea8

0xfffffff00975f554: c00100b5  cbnz	x0, #0xfffffff00975f58c
0xfffffff00975f558: 700240f9  ldr	x16, [x19]
0xfffffff00975f55c: f10313aa  mov	x17, x19
0xfffffff00975f560: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975f564: 301ac1da  autda	x16, x17
0xfffffff00975f568: 113d80d2  mov	x17, #0x1e8
0xfffffff00975f56c: 1002118b  add	x16, x16, x17
0xfffffff00975f570: 080240f9  ldr	x8, [x16]
0xfffffff00975f574: e90310aa  mov	x9, x16
0xfffffff00975f578: e00313aa  mov	x0, x19
0xfffffff00975f57c: 010080d2  mov	x1, #0
0xfffffff00975f580: f10309aa  mov	x17, x9
0xfffffff00975f584: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975f588: 11093fd7  blraa	x8, x17
0xfffffff00975f58c: e00313aa  mov	x0, x19
0xfffffff00975f590: 3325fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f594: e00313aa  mov	x0, x19
0xfffffff00975f598: 3125fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f59c: c00100b5  cbnz	x0, #0xfffffff00975f5d4
0xfffffff00975f5a0: 700240f9  ldr	x16, [x19]
0xfffffff00975f5a4: f10313aa  mov	x17, x19
0xfffffff00975f5a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975f5ac: 301ac1da  autda	x16, x17
0xfffffff00975f5b0: 114380d2  mov	x17, #0x218
0xfffffff00975f5b4: 1002118b  add	x16, x16, x17
0xfffffff00975f5b8: 080240f9  ldr	x8, [x16]
0xfffffff00975f5bc: e90310aa  mov	x9, x16
0xfffffff00975f5c0: e00313aa  mov	x0, x19
0xfffffff00975f5c4: 010080d2  mov	x1, #0
0xfffffff00975f5c8: f10309aa  mov	x17, x9
0xfffffff00975f5cc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975f5d0: 11093fd7  blraa	x8, x17
0xfffffff00975f5d4: 60610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975f5d8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975f5dc: df14ae97  bl	#0xfffffff0082e4958
0xfffffff00975f5e0: f50300aa  mov	x21, x0
0xfffffff00975f5e4: e00313aa  mov	x0, x19
0xfffffff00975f5e8: 1d25fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f5ec: f60300aa  mov	x22, x0
0xfffffff00975f5f0: e00100b5  cbnz	x0, #0xfffffff00975f62c
0xfffffff00975f5f4: 700240f9  ldr	x16, [x19]
0xfffffff00975f5f8: f10313aa  mov	x17, x19
0xfffffff00975f5fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975f600: 301ac1da  autda	x16, x17
0xfffffff00975f604: 113d80d2  mov	x17, #0x1e8
0xfffffff00975f608: 1002118b  add	x16, x16, x17
0xfffffff00975f60c: 080240f9  ldr	x8, [x16]
0xfffffff00975f610: e90310aa  mov	x9, x16
0xfffffff00975f614: e00313aa  mov	x0, x19
0xfffffff00975f618: 010080d2  mov	x1, #0
0xfffffff00975f61c: f10309aa  mov	x17, x9
0xfffffff00975f620: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975f624: 11093fd7  blraa	x8, x17
0xfffffff00975f628: f60300aa  mov	x22, x0
0xfffffff00975f62c: e00313aa  mov	x0, x19
0xfffffff00975f630: 0b25fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975f634: 77f1fed0  adrp	x23, #0xfffffff00758d000
0xfffffff00975f638: f7c63491  add	x23, x23, #0xd31
0xfffffff00975f63c: 68f1fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00975f640: 08c93491  add	x8, x8, #0xd32
0xfffffff00975f644: 1f0000f1  cmp	x0, #0
0xfffffff00975f648: 1801979a  csel	x24, x8, x23, eq
0xfffffff00975f64c: e00313aa  mov	x0, x19
0xfffffff00975f650: 0325fd97  bl	#0xfffffff0096a8a5c
