; Candidate 16424
; ADRP+ADD at VM 0xfffffff009e9cd2c (fileoff 0x2e98d2c): page=0x1fd998000 add_imm=0xe04

0xfffffff009e9ccac: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff009e9ccb0: e82f00f9  str	x8, [sp, #0x58]
0xfffffff009e9ccb4: 03000014  b	#0xfffffff009e9ccc0
0xfffffff009e9ccb8: e83300f9  str	x8, [sp, #0x60]
0xfffffff009e9ccbc: fa0308aa  mov	x26, x8
0xfffffff009e9ccc0: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009e9ccc4: ce467c97  bl	#0xfffffff007dae7fc
0xfffffff009e9ccc8: 770000b4  cbz	x23, #0xfffffff009e9ccd4
0xfffffff009e9cccc: e0820291  add	x0, x23, #0xa0
0xfffffff009e9ccd0: cb467c97  bl	#0xfffffff007dae7fc
0xfffffff009e9ccd4: 760000b4  cbz	x22, #0xfffffff009e9cce0
0xfffffff009e9ccd8: 28008052  mov	w8, #1
0xfffffff009e9ccdc: c8020039  strb	w8, [x22]
0xfffffff009e9cce0: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff009e9cce4: 010080d2  mov	x1, #0
0xfffffff009e9cce8: f68b45a9  ldp	x22, x2, [sp, #0x58]
0xfffffff009e9ccec: e30316aa  mov	x3, x22
0xfffffff009e9ccf0: e4031aaa  mov	x4, x26
0xfffffff009e9ccf4: 050080d2  mov	x5, #0
0xfffffff009e9ccf8: e60315aa  mov	x6, x21
0xfffffff009e9ccfc: 3d6a8197  bl	#0xfffffff007ef75f0
0xfffffff009e9cd00: c06fff34  cbz	w0, #0xfffffff009e9baf8
0xfffffff009e9cd04: 083e8452  mov	w8, #0x21f0
0xfffffff009e9cd08: 8802088b  add	x8, x20, x8
0xfffffff009e9cd0c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e9cd10: ea3340f9  ldr	x10, [sp, #0x60]
0xfffffff009e9cd14: ea0303a9  stp	x10, x0, [sp, #0x30]
0xfffffff009e9cd18: f62702a9  stp	x22, x9, [sp, #0x20]
0xfffffff009e9cd1c: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009e9cd20: c8ccfe90  adrp	x8, #0xfffffff007834000
0xfffffff009e9cd24: 08153291  add	x8, x8, #0xc85
0xfffffff009e9cd28: 499e8452  mov	w9, #0x24f2
0xfffffff009e9cd2c: c0ccfe90  adrp	x0, #0xfffffff007834000
0xfffffff009e9cd30: 00103891  add	x0, x0, #0xe04
0xfffffff009e9cd34: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9cd38: e38aff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9cd3c: 6ffbff17  b	#0xfffffff009e9baf8
0xfffffff009e9cd40: c8290090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e9cd44: 08816939  ldrb	w8, [x8, #0xa60]
0xfffffff009e9cd48: 00010012  and	w0, w8, #1
0xfffffff009e9cd4c: e8ccfe90  adrp	x8, #0xfffffff007838000
0xfffffff009e9cd50: 09211291  add	x9, x8, #0x488
0xfffffff009e9cd54: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff009e9cd58: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e9cd5c: 481a8b52  mov	w8, #0x58d2
0xfffffff009e9cd60: f62300a9  stp	x22, x8, [sp]
0xfffffff009e9cd64: 21cefeb0  adrp	x1, #0xfffffff007861000
0xfffffff009e9cd68: 21b00691  add	x1, x1, #0x1ac
0xfffffff009e9cd6c: e18aff97  bl	#0xfffffff009e7f8f0
0xfffffff009e9cd70: e00317aa  mov	x0, x23
0xfffffff009e9cd74: a2467c97  bl	#0xfffffff007dae7fc
0xfffffff009e9cd78: 0800b052  mov	w8, #-0xffffffff80000000
0xfffffff009e9cd7c: 3f03086b  cmp	w25, w8
0xfffffff009e9cd80: e0170054  b.eq	#0xfffffff009e9d07c
0xfffffff009e9cd84: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e9cd88: f56702a9  stp	x21, x25, [sp, #0x20]
0xfffffff009e9cd8c: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff009e9cd90: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e9cd94: 69e38a52  mov	w9, #0x571b
0xfffffff009e9cd98: e8ccfe90  adrp	x8, #0xfffffff007838000
0xfffffff009e9cd9c: 08850891  add	x8, x8, #0x221
0xfffffff009e9cda0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9cda4: e0ccfe90  adrp	x0, #0xfffffff007838000
0xfffffff009e9cda8: 00b00891  add	x0, x0, #0x22c
