; Candidate 8113
; ADRP+ADD at VM 0xfffffff008895f30 (fileoff 0x1891f30): page=0x1fe954000 add_imm=0xe80

0xfffffff008895eb0: 5a96ff97  bl	#0xfffffff00887b818
0xfffffff008895eb4: f60300aa  mov	x22, x0
0xfffffff008895eb8: bd780094  bl	#0xfffffff0088b41ac
0xfffffff008895ebc: f50300aa  mov	x21, x0
0xfffffff008895ec0: 80008052  mov	w0, #4
0xfffffff008895ec4: 6396ff97  bl	#0xfffffff00887b850
0xfffffff008895ec8: 160e0034  cbz	w22, #0xfffffff008896088
0xfffffff008895ecc: e80240f9  ldr	x8, [x23]
0xfffffff008895ed0: f82300f9  str	x24, [sp, #0x40]
0xfffffff008895ed4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895ed8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895edc: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895ee0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895ee4: 49328152  mov	w9, #0x992
0xfffffff008895ee8: c2fdff17  b	#0xfffffff0088955f0
0xfffffff008895eec: b0780094  bl	#0xfffffff0088b41ac
0xfffffff008895ef0: f50300aa  mov	x21, x0
0xfffffff008895ef4: 80008052  mov	w0, #4
0xfffffff008895ef8: 5696ff97  bl	#0xfffffff00887b850
0xfffffff008895efc: e80240f9  ldr	x8, [x23]
0xfffffff008895f00: f82300f9  str	x24, [sp, #0x40]
0xfffffff008895f04: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895f08: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895f0c: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895f10: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895f14: 492c8152  mov	w9, #0x962
0xfffffff008895f18: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895f1c: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895f20: 08651d91  add	x8, x8, #0x759
0xfffffff008895f24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895f28: 88098052  mov	w8, #0x4c
0xfffffff008895f2c: f52300a9  stp	x21, x8, [sp]
0xfffffff008895f30: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895f34: 00003a91  add	x0, x0, #0xe80
0xfffffff008895f38: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895f3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895f40: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895f44: 632c1691  add	x3, x3, #0x58b
0xfffffff008895f48: 02008052  mov	w2, #0
0xfffffff008895f4c: 7974ea97  bl	#0xfffffff008333130
0xfffffff008895f50: 8bfdff17  b	#0xfffffff00889557c
0xfffffff008895f54: 96780094  bl	#0xfffffff0088b41ac
0xfffffff008895f58: f50300aa  mov	x21, x0
0xfffffff008895f5c: 80008052  mov	w0, #4
0xfffffff008895f60: 3c96ff97  bl	#0xfffffff00887b850
0xfffffff008895f64: e80240f9  ldr	x8, [x23]
0xfffffff008895f68: f82300f9  str	x24, [sp, #0x40]
0xfffffff008895f6c: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895f70: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895f74: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895f78: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895f7c: e92d8152  mov	w9, #0x96f
0xfffffff008895f80: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895f84: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895f88: 08651d91  add	x8, x8, #0x759
0xfffffff008895f8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895f90: 88098052  mov	w8, #0x4c
0xfffffff008895f94: f52300a9  stp	x21, x8, [sp]
0xfffffff008895f98: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895f9c: 00003a91  add	x0, x0, #0xe80
0xfffffff008895fa0: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895fa4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895fa8: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895fac: 63281791  add	x3, x3, #0x5ca
