; Candidate 10286
; ADRP+ADD at VM 0xfffffff008cd27cc (fileoff 0x1cce7cc): page=0x1fe694000 add_imm=0xd51

0xfffffff008cd274c: 486fffb0  adrp	x8, #0xfffffff007abb000
0xfffffff008cd2750: 08f145f9  ldr	x8, [x8, #0xbe0]
0xfffffff008cd2754: 09810a91  add	x9, x8, #0x2a0
0xfffffff008cd2758: 085141f9  ldr	x8, [x8, #0x2a0]
0xfffffff008cd275c: e00318aa  mov	x0, x24
0xfffffff008cd2760: e10317aa  mov	x1, x23
0xfffffff008cd2764: e20316aa  mov	x2, x22
0xfffffff008cd2768: e30315aa  mov	x3, x21
0xfffffff008cd276c: e40313aa  mov	x4, x19
0xfffffff008cd2770: f10309aa  mov	x17, x9
0xfffffff008cd2774: 5196f8f2  movk	x17, #0xc4b2, lsl #48
0xfffffff008cd2778: 11093fd7  blraa	x8, x17
0xfffffff008cd277c: f40300aa  mov	x20, x0
0xfffffff008cd2780: 00010035  cbnz	w0, #0xfffffff008cd27a0
0xfffffff008cd2784: e00314aa  mov	x0, x20
0xfffffff008cd2788: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008cd278c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008cd2790: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008cd2794: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008cd2798: ffc30191  add	sp, sp, #0x70
0xfffffff008cd279c: ff0f5fd6  retab	
0xfffffff008cd27a0: 887e4093  sxtw	x8, w20
0xfffffff008cd27a4: 094e8052  mov	w9, #0x270
0xfffffff008cd27a8: aa34ff90  adrp	x10, #0xfffffff007366000
0xfffffff008cd27ac: 4a513691  add	x10, x10, #0xd94
0xfffffff008cd27b0: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008cd27b4: a934ffb0  adrp	x9, #0xfffffff007367000
0xfffffff008cd27b8: 29510291  add	x9, x9, #0x94
0xfffffff008cd27bc: aa34ff90  adrp	x10, #0xfffffff007366000
0xfffffff008cd27c0: 4a193691  add	x10, x10, #0xd86
0xfffffff008cd27c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff008cd27c8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008cd27cc: a034ff90  adrp	x0, #0xfffffff007366000
0xfffffff008cd27d0: 00443591  add	x0, x0, #0xd51
0xfffffff008cd27d4: 2393c397  bl	#0xfffffff007db7460
0xfffffff008cd27d8: ebffff17  b	#0xfffffff008cd2784
0xfffffff008cd27dc: f40300aa  mov	x20, x0
0xfffffff008cd27e0: 887e4093  sxtw	x8, w20
0xfffffff008cd27e4: 894d8052  mov	w9, #0x26c
0xfffffff008cd27e8: aa34ff90  adrp	x10, #0xfffffff007366000
0xfffffff008cd27ec: 4a513691  add	x10, x10, #0xd94
0xfffffff008cd27f0: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008cd27f4: a934ffb0  adrp	x9, #0xfffffff007367000
0xfffffff008cd27f8: 29a10191  add	x9, x9, #0x68
0xfffffff008cd27fc: aa34ff90  adrp	x10, #0xfffffff007366000
0xfffffff008cd2800: 4a193691  add	x10, x10, #0xd86
0xfffffff008cd2804: ea2700a9  stp	x10, x9, [sp]
0xfffffff008cd2808: e81300f9  str	x8, [sp, #0x20]
0xfffffff008cd280c: a034ff90  adrp	x0, #0xfffffff007366000
0xfffffff008cd2810: 00443591  add	x0, x0, #0xd51
0xfffffff008cd2814: 1393c397  bl	#0xfffffff007db7460
0xfffffff008cd2818: dbffff17  b	#0xfffffff008cd2784
0xfffffff008cd281c: 7f2303d5  pacibsp	
0xfffffff008cd2820: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008cd2824: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008cd2828: fd430091  add	x29, sp, #0x10
0xfffffff008cd282c: f30300aa  mov	x19, x0
0xfffffff008cd2830: 40008052  mov	w0, #2
0xfffffff008cd2834: c34bd997  bl	#0xfffffff008325740
0xfffffff008cd2838: 608600f9  str	x0, [x19, #0x108]
0xfffffff008cd283c: 00008052  mov	w0, #0
0xfffffff008cd2840: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008cd2844: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008cd2848: ff0f5fd6  retab	
