; Candidate 9138
; ADRP+ADD at VM 0xfffffff0089fc5c4 (fileoff 0x19f85c4): page=0x1fe898000 add_imm=0xdf4

0xfffffff0089fc544: 7ec0ce97  bl	#0xfffffff007dac73c
0xfffffff0089fc548: bb0240f9  ldr	x27, [x21]
0xfffffff0089fc54c: 7f0315eb  cmp	x27, x21
0xfffffff0089fc550: c0f7ff54  b.eq	#0xfffffff0089fc448
0xfffffff0089fc554: 60230091  add	x0, x27, #8
0xfffffff0089fc558: 619be397  bl	#0xfffffff0082e32dc
0xfffffff0089fc55c: 7b0f40f9  ldr	x27, [x27, #0x18]
0xfffffff0089fc560: fbffff17  b	#0xfffffff0089fc54c
0xfffffff0089fc564: c844ffd0  adrp	x8, #0xfffffff007296000
0xfffffff0089fc568: 08ed0991  add	x8, x8, #0x27b
0xfffffff0089fc56c: c9338052  mov	w9, #0x19e
0xfffffff0089fc570: ca44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089fc574: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fc578: cb44ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089fc57c: 6bd52291  add	x11, x11, #0x8b5
0xfffffff0089fc580: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fc584: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fc588: eb0300f9  str	x11, [sp]
0xfffffff0089fc58c: c044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089fc590: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fc594: b3ebce97  bl	#0xfffffff007db7460
0xfffffff0089fc598: c7ffff17  b	#0xfffffff0089fc4b4
0xfffffff0089fc59c: c844ffd0  adrp	x8, #0xfffffff007296000
0xfffffff0089fc5a0: 08ed0991  add	x8, x8, #0x27b
0xfffffff0089fc5a4: c9368052  mov	w9, #0x1b6
0xfffffff0089fc5a8: ca44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089fc5ac: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fc5b0: cb44ffd0  adrp	x11, #0xfffffff007296000
0xfffffff0089fc5b4: 6b550d91  add	x11, x11, #0x355
0xfffffff0089fc5b8: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fc5bc: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fc5c0: eb0300f9  str	x11, [sp]
0xfffffff0089fc5c4: c044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089fc5c8: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fc5cc: a5ebce97  bl	#0xfffffff007db7460
0xfffffff0089fc5d0: e00317aa  mov	x0, x23
0xfffffff0089fc5d4: e10318aa  mov	x1, x24
0xfffffff0089fc5d8: 84ddff97  bl	#0xfffffff0089f3be8
0xfffffff0089fc5dc: a9ffff17  b	#0xfffffff0089fc480
0xfffffff0089fc5e0: 7f2303d5  pacibsp	
0xfffffff0089fc5e4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0089fc5e8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0089fc5ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0089fc5f0: fd830091  add	x29, sp, #0x20
0xfffffff0089fc5f4: f30303aa  mov	x19, x3
0xfffffff0089fc5f8: f50302aa  mov	x21, x2
0xfffffff0089fc5fc: f60301aa  mov	x22, x1
0xfffffff0089fc600: f40300aa  mov	x20, x0
0xfffffff0089fc604: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff0089fc608: 31bdce97  bl	#0xfffffff007dabacc
0xfffffff0089fc60c: d6000034  cbz	w22, #0xfffffff0089fc624
0xfffffff0089fc610: e00314aa  mov	x0, x20
0xfffffff0089fc614: 21008052  mov	w1, #1
0xfffffff0089fc618: f2dcff97  bl	#0xfffffff0089f39e0
0xfffffff0089fc61c: 550000b4  cbz	x21, #0xfffffff0089fc624
0xfffffff0089fc620: a0020039  strb	w0, [x21]
0xfffffff0089fc624: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff0089fc628: 680200b4  cbz	x8, #0xfffffff0089fc674
0xfffffff0089fc62c: 958e40f8  ldr	x21, [x20, #8]!
0xfffffff0089fc630: a90e40f9  ldr	x9, [x21, #0x18]
0xfffffff0089fc634: 2a810091  add	x10, x9, #0x20
0xfffffff0089fc638: 8b220091  add	x11, x20, #8
0xfffffff0089fc63c: 9f0209eb  cmp	x20, x9
0xfffffff0089fc640: 6a018a9a  csel	x10, x11, x10, eq
