; Candidate 5384
; ADRP+ADD at VM 0xfffffff0087ebe8c (fileoff 0x17e7e8c): page=0x1fe9fe000 add_imm=0xe80

0xfffffff0087ebe0c: 0c000014  b	#0xfffffff0087ebe3c
0xfffffff0087ebe10: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff0087ebe14: 1f011b72  tst	w8, #0x20
0xfffffff0087ebe18: e8179f1a  cset	w8, eq
0xfffffff0087ebe1c: 0900080a  and	w9, w0, w8
0xfffffff0087ebe20: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087ebe24: 08c94db9  ldr	w8, [x8, #0xdc8]
0xfffffff0087ebe28: 3f050071  cmp	w9, #1
0xfffffff0087ebe2c: e1020054  b.ne	#0xfffffff0087ebe88
0xfffffff0087ebe30: e80300f9  str	x8, [sp]
0xfffffff0087ebe34: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087ebe38: 00901891  add	x0, x0, #0x624
0xfffffff0087ebe3c: 892dd797  bl	#0xfffffff007db7460
0xfffffff0087ebe40: 1b000014  b	#0xfffffff0087ebeac
0xfffffff0087ebe44: da200394  bl	#0xfffffff0088b41ac
0xfffffff0087ebe48: f50300aa  mov	x21, x0
0xfffffff0087ebe4c: e00314aa  mov	x0, x20
0xfffffff0087ebe50: 803e0294  bl	#0xfffffff00887b850
0xfffffff0087ebe54: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087ebe58: 08c94db9  ldr	w8, [x8, #0xdc8]
0xfffffff0087ebe5c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ebe60: f54f00a9  stp	x21, x19, [sp]
0xfffffff0087ebe64: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ebe68: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ebe6c: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ebe70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ebe74: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087ebe78: 63ac3a91  add	x3, x3, #0xeab
0xfffffff0087ebe7c: 02008052  mov	w2, #0
0xfffffff0087ebe80: ac1ced97  bl	#0xfffffff008333130
0xfffffff0087ebe84: 0a000014  b	#0xfffffff0087ebeac
0xfffffff0087ebe88: e80300f9  str	x8, [sp]
0xfffffff0087ebe8c: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ebe90: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ebe94: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ebe98: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ebe9c: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087ebea0: 63483a91  add	x3, x3, #0xe92
0xfffffff0087ebea4: 02008052  mov	w2, #0
0xfffffff0087ebea8: a21ced97  bl	#0xfffffff008333130
0xfffffff0087ebeac: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087ebeb0: e990ffb0  adrp	x9, #0xfffffff007a08000
0xfffffff0087ebeb4: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087ebeb8: 290140f9  ldr	x9, [x9]
0xfffffff0087ebebc: 3f0108eb  cmp	x9, x8
0xfffffff0087ebec0: 41010054  b.ne	#0xfffffff0087ebee8
0xfffffff0087ebec4: 00008052  mov	w0, #0
0xfffffff0087ebec8: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0087ebecc: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0087ebed0: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0087ebed4: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0087ebed8: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0087ebedc: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0087ebee0: ff430591  add	sp, sp, #0x150
0xfffffff0087ebee4: ff0f5fd6  retab	
0xfffffff0087ebee8: d9c7d597  bl	#0xfffffff007d5de4c
0xfffffff0087ebeec: 5f2403d5  bti	c
0xfffffff0087ebef0: 08008052  mov	w8, #0
0xfffffff0087ebef4: 0924c81a  lsr	w9, w0, w8
0xfffffff0087ebef8: 89000037  tbnz	w9, #0, #0xfffffff0087ebf08
0xfffffff0087ebefc: 08050011  add	w8, w8, #1
0xfffffff0087ebf00: 1f810071  cmp	w8, #0x20
0xfffffff0087ebf04: 81ffff54  b.ne	#0xfffffff0087ebef4
0xfffffff0087ebf08: 29008052  mov	w9, #1
