; Candidate 8596
; ADRP+ADD at VM 0xfffffff0088b5af8 (fileoff 0x18b1af8): page=0x1fe934000 add_imm=0xe80

0xfffffff0088b5a78: 09008052  mov	w9, #0
0xfffffff0088b5a7c: 30000014  b	#0xfffffff0088b5b3c
0xfffffff0088b5a80: 80088052  mov	w0, #0x44
0xfffffff0088b5a84: 81008052  mov	w1, #4
0xfffffff0088b5a88: 5217ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b5a8c: 60040034  cbz	w0, #0xfffffff0088b5b18
0xfffffff0088b5a90: 80088052  mov	w0, #0x44
0xfffffff0088b5a94: 6117ff97  bl	#0xfffffff00887b818
0xfffffff0088b5a98: f50300aa  mov	x21, x0
0xfffffff0088b5a9c: c4f9ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5aa0: f40300aa  mov	x20, x0
0xfffffff0088b5aa4: 80008052  mov	w0, #4
0xfffffff0088b5aa8: 6a17ff97  bl	#0xfffffff00887b850
0xfffffff0088b5aac: 55010034  cbz	w21, #0xfffffff0088b5ad4
0xfffffff0088b5ab0: 68a64629  ldp	w8, w9, [x19, #0x34]
0xfffffff0088b5ab4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b5ab8: 88088052  mov	w8, #0x44
0xfffffff0088b5abc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b5ac0: f40300f9  str	x20, [sp]
0xfffffff0088b5ac4: 004cff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b5ac8: 00b80d91  add	x0, x0, #0x36e
0xfffffff0088b5acc: 6506d497  bl	#0xfffffff007db7460
0xfffffff0088b5ad0: 12000014  b	#0xfffffff0088b5b18
0xfffffff0088b5ad4: b6f9ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5ad8: f40300aa  mov	x20, x0
0xfffffff0088b5adc: 80008052  mov	w0, #4
0xfffffff0088b5ae0: 5c17ff97  bl	#0xfffffff00887b850
0xfffffff0088b5ae4: 68a64629  ldp	w8, w9, [x19, #0x34]
0xfffffff0088b5ae8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b5aec: 88088052  mov	w8, #0x44
0xfffffff0088b5af0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b5af4: f40300f9  str	x20, [sp]
0xfffffff0088b5af8: a049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b5afc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b5b00: 818afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b5b04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b5b08: 834dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b5b0c: 63140291  add	x3, x3, #0x85
0xfffffff0088b5b10: 02008052  mov	w2, #0
0xfffffff0088b5b14: 87f5e997  bl	#0xfffffff008333130
0xfffffff0088b5b18: 4004000f  movi	v0.2s, #2
0xfffffff0088b5b1c: 606603fd  str	d0, [x19, #0x6c8]
0xfffffff0088b5b20: 683640b9  ldr	w8, [x19, #0x34]
0xfffffff0088b5b24: 68010034  cbz	w8, #0xfffffff0088b5b50
0xfffffff0088b5b28: 48008052  mov	w8, #2
0xfffffff0088b5b2c: 49008052  mov	w9, #2
0xfffffff0088b5b30: 05000014  b	#0xfffffff0088b5b44
0xfffffff0088b5b34: 28008052  mov	w8, #1
0xfffffff0088b5b38: 29008052  mov	w9, #1
0xfffffff0088b5b3c: 68ca06b9  str	w8, [x19, #0x6c8]
0xfffffff0088b5b40: 69ce06b9  str	w9, [x19, #0x6cc]
0xfffffff0088b5b44: 6a3a40b9  ldr	w10, [x19, #0x38]
0xfffffff0088b5b48: 5f050071  cmp	w10, #1
0xfffffff0088b5b4c: a1000054  b.ne	#0xfffffff0088b5b60
0xfffffff0088b5b50: 08008052  mov	w8, #0
0xfffffff0088b5b54: 7f0200b9  str	wzr, [x19]
0xfffffff0088b5b58: 7fd206b9  str	wzr, [x19, #0x6d0]
0xfffffff0088b5b5c: 06000014  b	#0xfffffff0088b5b74
0xfffffff0088b5b60: 0a028052  mov	w10, #0x10
0xfffffff0088b5b64: 4809c81a  udiv	w8, w10, w8
0xfffffff0088b5b68: 68d206b9  str	w8, [x19, #0x6d0]
0xfffffff0088b5b6c: 4909c91a  udiv	w9, w10, w9
0xfffffff0088b5b70: 690200b9  str	w9, [x19]
0xfffffff0088b5b74: 60c243fc  ldur	d0, [x19, #0x3c]
