; Candidate 373
; ADRP+ADD at VM 0xfffffff007ec9e98 (fileoff 0xec5e98): page=0x1ff18e000 add_imm=0xe9c

0xfffffff007ec9e18: ea5b00a9  stp	x10, x22, [sp]
0xfffffff007ec9e1c: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9e20: 00703891  add	x0, x0, #0xe1c
0xfffffff007ec9e24: ba291794  bl	#0xfffffff00849450c
0xfffffff007ec9e28: 087c8552  mov	w8, #0x2be0
0xfffffff007ec9e2c: 298cfff0  adrp	x9, #0xfffffff007050000
0xfffffff007ec9e30: 29cd3c91  add	x9, x9, #0xf33
0xfffffff007ec9e34: 4a8cffb0  adrp	x10, #0xfffffff007052000
0xfffffff007ec9e38: 4af51e91  add	x10, x10, #0x7bd
0xfffffff007ec9e3c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ec9e40: ea0300a9  stp	x10, x0, [sp]
0xfffffff007ec9e44: 408cffb0  adrp	x0, #0xfffffff007052000
0xfffffff007ec9e48: 00841e91  add	x0, x0, #0x7a1
0xfffffff007ec9e4c: b0291794  bl	#0xfffffff00849450c
0xfffffff007ec9e50: b5531794  bl	#0xfffffff00849ed24
0xfffffff007ec9e54: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007ec9e58: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007ec9e5c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007ec9e60: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007ec9e64: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007ec9e68: ffc30191  add	sp, sp, #0x70
0xfffffff007ec9e6c: ff2303d5  autibsp	
0xfffffff007ec9e70: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007ec9e74: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007ec9e7c
0xfffffff007ec9e78: 208e38d4  brk	#0xc471
0xfffffff007ec9e7c: 2d1b0014  b	#0xfffffff007ed0b30
0xfffffff007ec9e80: 9f2403d5  bti	j
0xfffffff007ec9e84: 084a8052  mov	w8, #0x250
0xfffffff007ec9e88: 698cffd0  adrp	x9, #0xfffffff007057000
0xfffffff007ec9e8c: 29493491  add	x9, x9, #0xd12
0xfffffff007ec9e90: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ec9e94: f40300f9  str	x20, [sp]
0xfffffff007ec9e98: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9e9c: 00703a91  add	x0, x0, #0xe9c
0xfffffff007ec9ea0: 9b291794  bl	#0xfffffff00849450c
0xfffffff007ec9ea4: 0c000000  udf	#0xc
0xfffffff007ec9ea8: 1c000000  udf	#0x1c
0xfffffff007ec9eac: 1c010000  udf	#0x11c
0xfffffff007ec9eb0: 2c000000  udf	#0x2c
0xfffffff007ec9eb4: 1c010000  udf	#0x11c
0xfffffff007ec9eb8: 1c010000  udf	#0x11c
0xfffffff007ec9ebc: 1c010000  udf	#0x11c
0xfffffff007ec9ec0: 3c000000  udf	#0x3c
0xfffffff007ec9ec4: 1c010000  udf	#0x11c
0xfffffff007ec9ec8: 1c010000  udf	#0x11c
0xfffffff007ec9ecc: 1c010000  udf	#0x11c
0xfffffff007ec9ed0: 1c010000  udf	#0x11c
0xfffffff007ec9ed4: 1c010000  udf	#0x11c
0xfffffff007ec9ed8: 1c010000  udf	#0x11c
0xfffffff007ec9edc: 1c010000  udf	#0x11c
0xfffffff007ec9ee0: 4c000000  udf	#0x4c
0xfffffff007ec9ee4: 5f2403d5  bti	c
0xfffffff007ec9ee8: e103012a  mov	w1, w1
0xfffffff007ec9eec: 020080d2  mov	x2, #0
0xfffffff007ec9ef0: 23008052  mov	w3, #1
0xfffffff007ec9ef4: 50ffff17  b	#0xfffffff007ec9c34
0xfffffff007ec9ef8: 5f2403d5  bti	c
0xfffffff007ec9efc: e103012a  mov	w1, w1
0xfffffff007ec9f00: 020080d2  mov	x2, #0
0xfffffff007ec9f04: 43008052  mov	w3, #2
0xfffffff007ec9f08: 4bffff17  b	#0xfffffff007ec9c34
0xfffffff007ec9f0c: 5f2403d5  bti	c
0xfffffff007ec9f10: e103012a  mov	w1, w1
0xfffffff007ec9f14: 020080d2  mov	x2, #0
