; Candidate 14092
; ADRP+ADD at VM 0xfffffff0096fa454 (fileoff 0x26f6454): page=0x1fde96000 add_imm=0xd7f

0xfffffff0096fa3d4: f10300aa  mov	x17, x0
0xfffffff0096fa3d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa3dc: 301ac1da  autda	x16, x17
0xfffffff0096fa3e0: 113d80d2  mov	x17, #0x1e8
0xfffffff0096fa3e4: 1002118b  add	x16, x16, x17
0xfffffff0096fa3e8: 080240f9  ldr	x8, [x16]
0xfffffff0096fa3ec: e90310aa  mov	x9, x16
0xfffffff0096fa3f0: 010080d2  mov	x1, #0
0xfffffff0096fa3f4: f10309aa  mov	x17, x9
0xfffffff0096fa3f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096fa3fc: 11093fd7  blraa	x8, x17
0xfffffff0096fa400: f70300aa  mov	x23, x0
0xfffffff0096fa404: 50000014  b	#0xfffffff0096fa544
0xfffffff0096fa408: 98f4fef0  adrp	x24, #0xfffffff00758d000
0xfffffff0096fa40c: 187f1f91  add	x24, x24, #0x7df
0xfffffff0096fa410: 700240f9  ldr	x16, [x19]
0xfffffff0096fa414: f10313aa  mov	x17, x19
0xfffffff0096fa418: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa41c: 301ac1da  autda	x16, x17
0xfffffff0096fa420: 118e80d2  mov	x17, #0x470
0xfffffff0096fa424: 1002118b  add	x16, x16, x17
0xfffffff0096fa428: 080240f9  ldr	x8, [x16]
0xfffffff0096fa42c: e90310aa  mov	x9, x16
0xfffffff0096fa430: e00313aa  mov	x0, x19
0xfffffff0096fa434: e10316aa  mov	x1, x22
0xfffffff0096fa438: f10309aa  mov	x17, x9
0xfffffff0096fa43c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0096fa440: 11093fd7  blraa	x8, x17
0xfffffff0096fa444: 88f4fed0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fa448: 081d0291  add	x8, x8, #0x87
0xfffffff0096fa44c: f80301a9  stp	x24, x0, [sp, #0x10]
0xfffffff0096fa450: f72300a9  stp	x23, x8, [sp]
0xfffffff0096fa454: a0f4fed0  adrp	x0, #0xfffffff007590000
0xfffffff0096fa458: 00fc3591  add	x0, x0, #0xd7f
0xfffffff0096fa45c: f172b197  bl	#0xfffffff008357020
0xfffffff0096fa460: b00240f9  ldr	x16, [x21]
0xfffffff0096fa464: f10315aa  mov	x17, x21
0xfffffff0096fa468: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa46c: 301ac1da  autda	x16, x17
0xfffffff0096fa470: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0096fa474: e90310aa  mov	x9, x16
0xfffffff0096fa478: e00315aa  mov	x0, x21
0xfffffff0096fa47c: f10309aa  mov	x17, x9
0xfffffff0096fa480: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0096fa484: 11093fd7  blraa	x8, x17
0xfffffff0096fa488: 93ffff17  b	#0xfffffff0096fa2d4
0xfffffff0096fa48c: 62a20691  add	x2, x19, #0x1a8
0xfffffff0096fa490: 00129a52  mov	w0, #0xd090
0xfffffff0096fa494: 6000a072  movk	w0, #3, lsl #16
0xfffffff0096fa498: 017d8052  mov	w1, #0x3e8
0xfffffff0096fa49c: 10699f97  bl	#0xfffffff007ed48dc
0xfffffff0096fa4a0: 10000090  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fa4a4: 10c21f91  add	x16, x16, #0x7f0
0xfffffff0096fa4a8: 519a80d2  mov	x17, #0x4d2
0xfffffff0096fa4ac: 3002c1da  pacia	x16, x17
0xfffffff0096fa4b0: e00310aa  mov	x0, x16
0xfffffff0096fa4b4: e10313aa  mov	x1, x19
0xfffffff0096fa4b8: 020080d2  mov	x2, #0
0xfffffff0096fa4bc: 6093b597  bl	#0xfffffff00845f23c
0xfffffff0096fa4c0: 60ea00f9  str	x0, [x19, #0x1d0]
0xfffffff0096fa4c4: 68224739  ldrb	w8, [x19, #0x1c8]
0xfffffff0096fa4c8: c8010034  cbz	w8, #0xfffffff0096fa500
0xfffffff0096fa4cc: 700240f9  ldr	x16, [x19]
0xfffffff0096fa4d0: f10313aa  mov	x17, x19
