; Candidate 7221
; ADRP+ADD at VM 0xfffffff008860dc4 (fileoff 0x185cdc4): page=0x1fe989000 add_imm=0xe80

0xfffffff008860d44: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008860d48: 680c8052  mov	w8, #0x63
0xfffffff008860d4c: 404eff90  adrp	x0, #0xfffffff007228000
0xfffffff008860d50: 00982791  add	x0, x0, #0x9e6
0xfffffff008860d54: f62300a9  stp	x22, x8, [sp]
0xfffffff008860d58: c259d597  bl	#0xfffffff007db7460
0xfffffff008860d5c: 20000014  b	#0xfffffff008860ddc
0xfffffff008860d60: 134d0194  bl	#0xfffffff0088b41ac
0xfffffff008860d64: f60300aa  mov	x22, x0
0xfffffff008860d68: c0008052  mov	w0, #6
0xfffffff008860d6c: b96a0094  bl	#0xfffffff00887b850
0xfffffff008860d70: e8031caa  mov	x8, x28
0xfffffff008860d74: e83f00f9  str	x8, [sp, #0x78]
0xfffffff008860d78: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008860d7c: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008860d80: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008860d84: fa2306a9  stp	x26, x8, [sp, #0x60]
0xfffffff008860d88: f92f00f9  str	x25, [sp, #0x58]
0xfffffff008860d8c: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008860d90: f8a304a9  stp	x24, x8, [sp, #0x48]
0xfffffff008860d94: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff008860d98: f3ef02a9  stp	x19, x27, [sp, #0x28]
0xfffffff008860d9c: 884dffb0  adrp	x8, #0xfffffff007211000
0xfffffff008860da0: 09892c91  add	x9, x8, #0xb22
0xfffffff008860da4: 284efff0  adrp	x8, #0xfffffff007227000
0xfffffff008860da8: 08811191  add	x8, x8, #0x460
0xfffffff008860dac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008860db0: 680c8052  mov	w8, #0x63
0xfffffff008860db4: a34fffd0  adrp	x3, #0xfffffff007256000
0xfffffff008860db8: 63481191  add	x3, x3, #0x452
0xfffffff008860dbc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008860dc0: f60300f9  str	x22, [sp]
0xfffffff008860dc4: 404cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008860dc8: 00003a91  add	x0, x0, #0xe80
0xfffffff008860dcc: 418dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008860dd0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008860dd4: 02008052  mov	w2, #0
0xfffffff008860dd8: d648eb97  bl	#0xfffffff008333130
0xfffffff008860ddc: e0031caa  mov	x0, x28
0xfffffff008860de0: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff008860de4: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff008860de8: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff008860dec: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff008860df0: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff008860df4: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff008860df8: ff830491  add	sp, sp, #0x120
0xfffffff008860dfc: ff0f5fd6  retab	
0xfffffff008860e00: eb4c0194  bl	#0xfffffff0088b41ac
0xfffffff008860e04: f60300aa  mov	x22, x0
0xfffffff008860e08: a0008052  mov	w0, #5
0xfffffff008860e0c: 916a0094  bl	#0xfffffff00887b850
0xfffffff008860e10: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff008860e14: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008860e18: e8031aaa  mov	x8, x26
0xfffffff008860e1c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008860e20: 88118052  mov	w8, #0x8c
0xfffffff008860e24: 894dffb0  adrp	x9, #0xfffffff007211000
0xfffffff008860e28: 29892c91  add	x9, x9, #0xb22
0xfffffff008860e2c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008860e30: 284efff0  adrp	x8, #0xfffffff007227000
0xfffffff008860e34: 08811191  add	x8, x8, #0x460
0xfffffff008860e38: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008860e3c: 680c8052  mov	w8, #0x63
0xfffffff008860e40: f62300a9  stp	x22, x8, [sp]
