; Candidate 12976
; ADRP+ADD at VM 0xfffffff0091a326c (fileoff 0x219f26c): page=0x1173000 add_imm=0xdc8

0xfffffff0091a31ec: 002c803d  str	q0, [x0, #0xb0]
0xfffffff0091a31f0: 1f6000f9  str	xzr, [x0, #0xc0]
0xfffffff0091a31f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091a31f8: ff0f5fd6  retab	
0xfffffff0091a31fc: 5f2403d5  bti	c
0xfffffff0091a3200: 5083c717  b	#0xfffffff008383f40
0xfffffff0091a3204: 5f2403d5  bti	c
0xfffffff0091a3208: 4e83c717  b	#0xfffffff008383f40
0xfffffff0091a320c: 7f2303d5  pacibsp	
0xfffffff0091a3210: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0091a3214: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091a3218: fd430091  add	x29, sp, #0x10
0xfffffff0091a321c: f30300aa  mov	x19, x0
0xfffffff0091a3220: 4883c797  bl	#0xfffffff008383f40
0xfffffff0091a3224: e04effd0  adrp	x0, #0xfffffff007b81000
0xfffffff0091a3228: 00200b91  add	x0, x0, #0x2c8
0xfffffff0091a322c: e10313aa  mov	x1, x19
0xfffffff0091a3230: 02198052  mov	w2, #0xc8
0xfffffff0091a3234: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091a3238: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091a323c: ff2303d5  autibsp	
0xfffffff0091a3240: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091a3244: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091a324c
0xfffffff0091a3248: 208e38d4  brk	#0xc471
0xfffffff0091a324c: 1411c517  b	#0xfffffff0082e769c
0xfffffff0091a3250: 5f2403d5  bti	c
0xfffffff0091a3254: e20301aa  mov	x2, x1
0xfffffff0091a3258: e10300aa  mov	x1, x0
0xfffffff0091a325c: e04effd0  adrp	x0, #0xfffffff007b81000
0xfffffff0091a3260: 00200b91  add	x0, x0, #0x2c8
0xfffffff0091a3264: 0e11c517  b	#0xfffffff0082e769c
0xfffffff0091a3268: 5f2403d5  bti	c
0xfffffff0091a326c: 808b00f0  adrp	x0, #0xfffffff00a316000
0xfffffff0091a3270: 00203791  add	x0, x0, #0xdc8
0xfffffff0091a3274: c0035fd6  ret	
0xfffffff0091a3278: 7f2303d5  pacibsp	
0xfffffff0091a327c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091a3280: fd030091  mov	x29, sp
0xfffffff0091a3284: a117ff90  adrp	x1, #0xfffffff007497000
0xfffffff0091a3288: 21081c91  add	x1, x1, #0x702
0xfffffff0091a328c: 424eff90  adrp	x2, #0xfffffff007b6b000
0xfffffff0091a3290: 42b440f9  ldr	x2, [x2, #0x168]
0xfffffff0091a3294: 03198052  mov	w3, #0xc8
0xfffffff0091a3298: 2802c597  bl	#0xfffffff0082e3b38
0xfffffff0091a329c: 904effd0  adrp	x16, #0xfffffff007b75000
0xfffffff0091a32a0: 10421291  add	x16, x16, #0x490
0xfffffff0091a32a4: 10420091  add	x16, x16, #0x10
0xfffffff0091a32a8: f10300aa  mov	x17, x0
0xfffffff0091a32ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a32b0: 300ac1da  pacda	x16, x17
0xfffffff0091a32b4: 100000f9  str	x16, [x0]
0xfffffff0091a32b8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091a32bc: ff0f5fd6  retab	
0xfffffff0091a32c0: 7f2303d5  pacibsp	
0xfffffff0091a32c4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091a32c8: fd030091  mov	x29, sp
0xfffffff0091a32cc: e04effd0  adrp	x0, #0xfffffff007b81000
0xfffffff0091a32d0: 00200b91  add	x0, x0, #0x2c8
0xfffffff0091a32d4: 01198052  mov	w1, #0xc8
0xfffffff0091a32d8: d810c597  bl	#0xfffffff0082e7638
0xfffffff0091a32dc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091a32e0: ff2303d5  autibsp	
0xfffffff0091a32e4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091a32e8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091a32f0
