; Candidate 16399
; ADRP+ADD at VM 0xfffffff009e84e70 (fileoff 0x2e80e70): page=0x1fd9b3000 add_imm=0xcec

0xfffffff009e84df0: 812240f9  ldr	x1, [x20, #0x40]
0xfffffff009e84df4: e00313aa  mov	x0, x19
0xfffffff009e84df8: 38810194  bl	#0xfffffff009ee52d8
0xfffffff009e84dfc: e00314aa  mov	x0, x20
0xfffffff009e84e00: 32af0194  bl	#0xfffffff009ef0ac8
0xfffffff009e84e04: f80300aa  mov	x24, x0
0xfffffff009e84e08: b6035af8  ldur	x22, [x29, #-0x60]
0xfffffff009e84e0c: c00300b4  cbz	x0, #0xfffffff009e84e84
0xfffffff009e84e10: 010b40f9  ldr	x1, [x24, #0x10]
0xfffffff009e84e14: e00313aa  mov	x0, x19
0xfffffff009e84e18: e20316aa  mov	x2, x22
0xfffffff009e84e1c: 94a70194  bl	#0xfffffff009eeec6c
0xfffffff009e84e20: e09b00b9  str	w0, [sp, #0x98]
0xfffffff009e84e24: 00050034  cbz	w0, #0xfffffff009e84ec4
0xfffffff009e84e28: 083e8452  mov	w8, #0x21f0
0xfffffff009e84e2c: 6802088b  add	x8, x19, x8
0xfffffff009e84e30: 090b40f9  ldr	x9, [x24, #0x10]
0xfffffff009e84e34: 8a2240f9  ldr	x10, [x20, #0x40]
0xfffffff009e84e38: 1fa80171  cmp	w0, #0x6a
0xfffffff009e84e3c: 88040054  b.hi	#0xfffffff009e84ecc
0xfffffff009e84e40: 8bf5fe90  adrp	x11, #0xfffffff007d34000
0xfffffff009e84e44: 6b011191  add	x11, x11, #0x440
0xfffffff009e84e48: 6b5960f8  ldr	x11, [x11, w0, uxtw #3]
0xfffffff009e84e4c: 22000014  b	#0xfffffff009e84ed4
0xfffffff009e84e50: 2acefed0  adrp	x10, #0xfffffff00784a000
0xfffffff009e84e54: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009e84e58: e02b02a9  stp	x0, x10, [sp, #0x20]
0xfffffff009e84e5c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e84e60: 88cdfef0  adrp	x8, #0xfffffff007837000
0xfffffff009e84e64: 084d3391  add	x8, x8, #0xcd3
0xfffffff009e84e68: e9008a52  mov	w9, #0x5007
0xfffffff009e84e6c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e84e70: 80cdfef0  adrp	x0, #0xfffffff007837000
0xfffffff009e84e74: 00b03391  add	x0, x0, #0xcec
0xfffffff009e84e78: 72eaff97  bl	#0xfffffff009e7f840
0xfffffff009e84e7c: 180080d2  mov	x24, #0
0xfffffff009e84e80: 37000014  b	#0xfffffff009e84f5c
0xfffffff009e84e84: e3630291  add	x3, sp, #0x98
0xfffffff009e84e88: e00313aa  mov	x0, x19
0xfffffff009e84e8c: e10314aa  mov	x1, x20
0xfffffff009e84e90: e20316aa  mov	x2, x22
0xfffffff009e84e94: b0b10194  bl	#0xfffffff009ef1554
0xfffffff009e84e98: e89b40b9  ldr	w8, [sp, #0x98]
0xfffffff009e84e9c: 08030034  cbz	w8, #0xfffffff009e84efc
0xfffffff009e84ea0: 093e8452  mov	w9, #0x21f0
0xfffffff009e84ea4: 6902098b  add	x9, x19, x9
0xfffffff009e84ea8: 8a0640f9  ldr	x10, [x20, #8]
0xfffffff009e84eac: 1fa90171  cmp	w8, #0x6a
0xfffffff009e84eb0: a8020054  b.hi	#0xfffffff009e84f04
0xfffffff009e84eb4: 8bf5fe90  adrp	x11, #0xfffffff007d34000
0xfffffff009e84eb8: 6b011191  add	x11, x11, #0x440
0xfffffff009e84ebc: 6b7968f8  ldr	x11, [x11, x8, lsl #3]
0xfffffff009e84ec0: 13000014  b	#0xfffffff009e84f0c
0xfffffff009e84ec4: 180b40f9  ldr	x24, [x24, #0x10]
0xfffffff009e84ec8: 1b000014  b	#0xfffffff009e84f34
0xfffffff009e84ecc: 2bcefed0  adrp	x11, #0xfffffff00784a000
0xfffffff009e84ed0: 6b9d0691  add	x11, x11, #0x1a7
0xfffffff009e84ed4: e0af02a9  stp	x0, x11, [sp, #0x28]
0xfffffff009e84ed8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e84edc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e84ee0: 88cdfef0  adrp	x8, #0xfffffff007837000
0xfffffff009e84ee4: 084d3391  add	x8, x8, #0xcd3
0xfffffff009e84ee8: 89038a52  mov	w9, #0x501c
0xfffffff009e84eec: 80cdfef0  adrp	x0, #0xfffffff007837000
