; Candidate 15663
; ADRP+ADD at VM 0xfffffff009c86e6c (fileoff 0x2c82e6c): page=0x1fe072000 add_imm=0xd38

0xfffffff009c86dec: 11093fd7  blraa	x8, x17
0xfffffff009c86df0: d87b9997  bl	#0xfffffff0082e5d50
0xfffffff009c86df4: 1f040071  cmp	w0, #1
0xfffffff009c86df8: a9000054  b.ls	#0xfffffff009c86e0c
0xfffffff009c86dfc: 00008052  mov	w0, #0
0xfffffff009c86e00: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c86e04: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c86e08: ff0f5fd6  retab	
0xfffffff009c86e0c: 10000094  bl	#0xfffffff009c86e4c
0xfffffff009c86e10: 8803ffd0  adrp	x8, #0xfffffff007cf8000
0xfffffff009c86e14: 086d43f9  ldr	x8, [x8, #0x6d8]
0xfffffff009c86e18: 02010b91  add	x2, x8, #0x2c0
0xfffffff009c86e1c: 106141f9  ldr	x16, [x8, #0x2c0]
0xfffffff009c86e20: e00314aa  mov	x0, x20
0xfffffff009c86e24: e10313aa  mov	x1, x19
0xfffffff009c86e28: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c86e2c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c86e30: ff2303d5  autibsp	
0xfffffff009c86e34: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009c86e38: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009c86e40
0xfffffff009c86e3c: 208e38d4  brk	#0xc471
0xfffffff009c86e40: f10302aa  mov	x17, x2
0xfffffff009c86e44: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009c86e48: 110a1fd7  braa	x16, x17
0xfffffff009c86e4c: 7f2303d5  pacibsp	
0xfffffff009c86e50: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c86e54: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c86e58: fd430091  add	x29, sp, #0x10
0xfffffff009c86e5c: f7419b97  bl	#0xfffffff008357638
0xfffffff009c86e60: a83900b0  adrp	x8, #0xfffffff00a3bb000
0xfffffff009c86e64: 009903f9  str	x0, [x8, #0x730]
0xfffffff009c86e68: a00700b4  cbz	x0, #0xfffffff009c86f5c
0xfffffff009c86e6c: 8003ffd0  adrp	x0, #0xfffffff007cf8000
0xfffffff009c86e70: 00e03491  add	x0, x0, #0xd38
0xfffffff009c86e74: a03d9b97  bl	#0xfffffff0083564f4
0xfffffff009c86e78: a83900b0  adrp	x8, #0xfffffff00a3bb000
0xfffffff009c86e7c: 009503f9  str	x0, [x8, #0x728]
0xfffffff009c86e80: e00600b4  cbz	x0, #0xfffffff009c86f5c
0xfffffff009c86e84: 1f0000f9  str	xzr, [x0]
0xfffffff009c86e88: 80cefed0  adrp	x0, #0xfffffff007658000
0xfffffff009c86e8c: 001c3391  add	x0, x0, #0xcc7
0xfffffff009c86e90: 010080d2  mov	x1, #0
0xfffffff009c86e94: 7f0c9c97  bl	#0xfffffff00838a090
0xfffffff009c86e98: f30300aa  mov	x19, x0
0xfffffff009c86e9c: 8803ffd0  adrp	x8, #0xfffffff007cf8000
0xfffffff009c86ea0: 087543f9  ldr	x8, [x8, #0x6e8]
0xfffffff009c86ea4: 000140f9  ldr	x0, [x8]
0xfffffff009c86ea8: 100000b0  adrp	x16, #0xfffffff009c87000
0xfffffff009c86eac: 10b20391  add	x16, x16, #0xec
0xfffffff009c86eb0: d13b8cd2  mov	x17, #0x61de
0xfffffff009c86eb4: 3002c1da  pacia	x16, x17
0xfffffff009c86eb8: e20310aa  mov	x2, x16
0xfffffff009c86ebc: e10313aa  mov	x1, x19
0xfffffff009c86ec0: 030080d2  mov	x3, #0
0xfffffff009c86ec4: 040080d2  mov	x4, #0
0xfffffff009c86ec8: 05008052  mov	w5, #0
0xfffffff009c86ecc: 220b9c97  bl	#0xfffffff008389b54
0xfffffff009c86ed0: a83900b0  adrp	x8, #0xfffffff00a3bb000
0xfffffff009c86ed4: 00b103f9  str	x0, [x8, #0x760]
0xfffffff009c86ed8: 8803ffd0  adrp	x8, #0xfffffff007cf8000
0xfffffff009c86edc: 087943f9  ldr	x8, [x8, #0x6f0]
0xfffffff009c86ee0: 000140f9  ldr	x0, [x8]
0xfffffff009c86ee4: 100000b0  adrp	x16, #0xfffffff009c87000
0xfffffff009c86ee8: 10221291  add	x16, x16, #0x488
