; Candidate 8239
; ADRP+ADD at VM 0xfffffff00889e424 (fileoff 0x189a424): page=0x1fe992000 add_imm=0xe2c

0xfffffff00889e3a4: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00889e3a8: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff00889e3ac: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff00889e3b0: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00889e3b4: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00889e3b8: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00889e3bc: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00889e3c0: fd430391  add	x29, sp, #0xd0
0xfffffff00889e3c4: f50302aa  mov	x21, x2
0xfffffff00889e3c8: f40301aa  mov	x20, x1
0xfffffff00889e3cc: f30300aa  mov	x19, x0
0xfffffff00889e3d0: a00f8052  mov	w0, #0x7d
0xfffffff00889e3d4: e1008052  mov	w1, #7
0xfffffff00889e3d8: fe74ff97  bl	#0xfffffff00887b7d0
0xfffffff00889e3dc: c0020034  cbz	w0, #0xfffffff00889e434
0xfffffff00889e3e0: a00f8052  mov	w0, #0x7d
0xfffffff00889e3e4: 0d75ff97  bl	#0xfffffff00887b818
0xfffffff00889e3e8: f70300aa  mov	x23, x0
0xfffffff00889e3ec: 70570094  bl	#0xfffffff0088b41ac
0xfffffff00889e3f0: f60300aa  mov	x22, x0
0xfffffff00889e3f4: e0008052  mov	w0, #7
0xfffffff00889e3f8: 1675ff97  bl	#0xfffffff00887b850
0xfffffff00889e3fc: d7050034  cbz	w23, #0xfffffff00889e4b4
0xfffffff00889e400: 680240b9  ldr	w8, [x19]
0xfffffff00889e404: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889e408: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e40c: 08553991  add	x8, x8, #0xe55
0xfffffff00889e410: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889e414: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e418: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e41c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889e420: a80f8052  mov	w8, #0x7d
0xfffffff00889e424: 804cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889e428: 00b03891  add	x0, x0, #0xe2c
0xfffffff00889e42c: f62300a9  stp	x22, x8, [sp]
0xfffffff00889e430: 0c64d497  bl	#0xfffffff007db7460
0xfffffff00889e434: f406f8b6  tbz	x20, #0x3f, #0xfffffff00889e510
0xfffffff00889e438: a00f8052  mov	w0, #0x7d
0xfffffff00889e43c: 81008052  mov	w1, #4
0xfffffff00889e440: e474ff97  bl	#0xfffffff00887b7d0
0xfffffff00889e444: 20170034  cbz	w0, #0xfffffff00889e728
0xfffffff00889e448: a00f8052  mov	w0, #0x7d
0xfffffff00889e44c: f374ff97  bl	#0xfffffff00887b818
0xfffffff00889e450: f70300aa  mov	x23, x0
0xfffffff00889e454: 56570094  bl	#0xfffffff0088b41ac
0xfffffff00889e458: f60300aa  mov	x22, x0
0xfffffff00889e45c: 80008052  mov	w0, #4
0xfffffff00889e460: fc74ff97  bl	#0xfffffff00887b850
0xfffffff00889e464: d7120034  cbz	w23, #0xfffffff00889e6bc
0xfffffff00889e468: 680240b9  ldr	w8, [x19]
0xfffffff00889e46c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00889e470: 894cffd0  adrp	x9, #0xfffffff007230000
0xfffffff00889e474: 2a993a91  add	x10, x9, #0xea6
0xfffffff00889e478: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889e47c: 28638052  mov	w8, #0x319
0xfffffff00889e480: 894cffd0  adrp	x9, #0xfffffff007230000
0xfffffff00889e484: 29553991  add	x9, x9, #0xe55
0xfffffff00889e488: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889e48c: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e490: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e498: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889e49c: a80f8052  mov	w8, #0x7d
0xfffffff00889e4a0: 804cffd0  adrp	x0, #0xfffffff007230000
