; Candidate 10417
; ADRP+ADD at VM 0xfffffff008d44ec8 (fileoff 0x1d40ec8): page=0x1fed8d000 add_imm=0xd28

0xfffffff008d44e48: fb0319aa  mov	x27, x25
0xfffffff008d44e4c: 3632ff90  adrp	x22, #0xfffffff007388000
0xfffffff008d44e50: d6be2191  add	x22, x22, #0x86f
0xfffffff008d44e54: 570340f9  ldr	x23, [x26]
0xfffffff008d44e58: b70100b4  cbz	x23, #0xfffffff008d44e8c
0xfffffff008d44e5c: 580b40b9  ldr	w24, [x26, #8]
0xfffffff008d44e60: 5f0300f9  str	xzr, [x26]
0xfffffff008d44e64: e00314aa  mov	x0, x20
0xfffffff008d44e68: e10317aa  mov	x1, x23
0xfffffff008d44e6c: e20318aa  mov	x2, x24
0xfffffff008d44e70: e30315aa  mov	x3, x21
0xfffffff008d44e74: c40e8052  mov	w4, #0x76
0xfffffff008d44e78: e50316aa  mov	x5, x22
0xfffffff008d44e7c: 63e2ff97  bl	#0xfffffff008d3d808
0xfffffff008d44e80: e00317aa  mov	x0, x23
0xfffffff008d44e84: e10318aa  mov	x1, x24
0xfffffff008d44e88: 09e2ff97  bl	#0xfffffff008d3d6ac
0xfffffff008d44e8c: 5a630091  add	x26, x26, #0x18
0xfffffff008d44e90: 7b0700f1  subs	x27, x27, #1
0xfffffff008d44e94: 01feff54  b.ne	#0xfffffff008d44e54
0xfffffff008d44e98: 2807198b  add	x8, x25, x25, lsl #1
0xfffffff008d44e9c: 14f17dd3  lsl	x20, x8, #3
0xfffffff008d44ea0: 2032ff90  adrp	x0, #0xfffffff007388000
0xfffffff008d44ea4: 00bc1591  add	x0, x0, #0x56f
0xfffffff008d44ea8: 2332ff90  adrp	x3, #0xfffffff007388000
0xfffffff008d44eac: 631c1991  add	x3, x3, #0x647
0xfffffff008d44eb0: 2532ff90  adrp	x5, #0xfffffff007388000
0xfffffff008d44eb4: a5bc2191  add	x5, x5, #0x86f
0xfffffff008d44eb8: e10313aa  mov	x1, x19
0xfffffff008d44ebc: e20314aa  mov	x2, x20
0xfffffff008d44ec0: 240f8052  mov	w4, #0x79
0xfffffff008d44ec4: 51e2ff97  bl	#0xfffffff008d3d808
0xfffffff008d44ec8: 606cffb0  adrp	x0, #0xfffffff007ad1000
0xfffffff008d44ecc: 00a03491  add	x0, x0, #0xd28
0xfffffff008d44ed0: e10313aa  mov	x1, x19
0xfffffff008d44ed4: e20314aa  mov	x2, x20
0xfffffff008d44ed8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d44edc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d44ee0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d44ee4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008d44ee8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008d44eec: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008d44ef0: ff2303d5  autibsp	
0xfffffff008d44ef4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d44ef8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d44f00
0xfffffff008d44efc: 208e38d4  brk	#0xc471
0xfffffff008d44f00: ba47d817  b	#0xfffffff008356de8
0xfffffff008d44f04: c0035fd6  ret	
0xfffffff008d44f08: 7f2303d5  pacibsp	
0xfffffff008d44f0c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008d44f10: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008d44f14: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008d44f18: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008d44f1c: fd430191  add	x29, sp, #0x50
0xfffffff008d44f20: f30300aa  mov	x19, x0
0xfffffff008d44f24: 35ad0090  adrp	x21, #0xfffffff00a2e8000
0xfffffff008d44f28: b5920c91  add	x21, x21, #0x324
0xfffffff008d44f2c: a8024039  ldrb	w8, [x21]
0xfffffff008d44f30: 1432ffb0  adrp	x20, #0xfffffff007385000
0xfffffff008d44f34: 94d62f91  add	x20, x20, #0xbf5
0xfffffff008d44f38: 1f290071  cmp	w8, #0xa
0xfffffff008d44f3c: e8000054  b.hi	#0xfffffff008d44f58
0xfffffff008d44f40: 2832ff90  adrp	x8, #0xfffffff007388000
0xfffffff008d44f44: 08292291  add	x8, x8, #0x88a
