; Candidate 16675
; ADRP+ADD at VM 0xfffffff009f2008c (fileoff 0x2f1c08c): page=0x1fd938000 add_imm=0xd3a

0xfffffff009f2000c: 42534079  ldrh	w2, [x26, #0x28]
0xfffffff009f20010: e88347a9  ldp	x8, x0, [sp, #0x78]
0xfffffff009f20014: 05454079  ldrh	w5, [x8, #0x22]
0xfffffff009f20018: a3c303d1  sub	x3, x29, #0xf0
0xfffffff009f2001c: e7a30591  add	x7, sp, #0x168
0xfffffff009f20020: e60319aa  mov	x6, x25
0xfffffff009f20024: 95070094  bl	#0xfffffff009f21e78
0xfffffff009f20028: 60140034  cbz	w0, #0xfffffff009f202b4
0xfffffff009f2002c: f80300aa  mov	x24, x0
0xfffffff009f20030: fa0316aa  mov	x26, x22
0xfffffff009f20034: ffe700b9  str	wzr, [sp, #0xe4]
0xfffffff009f20038: ffff1829  stp	wzr, wzr, [sp, #0xc4]
0xfffffff009f2003c: ff6b00f9  str	xzr, [sp, #0xd0]
0xfffffff009f20040: 19008052  mov	w25, #0
0xfffffff009f20044: 1c008052  mov	w28, #0
0xfffffff009f20048: 15008052  mov	w21, #0
0xfffffff009f2004c: 1b008052  mov	w27, #0
0xfffffff009f20050: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff009f20054: ff8300f9  str	xzr, [sp, #0x100]
0xfffffff009f20058: 17008052  mov	w23, #0
0xfffffff009f2005c: 50000014  b	#0xfffffff009f2019c
0xfffffff009f20060: e86f40f9  ldr	x8, [sp, #0xd8]
0xfffffff009f20064: 080140f9  ldr	x8, [x8]
0xfffffff009f20068: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009f2006c: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f20070: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f20074: e90318aa  mov	x9, x24
0xfffffff009f20078: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f2007c: c8c9feb0  adrp	x8, #0xfffffff007859000
0xfffffff009f20080: 08a50f91  add	x8, x8, #0x3e9
0xfffffff009f20084: e9798152  mov	w9, #0xbcf
0xfffffff009f20088: e82700a9  stp	x8, x9, [sp]
0xfffffff009f2008c: c0c9fe90  adrp	x0, #0xfffffff007858000
0xfffffff009f20090: 00e83491  add	x0, x0, #0xd3a
0xfffffff009f20094: 0c7efd97  bl	#0xfffffff009e7f8c4
0xfffffff009f20098: ff7700f9  str	xzr, [sp, #0xe8]
0xfffffff009f2009c: 12fdff17  b	#0xfffffff009f1f4e4
0xfffffff009f200a0: b68350f8  ldur	x22, [x29, #-0xf8]
0xfffffff009f200a4: b60000b4  cbz	x22, #0xfffffff009f200b8
0xfffffff009f200a8: c0c20291  add	x0, x22, #0xb0
0xfffffff009f200ac: d4397a97  bl	#0xfffffff007dae7fc
0xfffffff009f200b0: e00316aa  mov	x0, x22
0xfffffff009f200b4: e35b0094  bl	#0xfffffff009f37040
0xfffffff009f200b8: b48310f8  stur	x20, [x29, #-0xf8]
0xfffffff009f200bc: f57b40f9  ldr	x21, [sp, #0xf0]
0xfffffff009f200c0: f68340f9  ldr	x22, [sp, #0x100]
0xfffffff009f200c4: 3f000014  b	#0xfffffff009f201c0
0xfffffff009f200c8: ffeb1829  stp	wzr, w26, [sp, #0xc4]
0xfffffff009f200cc: f7e700b9  str	w23, [sp, #0xe4]
0xfffffff009f200d0: fa0316aa  mov	x26, x22
0xfffffff009f200d4: ff6b00f9  str	xzr, [sp, #0xd0]
0xfffffff009f200d8: 19008052  mov	w25, #0
0xfffffff009f200dc: 15008052  mov	w21, #0
0xfffffff009f200e0: 1b008052  mov	w27, #0
0xfffffff009f200e4: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff009f200e8: ff8300f9  str	xzr, [sp, #0x100]
0xfffffff009f200ec: 17008052  mov	w23, #0
0xfffffff009f200f0: 28008052  mov	w8, #1
0xfffffff009f200f4: a9250090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009f200f8: 29e12791  add	x9, x9, #0x9f8
0xfffffff009f200fc: 280128b8  ldadd	w8, w8, [x9]
0xfffffff009f20100: a8250090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f20104: 020105f9  str	x2, [x8, #0xa00]
0xfffffff009f20108: 98018052  mov	w24, #0xc
