; Candidate 10181
; ADRP+ADD at VM 0xfffffff008cbe1d8 (fileoff 0x1cba1d8): page=0x1fe69d000 add_imm=0xdbb

0xfffffff008cbe158: f32300a9  stp	x19, x8, [sp]
0xfffffff008cbe15c: e034ffb0  adrp	x0, #0xfffffff00735b000
0xfffffff008cbe160: 00ac2c91  add	x0, x0, #0xb2b
0xfffffff008cbe164: 51000014  b	#0xfffffff008cbe2a8
0xfffffff008cbe168: 17008052  mov	w23, #0
0xfffffff008cbe16c: 080340b9  ldr	w8, [x24]
0xfffffff008cbe170: e8f01f36  tbz	w8, #3, #0xfffffff008cbdf8c
0xfffffff008cbe174: 09050012  and	w9, w8, #3
0xfffffff008cbe178: a9f0ff34  cbz	w9, #0xfffffff008cbdf8c
0xfffffff008cbe17c: 88020036  tbz	w8, #0, #0xfffffff008cbe1cc
0xfffffff008cbe180: 5458c897  bl	#0xfffffff007ed42d0
0xfffffff008cbe184: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008cbe188: e1c30091  add	x1, sp, #0x30
0xfffffff008cbe18c: ad59c897  bl	#0xfffffff007ed4840
0xfffffff008cbe190: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008cbe194: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbe198: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbe19c: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbe1a0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbe1a4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbe1a8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbe1ac: 15fd44d3  lsr	x21, x8, #4
0xfffffff008cbe1b0: 8e3fc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbe1b4: e0cf00a9  stp	x0, x19, [sp, #8]
0xfffffff008cbe1b8: f50300f9  str	x21, [sp]
0xfffffff008cbe1bc: e034ffb0  adrp	x0, #0xfffffff00735b000
0xfffffff008cbe1c0: 00a03491  add	x0, x0, #0xd28
0xfffffff008cbe1c4: e3c4de97  bl	#0xfffffff00846f550
0xfffffff008cbe1c8: 080340b9  ldr	w8, [x24]
0xfffffff008cbe1cc: e8ed0f36  tbz	w8, #1, #0xfffffff008cbdf88
0xfffffff008cbe1d0: 863fc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbe1d4: e04f00a9  stp	x0, x19, [sp]
0xfffffff008cbe1d8: e034ffb0  adrp	x0, #0xfffffff00735b000
0xfffffff008cbe1dc: 00ec3691  add	x0, x0, #0xdbb
0xfffffff008cbe1e0: 9063da97  bl	#0xfffffff008357020
0xfffffff008cbe1e4: 69ffff17  b	#0xfffffff008cbdf88
0xfffffff008cbe1e8: 700240f9  ldr	x16, [x19]
0xfffffff008cbe1ec: f10313aa  mov	x17, x19
0xfffffff008cbe1f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cbe1f4: 301ac1da  autda	x16, x17
0xfffffff008cbe1f8: 11f680d2  mov	x17, #0x7b0
0xfffffff008cbe1fc: 1002118b  add	x16, x16, x17
0xfffffff008cbe200: 080240f9  ldr	x8, [x16]
0xfffffff008cbe204: e90310aa  mov	x9, x16
0xfffffff008cbe208: e00313aa  mov	x0, x19
0xfffffff008cbe20c: 010080d2  mov	x1, #0
0xfffffff008cbe210: 620a8a52  mov	w2, #0x5053
0xfffffff008cbe214: 626aaa72  movk	w2, #0x5353, lsl #16
0xfffffff008cbe218: 03008052  mov	w3, #0
0xfffffff008cbe21c: a4008052  mov	w4, #5
0xfffffff008cbe220: f10309aa  mov	x17, x9
0xfffffff008cbe224: 7134f7f2  movk	x17, #0xb9a3, lsl #48
0xfffffff008cbe228: 11093fd7  blraa	x8, x17
0xfffffff008cbe22c: 20e4ff34  cbz	w0, #0xfffffff008cbdeb0
0xfffffff008cbe230: f70300aa  mov	x23, x0
0xfffffff008cbe234: 080340b9  ldr	w8, [x24]
0xfffffff008cbe238: a8ea1f36  tbz	w8, #3, #0xfffffff008cbdf8c
0xfffffff008cbe23c: 09050012  and	w9, w8, #3
0xfffffff008cbe240: 69eaff34  cbz	w9, #0xfffffff008cbdf8c
0xfffffff008cbe244: 88020036  tbz	w8, #0, #0xfffffff008cbe294
0xfffffff008cbe248: 2258c897  bl	#0xfffffff007ed42d0
0xfffffff008cbe24c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008cbe250: e1a30091  add	x1, sp, #0x28
0xfffffff008cbe254: 7b59c897  bl	#0xfffffff007ed4840
