; Candidate 16015
; ADRP+ADD at VM 0xfffffff009dfe110 (fileoff 0x2dfa110): page=0x1fd8a1000 add_imm=0xd71

0xfffffff009dfe090: 085c40f9  ldr	x8, [x0, #0xb8]
0xfffffff009dfe094: 880000b5  cbnz	x8, #0xfffffff009dfe0a4
0xfffffff009dfe098: f3c4fe90  adrp	x19, #0xfffffff00769a000
0xfffffff009dfe09c: 73c22d91  add	x19, x19, #0xb70
0xfffffff009dfe0a0: 0d000014  b	#0xfffffff009dfe0d4
0xfffffff009dfe0a4: 100140f9  ldr	x16, [x8]
0xfffffff009dfe0a8: f10308aa  mov	x17, x8
0xfffffff009dfe0ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dfe0b0: 301ac1da  autda	x16, x17
0xfffffff009dfe0b4: 098e4af8  ldr	x9, [x16, #0xa8]!
0xfffffff009dfe0b8: ea0310aa  mov	x10, x16
0xfffffff009dfe0bc: e00308aa  mov	x0, x8
0xfffffff009dfe0c0: f1030aaa  mov	x17, x10
0xfffffff009dfe0c4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dfe0c8: 31093fd7  blraa	x9, x17
0xfffffff009dfe0cc: f30300aa  mov	x19, x0
0xfffffff009dfe0d0: a04a40f9  ldr	x0, [x21, #0x90]
0xfffffff009dfe0d4: 082e0090  adrp	x8, #0xfffffff00a3be000
0xfffffff009dfe0d8: 08611691  add	x8, x8, #0x598
0xfffffff009dfe0dc: 130100f9  str	x19, [x8]
0xfffffff009dfe0e0: 396aff97  bl	#0xfffffff009dd89c4
0xfffffff009dfe0e4: 880240b9  ldr	w8, [x20]
0xfffffff009dfe0e8: 6a328052  mov	w10, #0x193
0xfffffff009dfe0ec: 09c5feb0  adrp	x9, #0xfffffff00769f000
0xfffffff009dfe0f0: 29152d91  add	x9, x9, #0xb45
0xfffffff009dfe0f4: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff009dfe0f8: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009dfe0fc: 494c8a52  mov	w9, #0x5262
0xfffffff009dfe100: e929a972  movk	w9, #0x494f, lsl #16
0xfffffff009dfe104: 0ac5feb0  adrp	x10, #0xfffffff00769f000
0xfffffff009dfe108: 4a113791  add	x10, x10, #0xdc4
0xfffffff009dfe10c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009dfe110: 00c5feb0  adrp	x0, #0xfffffff00769f000
0xfffffff009dfe114: 00c43591  add	x0, x0, #0xd71
0xfffffff009dfe118: f30300f9  str	x19, [sp]
0xfffffff009dfe11c: fc589a97  bl	#0xfffffff00849450c
0xfffffff009dfe120: 7f2303d5  pacibsp	
0xfffffff009dfe124: ff4301d1  sub	sp, sp, #0x50
0xfffffff009dfe128: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009dfe12c: fd030191  add	x29, sp, #0x40
0xfffffff009dfe130: 005040f9  ldr	x0, [x0, #0xa0]
0xfffffff009dfe134: 800000b5  cbnz	x0, #0xfffffff009dfe144
0xfffffff009dfe138: e0c4fe90  adrp	x0, #0xfffffff00769a000
0xfffffff009dfe13c: 00c02d91  add	x0, x0, #0xb70
0xfffffff009dfe140: 0a000014  b	#0xfffffff009dfe168
0xfffffff009dfe144: 100040f9  ldr	x16, [x0]
0xfffffff009dfe148: f10300aa  mov	x17, x0
0xfffffff009dfe14c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dfe150: 301ac1da  autda	x16, x17
0xfffffff009dfe154: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009dfe158: e90310aa  mov	x9, x16
0xfffffff009dfe15c: f10309aa  mov	x17, x9
0xfffffff009dfe160: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dfe164: 11093fd7  blraa	x8, x17
0xfffffff009dfe168: 082e0090  adrp	x8, #0xfffffff00a3be000
0xfffffff009dfe16c: 08611691  add	x8, x8, #0x598
0xfffffff009dfe170: 000100f9  str	x0, [x8]
0xfffffff009dfe174: 08408052  mov	w8, #0x200
0xfffffff009dfe178: 09c5feb0  adrp	x9, #0xfffffff00769f000
0xfffffff009dfe17c: 29152d91  add	x9, x9, #0xb45
0xfffffff009dfe180: 0ac5fed0  adrp	x10, #0xfffffff0076a0000
0xfffffff009dfe184: 4a650291  add	x10, x10, #0x99
0xfffffff009dfe188: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff009dfe18c: e8ab01a9  stp	x8, x10, [sp, #0x18]
