; Candidate 10158
; ADRP+ADD at VM 0xfffffff008cb7eec (fileoff 0x1cb3eec): page=0x1fee02000 add_imm=0xe28

0xfffffff008cb7e6c: 10422c91  add	x16, x16, #0xb10
0xfffffff008cb7e70: 10420091  add	x16, x16, #0x10
0xfffffff008cb7e74: f10300aa  mov	x17, x0
0xfffffff008cb7e78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cb7e7c: 300ac1da  pacda	x16, x17
0xfffffff008cb7e80: 100000f9  str	x16, [x0]
0xfffffff008cb7e84: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008cb7e88: ff0f5fd6  retab	
0xfffffff008cb7e8c: 5f2403d5  bti	c
0xfffffff008cb7e90: c1042814  b	#0xfffffff0096b9194
0xfffffff008cb7e94: 5f2403d5  bti	c
0xfffffff008cb7e98: bf042814  b	#0xfffffff0096b9194
0xfffffff008cb7e9c: 7f2303d5  pacibsp	
0xfffffff008cb7ea0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008cb7ea4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008cb7ea8: fd430091  add	x29, sp, #0x10
0xfffffff008cb7eac: f30300aa  mov	x19, x0
0xfffffff008cb7eb0: b9042894  bl	#0xfffffff0096b9194
0xfffffff008cb7eb4: 0070ffd0  adrp	x0, #0xfffffff007ab9000
0xfffffff008cb7eb8: 00a03891  add	x0, x0, #0xe28
0xfffffff008cb7ebc: e10313aa  mov	x1, x19
0xfffffff008cb7ec0: 02e28152  mov	w2, #0xf10
0xfffffff008cb7ec4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008cb7ec8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008cb7ecc: ff2303d5  autibsp	
0xfffffff008cb7ed0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008cb7ed4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008cb7edc
0xfffffff008cb7ed8: 208e38d4  brk	#0xc471
0xfffffff008cb7edc: f0bdd817  b	#0xfffffff0082e769c
0xfffffff008cb7ee0: 5f2403d5  bti	c
0xfffffff008cb7ee4: e20301aa  mov	x2, x1
0xfffffff008cb7ee8: e10300aa  mov	x1, x0
0xfffffff008cb7eec: 0070ffd0  adrp	x0, #0xfffffff007ab9000
0xfffffff008cb7ef0: 00a03891  add	x0, x0, #0xe28
0xfffffff008cb7ef4: eabdd817  b	#0xfffffff0082e769c
0xfffffff008cb7ef8: 5f2403d5  bti	c
0xfffffff008cb7efc: 60b100f0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008cb7f00: 00a02991  add	x0, x0, #0xa68
0xfffffff008cb7f04: c0035fd6  ret	
0xfffffff008cb7f08: 7f2303d5  pacibsp	
0xfffffff008cb7f0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008cb7f10: fd030091  mov	x29, sp
0xfffffff008cb7f14: 0135ffb0  adrp	x1, #0xfffffff007358000
0xfffffff008cb7f18: 21180a91  add	x1, x1, #0x286
0xfffffff008cb7f1c: 826fffb0  adrp	x2, #0xfffffff007aa8000
0xfffffff008cb7f20: 42a840f9  ldr	x2, [x2, #0x150]
0xfffffff008cb7f24: 03e28152  mov	w3, #0xf10
0xfffffff008cb7f28: 04afd897  bl	#0xfffffff0082e3b38
0xfffffff008cb7f2c: 1070ffd0  adrp	x16, #0xfffffff007ab9000
0xfffffff008cb7f30: 10e20b91  add	x16, x16, #0x2f8
0xfffffff008cb7f34: 10420091  add	x16, x16, #0x10
0xfffffff008cb7f38: f10300aa  mov	x17, x0
0xfffffff008cb7f3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cb7f40: 300ac1da  pacda	x16, x17
0xfffffff008cb7f44: 100000f9  str	x16, [x0]
0xfffffff008cb7f48: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008cb7f4c: ff0f5fd6  retab	
0xfffffff008cb7f50: 7f2303d5  pacibsp	
0xfffffff008cb7f54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008cb7f58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008cb7f5c: fd430091  add	x29, sp, #0x10
0xfffffff008cb7f60: 0070ffd0  adrp	x0, #0xfffffff007ab9000
0xfffffff008cb7f64: 00a03891  add	x0, x0, #0xe28
0xfffffff008cb7f68: 01e28152  mov	w1, #0xf10
