; Candidate 15320
; ADRP+ADD at VM 0xfffffff009b4ef78 (fileoff 0x2b4af78): page=0x1fdada000 add_imm=0xed0

0xfffffff009b4eef8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4eefc: 31093fd7  blraa	x9, x17
0xfffffff009b4ef00: fb0300aa  mov	x27, x0
0xfffffff009b4ef04: 700240f9  ldr	x16, [x19]
0xfffffff009b4ef08: f10313aa  mov	x17, x19
0xfffffff009b4ef0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4ef10: 301ac1da  autda	x16, x17
0xfffffff009b4ef14: f10310aa  mov	x17, x16
0xfffffff009b4ef18: f147c1da  xpacd	x17
0xfffffff009b4ef1c: 1f0211eb  cmp	x16, x17
0xfffffff009b4ef20: 40000054  b.eq	#0xfffffff009b4ef28
0xfffffff009b4ef24: 408e38d4  brk	#0xc472
0xfffffff009b4ef28: 08620891  add	x8, x16, #0x218
0xfffffff009b4ef2c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4ef30: e00313aa  mov	x0, x19
0xfffffff009b4ef34: 010080d2  mov	x1, #0
0xfffffff009b4ef38: f10308aa  mov	x17, x8
0xfffffff009b4ef3c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4ef40: 31093fd7  blraa	x9, x17
0xfffffff009b4ef44: 080340b9  ldr	w8, [x24]
0xfffffff009b4ef48: 09751e53  lsl	w9, w8, #2
0xfffffff009b4ef4c: 29010411  add	w9, w9, #0x100
0xfffffff009b4ef50: 6a8e41f9  ldr	x10, [x19, #0x318]
0xfffffff009b4ef54: 494969b8  ldr	w9, [x10, w9, uxtw]
0xfffffff009b4ef58: e95b03a9  stp	x9, x22, [sp, #0x30]
0xfffffff009b4ef5c: e82302a9  stp	x8, x8, [sp, #0x20]
0xfffffff009b4ef60: e8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4ef64: 08551491  add	x8, x8, #0x515
0xfffffff009b4ef68: c9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4ef6c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4ef70: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4ef74: fb0300a9  stp	x27, x0, [sp]
0xfffffff009b4ef78: c0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4ef7c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4ef80: e3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4ef84: 63680c91  add	x3, x3, #0x31a
0xfffffff009b4ef88: e10319aa  mov	x1, x25
0xfffffff009b4ef8c: e24f40b9  ldr	w2, [sp, #0x4c]
0xfffffff009b4ef90: 68909f97  bl	#0xfffffff008333130
0xfffffff009b4ef94: bf022071  cmp	w21, #0x800
0xfffffff009b4ef98: 68559552  mov	w8, #0xaaab
0xfffffff009b4ef9c: 4855b572  movk	w8, #0xaaaa, lsl #16
0xfffffff009b4efa0: a87ea89b  umull	x8, w21, w8
0xfffffff009b4efa4: 08fd61d3  lsr	x8, x8, #0x21
0xfffffff009b4efa8: a97e0153  lsr	w9, w21, #1
0xfffffff009b4efac: 0881891a  csel	w8, w8, w9, hi
0xfffffff009b4efb0: bf061071  cmp	w21, #0x401
0xfffffff009b4efb4: a8b2881a  csel	w8, w21, w8, lt
0xfffffff009b4efb8: f56a1b53  lsl	w21, w23, #5
0xfffffff009b4efbc: 698e41f9  ldr	x9, [x19, #0x318]
0xfffffff009b4efc0: aa02098b  add	x10, x21, x9
0xfffffff009b4efc4: 0b0340b9  ldr	w11, [x24]
0xfffffff009b4efc8: 0849142a  orr	w8, w8, w20, lsl #18
0xfffffff009b4efcc: 08590b2a  orr	w8, w8, w11, lsl #22
0xfffffff009b4efd0: 0b009052  mov	w11, #0x8000
0xfffffff009b4efd4: 0b00a372  movk	w11, #0x1800, lsl #16
0xfffffff009b4efd8: 08010b2a  orr	w8, w8, w11
0xfffffff009b4efdc: 480109b9  str	w8, [x10, #0x900]
0xfffffff009b4efe0: 281148b9  ldr	w8, [x9, #0x810]
0xfffffff009b4efe4: 08011732  orr	w8, w8, #0x200
0xfffffff009b4efe8: 281108b9  str	w8, [x9, #0x810]
0xfffffff009b4efec: 400340f9  ldr	x0, [x26]
0xfffffff009b4eff0: 100040f9  ldr	x16, [x0]
0xfffffff009b4eff4: f10300aa  mov	x17, x0
