; Candidate 16582
; ADRP+ADD at VM 0xfffffff009ef1ae4 (fileoff 0x2eedae4): page=0x1fd95a000 add_imm=0xebf

0xfffffff009ef1a64: c87a00b9  str	w8, [x22, #0x78]
0xfffffff009ef1a68: e00313aa  mov	x0, x19
0xfffffff009ef1a6c: 21008052  mov	w1, #1
0xfffffff009ef1a70: e20316aa  mov	x2, x22
0xfffffff009ef1a74: e30315aa  mov	x3, x21
0xfffffff009ef1a78: ede5ff97  bl	#0xfffffff009eeb22c
0xfffffff009ef1a7c: a0030034  cbz	w0, #0xfffffff009ef1af0
0xfffffff009ef1a80: f90300aa  mov	x25, x0
0xfffffff009ef1a84: 083e8452  mov	w8, #0x21f0
0xfffffff009ef1a88: 7a02088b  add	x26, x19, x8
0xfffffff009ef1a8c: 880640f9  ldr	x8, [x20, #8]
0xfffffff009ef1a90: e86702a9  stp	x8, x25, [sp, #0x20]
0xfffffff009ef1a94: fa5701a9  stp	x26, x21, [sp, #0x10]
0xfffffff009ef1a98: dbcafed0  adrp	x27, #0xfffffff00784b000
0xfffffff009ef1a9c: 7be73791  add	x27, x27, #0xdf9
0xfffffff009ef1aa0: a85a8552  mov	w8, #0x2ad5
0xfffffff009ef1aa4: fb2300a9  stp	x27, x8, [sp]
0xfffffff009ef1aa8: c0cafed0  adrp	x0, #0xfffffff00784b000
0xfffffff009ef1aac: 00d43991  add	x0, x0, #0xe75
0xfffffff009ef1ab0: 8537fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef1ab4: e21f40f9  ldr	x2, [sp, #0x38]
0xfffffff009ef1ab8: e00313aa  mov	x0, x19
0xfffffff009ef1abc: 21008052  mov	w1, #1
0xfffffff009ef1ac0: e30315aa  mov	x3, x21
0xfffffff009ef1ac4: 5edfff97  bl	#0xfffffff009ee983c
0xfffffff009ef1ac8: e0040034  cbz	w0, #0xfffffff009ef1b64
0xfffffff009ef1acc: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009ef1ad0: 080540f9  ldr	x8, [x8, #8]
0xfffffff009ef1ad4: e80302a9  stp	x8, x0, [sp, #0x20]
0xfffffff009ef1ad8: fa5701a9  stp	x26, x21, [sp, #0x10]
0xfffffff009ef1adc: 485b8552  mov	w8, #0x2ada
0xfffffff009ef1ae0: fb2300a9  stp	x27, x8, [sp]
0xfffffff009ef1ae4: c0cafed0  adrp	x0, #0xfffffff00784b000
0xfffffff009ef1ae8: 00fc3a91  add	x0, x0, #0xebf
0xfffffff009ef1aec: 7637fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef1af0: e00313aa  mov	x0, x19
0xfffffff009ef1af4: e10314aa  mov	x1, x20
0xfffffff009ef1af8: e20317aa  mov	x2, x23
0xfffffff009ef1afc: e30316aa  mov	x3, x22
0xfffffff009ef1b00: e40315aa  mov	x4, x21
0xfffffff009ef1b04: 269a0194  bl	#0xfffffff009f5839c
0xfffffff009ef1b08: 884e40f9  ldr	x8, [x20, #0x98]
0xfffffff009ef1b0c: 080179b2  orr	x8, x8, #0x80
0xfffffff009ef1b10: 884e00f9  str	x8, [x20, #0x98]
0xfffffff009ef1b14: e00313aa  mov	x0, x19
0xfffffff009ef1b18: 21008052  mov	w1, #1
0xfffffff009ef1b1c: e20314aa  mov	x2, x20
0xfffffff009ef1b20: e30315aa  mov	x3, x21
0xfffffff009ef1b24: c2e5ff97  bl	#0xfffffff009eeb22c
0xfffffff009ef1b28: a0010034  cbz	w0, #0xfffffff009ef1b5c
0xfffffff009ef1b2c: 083e8452  mov	w8, #0x21f0
0xfffffff009ef1b30: 6802088b  add	x8, x19, x8
0xfffffff009ef1b34: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ef1b38: e90302a9  stp	x9, x0, [sp, #0x20]
0xfffffff009ef1b3c: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff009ef1b40: c8cafed0  adrp	x8, #0xfffffff00784b000
0xfffffff009ef1b44: 08e53791  add	x8, x8, #0xdf9
0xfffffff009ef1b48: a95f8552  mov	w9, #0x2afd
0xfffffff009ef1b4c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ef1b50: c0cafed0  adrp	x0, #0xfffffff00784b000
0xfffffff009ef1b54: 00843c91  add	x0, x0, #0xf21
0xfffffff009ef1b58: 3a37fe97  bl	#0xfffffff009e7f840
0xfffffff009ef1b5c: 19008052  mov	w25, #0
0xfffffff009ef1b60: 0f000014  b	#0xfffffff009ef1b9c
