; Candidate 13742
; ADRP+ADD at VM 0xfffffff009560c80 (fileoff 0x255cc80): page=0x1fe68a000 add_imm=0xe28

0xfffffff009560c00: 09150091  add	x9, x8, #5
0xfffffff009560c04: 080500d1  sub	x8, x8, #1
0xfffffff009560c08: 3f0115eb  cmp	x9, x21
0xfffffff009560c0c: 48ffff54  b.hi	#0xfffffff009560bf4
0xfffffff009560c10: c80e158b  add	x8, x22, x21, lsl #3
0xfffffff009560c14: 09294029  ldp	w9, w10, [x8]
0xfffffff009560c18: 2901140b  add	w9, w9, w20
0xfffffff009560c1c: 4a01144b  sub	w10, w10, w20
0xfffffff009560c20: 09290129  stp	w9, w10, [x8, #8]
0xfffffff009560c24: c80e158b  add	x8, x22, x21, lsl #3
0xfffffff009560c28: 140500b9  str	w20, [x8, #4]
0xfffffff009560c2c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009560c30: 281540f9  ldr	x8, [x9, #0x28]
0xfffffff009560c34: c80400b4  cbz	x8, #0xfffffff009560ccc
0xfffffff009560c38: 084040b9  ldr	w8, [x0, #0x40]
0xfffffff009560c3c: 08011c32  orr	w8, w8, #0x10
0xfffffff009560c40: 084000b9  str	w8, [x0, #0x40]
0xfffffff009560c44: 18060034  cbz	w24, #0xfffffff009560d04
0xfffffff009560c48: f4e30191  add	x20, sp, #0x78
0xfffffff009560c4c: e0e30191  add	x0, sp, #0x78
0xfffffff009560c50: 01458052  mov	w1, #0x228
0xfffffff009560c54: bbaf9f97  bl	#0xfffffff007d4cb40
0xfffffff009560c58: 96720091  add	x22, x20, #0x1c
0xfffffff009560c5c: e85740b9  ldr	w8, [sp, #0x54]
0xfffffff009560c60: 48060034  cbz	w8, #0xfffffff009560d28
0xfffffff009560c64: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009560c68: 085540f9  ldr	x8, [x8, #0xa8]
0xfffffff009560c6c: 01710091  add	x1, x8, #0x1c
0xfffffff009560c70: e00316aa  mov	x0, x22
0xfffffff009560c74: 82218052  mov	w2, #0x10c
0xfffffff009560c78: 83418052  mov	w3, #0x20c
0xfffffff009560c7c: 09fca497  bl	#0xfffffff007e9fca0
0xfffffff009560c80: 4034ffd0  adrp	x0, #0xfffffff007bea000
0xfffffff009560c84: 00a03891  add	x0, x0, #0xe28
0xfffffff009560c88: 1bd6b797  bl	#0xfffffff0083564f4
0xfffffff009560c8c: f40300aa  mov	x20, x0
0xfffffff009560c90: a00000b4  cbz	x0, #0xfffffff009560ca4
0xfffffff009560c94: 417100b0  adrp	x1, #0xfffffff00a389000
0xfffffff009560c98: 21c00391  add	x1, x1, #0xf0
0xfffffff009560c9c: 000b8052  mov	w0, #0x58
0xfffffff009560ca0: 8c09b697  bl	#0xfffffff0082e32d0
0xfffffff009560ca4: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff009560ca8: f43700f9  str	x20, [sp, #0x68]
0xfffffff009560cac: c8fffe90  adrp	x8, #0xfffffff007558000
0xfffffff009560cb0: 009d40fd  ldr	d0, [x8, #0x138]
0xfffffff009560cb4: e03b00fd  str	d0, [sp, #0x70]
0xfffffff009560cb8: f41f00f9  str	x20, [sp, #0x38]
0xfffffff009560cbc: 9c220091  add	x28, x20, #8
0xfffffff009560cc0: e80316aa  mov	x8, x22
0xfffffff009560cc4: 160080d2  mov	x22, #0
0xfffffff009560cc8: 2f000014  b	#0xfffffff009560d84
0xfffffff009560ccc: 206540f9  ldr	x0, [x9, #0xc8]
0xfffffff009560cd0: 215540f9  ldr	x1, [x9, #0xa8]
0xfffffff009560cd4: 22c10291  add	x2, x9, #0xb0
0xfffffff009560cd8: 23814179  ldrh	w3, [x9, #0xc0]
0xfffffff009560cdc: 37300094  bl	#0xfffffff00956cdb8
0xfffffff009560ce0: 20fbff34  cbz	w0, #0xfffffff009560c44
0xfffffff009560ce4: f70300aa  mov	x23, x0
0xfffffff009560ce8: f32f40f9  ldr	x19, [sp, #0x58]
0xfffffff009560cec: 680a40b9  ldr	w8, [x19, #8]
0xfffffff009560cf0: e85f00a9  stp	x8, x23, [sp]
0xfffffff009560cf4: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560cf8: 00582e91  add	x0, x0, #0xb96
0xfffffff009560cfc: d959a197  bl	#0xfffffff007db7460
