; Candidate 15422
; ADRP+ADD at VM 0xfffffff009b8769c (fileoff 0x2b8369c): page=0x1fdaaf000 add_imm=0xd17

0xfffffff009b8761c: 81040054  b.ne	#0xfffffff009b876ac
0xfffffff009b87620: 700240f9  ldr	x16, [x19]
0xfffffff009b87624: f10313aa  mov	x17, x19
0xfffffff009b87628: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b8762c: 301ac1da  autda	x16, x17
0xfffffff009b87630: 113d80d2  mov	x17, #0x1e8
0xfffffff009b87634: 1002118b  add	x16, x16, x17
0xfffffff009b87638: 080240f9  ldr	x8, [x16]
0xfffffff009b8763c: e90310aa  mov	x9, x16
0xfffffff009b87640: e00313aa  mov	x0, x19
0xfffffff009b87644: 010080d2  mov	x1, #0
0xfffffff009b87648: f10309aa  mov	x17, x9
0xfffffff009b8764c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b87650: 11093fd7  blraa	x8, x17
0xfffffff009b87654: f40300aa  mov	x20, x0
0xfffffff009b87658: 700240f9  ldr	x16, [x19]
0xfffffff009b8765c: f10313aa  mov	x17, x19
0xfffffff009b87660: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b87664: 301ac1da  autda	x16, x17
0xfffffff009b87668: 114380d2  mov	x17, #0x218
0xfffffff009b8766c: 1002118b  add	x16, x16, x17
0xfffffff009b87670: 080240f9  ldr	x8, [x16]
0xfffffff009b87674: e90310aa  mov	x9, x16
0xfffffff009b87678: e00313aa  mov	x0, x19
0xfffffff009b8767c: 010080d2  mov	x1, #0
0xfffffff009b87680: f10309aa  mov	x17, x9
0xfffffff009b87684: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b87688: 11093fd7  blraa	x8, x17
0xfffffff009b8768c: 28008052  mov	w8, #1
0xfffffff009b87690: f8a301a9  stp	x24, x8, [sp, #0x18]
0xfffffff009b87694: e0df00a9  stp	x0, x23, [sp, #8]
0xfffffff009b87698: f40300f9  str	x20, [sp]
0xfffffff009b8769c: 60d5fef0  adrp	x0, #0xfffffff007636000
0xfffffff009b876a0: 005c3491  add	x0, x0, #0xd17
0xfffffff009b876a4: 5f3e9f97  bl	#0xfffffff008357020
0xfffffff009b876a8: 4d000014  b	#0xfffffff009b877dc
0xfffffff009b876ac: 88027e92  and	x8, x20, #4
0xfffffff009b876b0: 08fd41d3  lsr	x8, x8, #1
0xfffffff009b876b4: 14011f52  eor	w20, w8, #2
0xfffffff009b876b8: 700240f9  ldr	x16, [x19]
0xfffffff009b876bc: f10313aa  mov	x17, x19
0xfffffff009b876c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b876c4: 301ac1da  autda	x16, x17
0xfffffff009b876c8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b876cc: 1002118b  add	x16, x16, x17
0xfffffff009b876d0: 080240f9  ldr	x8, [x16]
0xfffffff009b876d4: e90310aa  mov	x9, x16
0xfffffff009b876d8: e00313aa  mov	x0, x19
0xfffffff009b876dc: 010080d2  mov	x1, #0
0xfffffff009b876e0: f10309aa  mov	x17, x9
0xfffffff009b876e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b876e8: 11093fd7  blraa	x8, x17
0xfffffff009b876ec: 700240f9  ldr	x16, [x19]
0xfffffff009b876f0: f10313aa  mov	x17, x19
0xfffffff009b876f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b876f8: 301ac1da  autda	x16, x17
0xfffffff009b876fc: 114380d2  mov	x17, #0x218
0xfffffff009b87700: 1002118b  add	x16, x16, x17
0xfffffff009b87704: 080240f9  ldr	x8, [x16]
0xfffffff009b87708: e90310aa  mov	x9, x16
0xfffffff009b8770c: e00313aa  mov	x0, x19
0xfffffff009b87710: 010080d2  mov	x1, #0
0xfffffff009b87714: f10309aa  mov	x17, x9
0xfffffff009b87718: 11a8e6f2  movk	x17, #0x3540, lsl #48
