; Candidate 16906
; ADRP+ADD at VM 0xfffffff009fe0308 (fileoff 0x2fdc308): page=0x1fd8a7000 add_imm=0xecf

0xfffffff009fe0288: 4c000014  b	#0xfffffff009fe03b8
0xfffffff009fe028c: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009fe0290: c8357797  bl	#0xfffffff007dad9b0
0xfffffff009fe0294: c09241f9  ldr	x0, [x22, #0x320]
0xfffffff009fe0298: e1031aaa  mov	x1, x26
0xfffffff009fe029c: e23740f9  ldr	x2, [sp, #0x68]
0xfffffff009fe02a0: e61e0094  bl	#0xfffffff009fe7e38
0xfffffff009fe02a4: f80300aa  mov	x24, x0
0xfffffff009fe02a8: 880340b9  ldr	w8, [x28]
0xfffffff009fe02ac: 1f791c72  tst	w8, #0xfffffff7
0xfffffff009fe02b0: e0000054  b.eq	#0xfffffff009fe02cc
0xfffffff009fe02b4: 018b42a9  ldp	x1, x2, [x24, #0x28]
0xfffffff009fe02b8: 031340f9  ldr	x3, [x24, #0x20]
0xfffffff009fe02bc: 04ef4039  ldrb	w4, [x24, #0x3b]
0xfffffff009fe02c0: 001c8052  mov	w0, #0xe0
0xfffffff009fe02c4: 8062a072  movk	w0, #0x314, lsl #16
0xfffffff009fe02c8: 5b7f8697  bl	#0xfffffff008180034
0xfffffff009fe02cc: 08a742a9  ldp	x8, x9, [x24, #0x28]
0xfffffff009fe02d0: 2901088b  add	x9, x9, x8
0xfffffff009fe02d4: eb3740f9  ldr	x11, [sp, #0x68]
0xfffffff009fe02d8: 4a432b8b  add	x10, x26, w11, uxtw
0xfffffff009fe02dc: 3f010aeb  cmp	x9, x10
0xfffffff009fe02e0: c2010054  b.hs	#0xfffffff009fe0318
0xfffffff009fe02e4: 35011aeb  subs	x21, x9, x26
0xfffffff009fe02e8: 68020054  b.hi	#0xfffffff009fe0334
0xfffffff009fe02ec: 08a742a9  ldp	x8, x9, [x24, #0x28]
0xfffffff009fe02f0: aaa28052  mov	w10, #0x515
0xfffffff009fe02f4: ea1b00f9  str	x10, [sp, #0x30]
0xfffffff009fe02f8: 2ac5fef0  adrp	x10, #0xfffffff007887000
0xfffffff009fe02fc: 4add3291  add	x10, x10, #0xcb7
0xfffffff009fe0300: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff009fe0304: e96b01a9  stp	x9, x26, [sp, #0x10]
0xfffffff009fe0308: 20c5fef0  adrp	x0, #0xfffffff007887000
0xfffffff009fe030c: 003c3b91  add	x0, x0, #0xecf
0xfffffff009fe0310: f82300a9  stp	x24, x8, [sp]
0xfffffff009fe0314: 7ed09297  bl	#0xfffffff00849450c
0xfffffff009fe0318: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff009fe031c: 6909ca1a  udiv	w9, w11, w10
0xfffffff009fe0320: 29ad0a1b  msub	w9, w9, w10, w11
0xfffffff009fe0324: 4a01094b  sub	w10, w10, w9
0xfffffff009fe0328: 3f010071  cmp	w9, #0
0xfffffff009fe032c: e9038a1a  csel	w9, wzr, w10, eq
0xfffffff009fe0330: 35010b0b  add	w21, w9, w11
0xfffffff009fe0334: f32b40f9  ldr	x19, [sp, #0x50]
0xfffffff009fe0338: 091340f9  ldr	x9, [x24, #0x20]
0xfffffff009fe033c: 480308cb  sub	x8, x26, x8
0xfffffff009fe0340: 3701088b  add	x23, x9, x8
0xfffffff009fe0344: 083b40b9  ldr	w8, [x24, #0x38]
0xfffffff009fe0348: 097d1853  lsr	w9, w8, #0x18
0xfffffff009fe034c: 3f050071  cmp	w9, #1
0xfffffff009fe0350: 61000054  b.ne	#0xfffffff009fe035c
0xfffffff009fe0354: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009fe0358: 13000014  b	#0xfffffff009fe03a4
0xfffffff009fe035c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009fe0360: 69000837  tbnz	w9, #1, #0xfffffff009fe036c
0xfffffff009fe0364: 17008092  mov	x23, #-1
0xfffffff009fe0368: 11000014  b	#0xfffffff009fe03ac
0xfffffff009fe036c: 0920a052  mov	w9, #0x1000000
0xfffffff009fe0370: 095d0033  bfxil	w9, w8, #0, #0x18
0xfffffff009fe0374: e9571029  stp	w9, w21, [sp, #0x80]
0xfffffff009fe0378: f74700f9  str	x23, [sp, #0x88]
0xfffffff009fe037c: c09241f9  ldr	x0, [x22, #0x320]
0xfffffff009fe0380: e1031aaa  mov	x1, x26
0xfffffff009fe0384: e20315aa  mov	x2, x21
