; Candidate 5684
; ADRP+ADD at VM 0xfffffff008800280 (fileoff 0x17fc280): page=0x1fe9e9000 add_imm=0xe80

0xfffffff008800200: fc2300a9  stp	x28, x8, [sp]
0xfffffff008800204: fc0301aa  mov	x28, x1
0xfffffff008800208: 88000014  b	#0xfffffff008800428
0xfffffff00880020c: aa50fff0  adrp	x10, #0xfffffff007217000
0xfffffff008800210: 4a512791  add	x10, x10, #0x9d4
0xfffffff008800214: bc035af8  ldur	x28, [x29, #-0x60]
0xfffffff008800218: 08000014  b	#0xfffffff008800238
0xfffffff00880021c: ab50fff0  adrp	x11, #0xfffffff007217000
0xfffffff008800220: 6bb12791  add	x11, x11, #0x9ec
0xfffffff008800224: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff008800228: 8c712791  add	x12, x12, #0x9dc
0xfffffff00880022c: 0de28452  mov	w13, #0x2710
0xfffffff008800230: 5f010d6b  cmp	w10, w13
0xfffffff008800234: 8a018b9a  csel	x10, x12, x11, eq
0xfffffff008800238: 2bb74d39  ldrb	w11, [x25, #0x36d]
0xfffffff00880023c: ad835af8  ldur	x13, [x29, #-0x58]
0xfffffff008800240: aca54039  ldrb	w12, [x13, #0x29]
0xfffffff008800244: ad2540b9  ldr	w13, [x13, #0x24]
0xfffffff008800248: 8eab4fb9  ldr	w14, [x28, #0xfa8]
0xfffffff00880024c: 2fcf40b9  ldr	w15, [x25, #0xcc]
0xfffffff008800250: 51434029  ldp	w17, w16, [x26]
0xfffffff008800254: efc706a9  stp	x15, x17, [sp, #0x68]
0xfffffff008800258: ecbb05a9  stp	x12, x14, [sp, #0x58]
0xfffffff00880025c: f7b704a9  stp	x23, x13, [sp, #0x48]
0xfffffff008800260: ebc303a9  stp	x11, x16, [sp, #0x38]
0xfffffff008800264: eaef02a9  stp	x10, x27, [sp, #0x28]
0xfffffff008800268: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880026c: e80313aa  mov	x8, x19
0xfffffff008800270: 0352fff0  adrp	x3, #0xfffffff007243000
0xfffffff008800274: 63ec1391  add	x3, x3, #0x4fb
0xfffffff008800278: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880027c: f80300f9  str	x24, [sp]
0xfffffff008800280: 404fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008800284: 00003a91  add	x0, x0, #0xe80
0xfffffff008800288: 4190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880028c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008800290: 02008052  mov	w2, #0
0xfffffff008800294: a7cbec97  bl	#0xfffffff008333130
0xfffffff008800298: 65000014  b	#0xfffffff00880042c
0xfffffff00880029c: ad50fff0  adrp	x13, #0xfffffff007217000
0xfffffff0088002a0: adb12791  add	x13, x13, #0x9ec
0xfffffff0088002a4: ae50fff0  adrp	x14, #0xfffffff007217000
0xfffffff0088002a8: ce712791  add	x14, x14, #0x9dc
0xfffffff0088002ac: 0fe28452  mov	w15, #0x2710
0xfffffff0088002b0: 9f010f6b  cmp	w12, w15
0xfffffff0088002b4: cc018d9a  csel	x12, x14, x13, eq
0xfffffff0088002b8: 06000014  b	#0xfffffff0088002d0
0xfffffff0088002bc: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff0088002c0: 8cd52691  add	x12, x12, #0x9b5
0xfffffff0088002c4: 03000014  b	#0xfffffff0088002d0
0xfffffff0088002c8: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff0088002cc: 8c512791  add	x12, x12, #0x9d4
0xfffffff0088002d0: ad835af8  ldur	x13, [x29, #-0x58]
0xfffffff0088002d4: ad2540b9  ldr	w13, [x13, #0x24]
0xfffffff0088002d8: 8eab4fb9  ldr	w14, [x28, #0xfa8]
0xfffffff0088002dc: 2fcf40b9  ldr	w15, [x25, #0xcc]
0xfffffff0088002e0: 51434029  ldp	w17, w16, [x26]
0xfffffff0088002e4: ef4705a9  stp	x15, x17, [sp, #0x50]
0xfffffff0088002e8: eb3b04a9  stp	x11, x14, [sp, #0x40]
0xfffffff0088002ec: f73703a9  stp	x23, x13, [sp, #0x30]
0xfffffff0088002f0: ea4302a9  stp	x10, x16, [sp, #0x20]
0xfffffff0088002f4: 8a50fff0  adrp	x10, #0xfffffff007213000
0xfffffff0088002f8: 4af12891  add	x10, x10, #0xa3c
0xfffffff0088002fc: ec2b01a9  stp	x12, x10, [sp, #0x10]
