; Candidate 9857
; ADRP+ADD at VM 0xfffffff008b5b480 (fileoff 0x1b57480): page=0x1fe7d2000 add_imm=0xe9b

0xfffffff008b5b400: 14000014  b	#0xfffffff008b5b450
0xfffffff008b5b404: 800740f9  ldr	x0, [x28, #8]
0xfffffff008b5b408: 15993d94  bl	#0xfffffff009ac185c
0xfffffff008b5b40c: 880340f9  ldr	x8, [x28]
0xfffffff008b5b410: 890b40f9  ldr	x9, [x28, #0x10]
0xfffffff008b5b414: 8aef4039  ldrb	w10, [x28, #0x3b]
0xfffffff008b5b418: 8beb4039  ldrb	w11, [x28, #0x3a]
0xfffffff008b5b41c: 8ce74039  ldrb	w12, [x28, #0x39]
0xfffffff008b5b420: 8de34039  ldrb	w13, [x28, #0x38]
0xfffffff008b5b424: 8e3f40b9  ldr	w14, [x28, #0x3c]
0xfffffff008b5b428: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff008b5b42c: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff008b5b430: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff008b5b434: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff008b5b438: f60300f9  str	x22, [sp]
0xfffffff008b5b43c: e00319aa  mov	x0, x25
0xfffffff008b5b440: e1031aaa  mov	x1, x26
0xfffffff008b5b444: 02008052  mov	w2, #0
0xfffffff008b5b448: e3031baa  mov	x3, x27
0xfffffff008b5b44c: 395fdf97  bl	#0xfffffff008333130
0xfffffff008b5b450: d6060011  add	w22, w22, #1
0xfffffff008b5b454: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008b5b458: 1f01166b  cmp	w8, w22
0xfffffff008b5b45c: 01f7ff54  b.ne	#0xfffffff008b5b33c
0xfffffff008b5b460: 1b169c52  mov	w27, #0xe0b0
0xfffffff008b5b464: a80218cb  sub	x8, x21, x24
0xfffffff008b5b468: 14030036  tbz	w20, #0, #0xfffffff008b5b4c8
0xfffffff008b5b46c: e80300f9  str	x8, [sp]
0xfffffff008b5b470: 803effd0  adrp	x0, #0xfffffff00732d000
0xfffffff008b5b474: 00343991  add	x0, x0, #0xe4d
0xfffffff008b5b478: fa6fc997  bl	#0xfffffff007db7460
0xfffffff008b5b47c: f50300f9  str	x21, [sp]
0xfffffff008b5b480: 803effd0  adrp	x0, #0xfffffff00732d000
0xfffffff008b5b484: 006c3a91  add	x0, x0, #0xe9b
0xfffffff008b5b488: f66fc997  bl	#0xfffffff007db7460
0xfffffff008b5b48c: 605e42f9  ldr	x0, [x19, #0x4b8]
0xfffffff008b5b490: 100040f9  ldr	x16, [x0]
0xfffffff008b5b494: f10300aa  mov	x17, x0
0xfffffff008b5b498: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b5b49c: 301ac1da  autda	x16, x17
0xfffffff008b5b4a0: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008b5b4a4: e90310aa  mov	x9, x16
0xfffffff008b5b4a8: f10309aa  mov	x17, x9
0xfffffff008b5b4ac: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008b5b4b0: 11093fd7  blraa	x8, x17
0xfffffff008b5b4b4: e00300f9  str	x0, [sp]
0xfffffff008b5b4b8: 803effd0  adrp	x0, #0xfffffff00732d000
0xfffffff008b5b4bc: 00683b91  add	x0, x0, #0xeda
0xfffffff008b5b4c0: e86fc997  bl	#0xfffffff007db7460
0xfffffff008b5b4c4: 2e000014  b	#0xfffffff008b5b57c
0xfffffff008b5b4c8: e80300f9  str	x8, [sp]
0xfffffff008b5b4cc: 573dffd0  adrp	x23, #0xfffffff007305000
0xfffffff008b5b4d0: f7420c91  add	x23, x23, #0x310
0xfffffff008b5b4d4: 9679ffd0  adrp	x22, #0xfffffff007a8d000
0xfffffff008b5b4d8: d6a641f9  ldr	x22, [x22, #0x348]
0xfffffff008b5b4dc: a33dfff0  adrp	x3, #0xfffffff007312000
0xfffffff008b5b4e0: 63f00091  add	x3, x3, #0x3c
0xfffffff008b5b4e4: e00317aa  mov	x0, x23
0xfffffff008b5b4e8: e10316aa  mov	x1, x22
0xfffffff008b5b4ec: 02008052  mov	w2, #0
0xfffffff008b5b4f0: 105fdf97  bl	#0xfffffff008333130
0xfffffff008b5b4f4: f50300f9  str	x21, [sp]
0xfffffff008b5b4f8: a33dfff0  adrp	x3, #0xfffffff007312000
0xfffffff008b5b4fc: 63280291  add	x3, x3, #0x8a
