; Candidate 11043
; ADRP+ADD at VM 0xfffffff008e1e268 (fileoff 0x1e1a268): page=0x1fe5ad000 add_imm=0xecb

0xfffffff008e1e1e8: 29c50091  add	x9, x9, #0x31
0xfffffff008e1e1ec: df020071  cmp	w22, #0
0xfffffff008e1e1f0: 3b11889a  csel	x27, x9, x8, ne
0xfffffff008e1e1f4: 700240f9  ldr	x16, [x19]
0xfffffff008e1e1f8: f10313aa  mov	x17, x19
0xfffffff008e1e1fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e1e200: 301ac1da  autda	x16, x17
0xfffffff008e1e204: 113d80d2  mov	x17, #0x1e8
0xfffffff008e1e208: 1002118b  add	x16, x16, x17
0xfffffff008e1e20c: 080240f9  ldr	x8, [x16]
0xfffffff008e1e210: e90310aa  mov	x9, x16
0xfffffff008e1e214: e00313aa  mov	x0, x19
0xfffffff008e1e218: 010080d2  mov	x1, #0
0xfffffff008e1e21c: f10309aa  mov	x17, x9
0xfffffff008e1e220: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008e1e224: 11093fd7  blraa	x8, x17
0xfffffff008e1e228: f70300aa  mov	x23, x0
0xfffffff008e1e22c: f40100b4  cbz	x20, #0xfffffff008e1e268
0xfffffff008e1e230: 900240f9  ldr	x16, [x20]
0xfffffff008e1e234: f10314aa  mov	x17, x20
0xfffffff008e1e238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e1e23c: 301ac1da  autda	x16, x17
0xfffffff008e1e240: 113d80d2  mov	x17, #0x1e8
0xfffffff008e1e244: 1002118b  add	x16, x16, x17
0xfffffff008e1e248: 080240f9  ldr	x8, [x16]
0xfffffff008e1e24c: e90310aa  mov	x9, x16
0xfffffff008e1e250: e00314aa  mov	x0, x20
0xfffffff008e1e254: 010080d2  mov	x1, #0
0xfffffff008e1e258: f10309aa  mov	x17, x9
0xfffffff008e1e25c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008e1e260: 11093fd7  blraa	x8, x17
0xfffffff008e1e264: 03000014  b	#0xfffffff008e1e270
0xfffffff008e1e268: 602dffb0  adrp	x0, #0xfffffff0073cb000
0xfffffff008e1e26c: 002c3b91  add	x0, x0, #0xecb
0xfffffff008e1e270: e06f02a9  stp	x0, x27, [sp, #0x20]
0xfffffff008e1e274: e8318052  mov	w8, #0x18f
0xfffffff008e1e278: f92301a9  stp	x25, x8, [sp, #0x10]
0xfffffff008e1e27c: f74f00a9  stp	x23, x19, [sp]
0xfffffff008e1e280: 602dffb0  adrp	x0, #0xfffffff0073cb000
0xfffffff008e1e284: 00001991  add	x0, x0, #0x640
0xfffffff008e1e288: e166ff90  adrp	x1, #0xfffffff007afa000
0xfffffff008e1e28c: 213041f9  ldr	x1, [x1, #0x260]
0xfffffff008e1e290: 632dfff0  adrp	x3, #0xfffffff0073cd000
0xfffffff008e1e294: 63d82991  add	x3, x3, #0xa76
0xfffffff008e1e298: 02008052  mov	w2, #0
0xfffffff008e1e29c: a553d497  bl	#0xfffffff008333130
0xfffffff008e1e2a0: 480340b9  ldr	w8, [x26]
0xfffffff008e1e2a4: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008e1e2a8: 00010054  b.eq	#0xfffffff008e1e2c8
0xfffffff008e1e2ac: a37e4093  sxtw	x3, w21
0xfffffff008e1e2b0: e203162a  mov	w2, w22
0xfffffff008e1e2b4: 000b0011  add	w0, w24, #2
0xfffffff008e1e2b8: e10313aa  mov	x1, x19
0xfffffff008e1e2bc: 040080d2  mov	x4, #0
0xfffffff008e1e2c0: 050080d2  mov	x5, #0
0xfffffff008e1e2c4: 107fcd97  bl	#0xfffffff00817df04
0xfffffff008e1e2c8: e00316aa  mov	x0, x22
0xfffffff008e1e2cc: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff008e1e2d0: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff008e1e2d4: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff008e1e2d8: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff008e1e2dc: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff008e1e2e0: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff008e1e2e4: e9234e6d  ldp	d9, d8, [sp, #0xe0]
