; Candidate 8470
; ADRP+ADD at VM 0xfffffff0088ac934 (fileoff 0x18a8934): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088ac8b4: 00782891  add	x0, x0, #0xa1e
0xfffffff0088ac8b8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088ac8bc: e92ad497  bl	#0xfffffff007db7460
0xfffffff0088ac8c0: ff8b00b9  str	wzr, [sp, #0x88]
0xfffffff0088ac8c4: ff5700f9  str	xzr, [sp, #0xa8]
0xfffffff0088ac8c8: 23000014  b	#0xfffffff0088ac954
0xfffffff0088ac8cc: 280b40f9  ldr	x8, [x25, #0x10]
0xfffffff0088ac8d0: 69928cb9  ldrsw	x9, [x19, #0xc90]
0xfffffff0088ac8d4: 1f0109eb  cmp	x8, x9
0xfffffff0088ac8d8: 2a040054  b.ge	#0xfffffff0088ac95c
0xfffffff0088ac8dc: 19008052  mov	w25, #0
0xfffffff0088ac8e0: ff5700f9  str	xzr, [sp, #0xa8]
0xfffffff0088ac8e4: 4e000014  b	#0xfffffff0088aca1c
0xfffffff0088ac8e8: 311e0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac8ec: fa0300aa  mov	x26, x0
0xfffffff0088ac8f0: 80008052  mov	w0, #4
0xfffffff0088ac8f4: d73bff97  bl	#0xfffffff00887b850
0xfffffff0088ac8f8: 680240b9  ldr	w8, [x19]
0xfffffff0088ac8fc: f9d304a9  stp	x25, x20, [sp, #0x48]
0xfffffff0088ac900: e8ff03a9  stp	x8, xzr, [sp, #0x38]
0xfffffff0088ac904: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac908: 08892991  add	x8, x8, #0xa62
0xfffffff0088ac90c: 89818052  mov	w9, #0x40c
0xfffffff0088ac910: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ac914: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac918: 08f12491  add	x8, x8, #0x93c
0xfffffff0088ac91c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ac920: c80f8052  mov	w8, #0x7e
0xfffffff0088ac924: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088ac928: 63642791  add	x3, x3, #0x9d9
0xfffffff0088ac92c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ac930: fa0300f9  str	x26, [sp]
0xfffffff0088ac934: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ac938: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ac93c: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088ac940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ac944: 02008052  mov	w2, #0
0xfffffff0088ac948: fa19ea97  bl	#0xfffffff008333130
0xfffffff0088ac94c: ff8b00b9  str	wzr, [sp, #0x88]
0xfffffff0088ac950: ff5700f9  str	xzr, [sp, #0xa8]
0xfffffff0088ac954: 797d8012  mov	w25, #-0x3ec
0xfffffff0088ac958: 33000014  b	#0xfffffff0088aca24
0xfffffff0088ac95c: 9f070071  cmp	w28, #1
0xfffffff0088ac960: 0b050054  b.lt	#0xfffffff0088aca00
0xfffffff0088ac964: 150080d2  mov	x21, #0
0xfffffff0088ac968: ff5700f9  str	xzr, [sp, #0xa8]
0xfffffff0088ac96c: e8031c2a  mov	w8, w28
0xfffffff0088ac970: e84700f9  str	x8, [sp, #0x88]
0xfffffff0088ac974: 6812158b  add	x8, x19, x21, lsl #4
0xfffffff0088ac978: 1a413091  add	x26, x8, #0xc10
0xfffffff0088ac97c: e0031aaa  mov	x0, x26
0xfffffff0088ac980: 820dfe97  bl	#0xfffffff00882ff88
0xfffffff0088ac984: fb0300aa  mov	x27, x0
0xfffffff0088ac988: e0031aaa  mov	x0, x26
0xfffffff0088ac98c: 940dfe97  bl	#0xfffffff00882ffdc
0xfffffff0088ac990: 7f0300eb  cmp	x27, x0
0xfffffff0088ac994: c0020054  b.eq	#0xfffffff0088ac9ec
0xfffffff0088ac998: 680f40f9  ldr	x8, [x27, #0x18]
0xfffffff0088ac99c: 6801f8b7  tbnz	x8, #0x3f, #0xfffffff0088ac9c8
0xfffffff0088ac9a0: 690b40f9  ldr	x9, [x27, #0x10]
0xfffffff0088ac9a4: 2a0b40f9  ldr	x10, [x25, #0x10]
0xfffffff0088ac9a8: 950000b5  cbnz	x21, #0xfffffff0088ac9b8
0xfffffff0088ac9ac: 4b0500d1  sub	x11, x10, #1
0xfffffff0088ac9b0: 3f010beb  cmp	x9, x11
