; Candidate 7842
; ADRP+ADD at VM 0xfffffff0088828fc (fileoff 0x187e8fc): page=0x1fe967000 add_imm=0xe80

0xfffffff00888287c: 18020034  cbz	w24, #0xfffffff0088828bc
0xfffffff008882880: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882884: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008882888: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00888288c: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882890: 088d0191  add	x8, x8, #0x63
0xfffffff008882894: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882898: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff00888289c: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088828a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088828a4: 880b8052  mov	w8, #0x5c
0xfffffff0088828a8: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff0088828ac: 00c40191  add	x0, x0, #0x71
0xfffffff0088828b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088828b4: ebd2d497  bl	#0xfffffff007db7460
0xfffffff0088828b8: 19000014  b	#0xfffffff00888291c
0xfffffff0088828bc: 3cc60094  bl	#0xfffffff0088b41ac
0xfffffff0088828c0: f70300aa  mov	x23, x0
0xfffffff0088828c4: 00018052  mov	w0, #8
0xfffffff0088828c8: e2e3ff97  bl	#0xfffffff00887b850
0xfffffff0088828cc: e80316aa  mov	x8, x22
0xfffffff0088828d0: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088828d4: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088828d8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088828dc: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088828e0: 088d0191  add	x8, x8, #0x63
0xfffffff0088828e4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088828e8: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088828ec: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088828f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088828f4: 880b8052  mov	w8, #0x5c
0xfffffff0088828f8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088828fc: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882900: 00003a91  add	x0, x0, #0xe80
0xfffffff008882904: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882908: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888290c: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882910: 63643991  add	x3, x3, #0xe59
0xfffffff008882914: 02008052  mov	w2, #0
0xfffffff008882918: 06c2ea97  bl	#0xfffffff008333130
0xfffffff00888291c: e00316aa  mov	x0, x22
0xfffffff008882920: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008882924: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008882928: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00888292c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008882930: ff430291  add	sp, sp, #0x90
0xfffffff008882934: ff0f5fd6  retab	
0xfffffff008882938: 7f2303d5  pacibsp	
0xfffffff00888293c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008882940: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008882944: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008882948: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00888294c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008882950: fd030291  add	x29, sp, #0x80
0xfffffff008882954: f50302aa  mov	x21, x2
0xfffffff008882958: f40301aa  mov	x20, x1
0xfffffff00888295c: f30300aa  mov	x19, x0
0xfffffff008882960: 800b8052  mov	w0, #0x5c
0xfffffff008882964: 01018052  mov	w1, #8
0xfffffff008882968: 9ae3ff97  bl	#0xfffffff00887b7d0
0xfffffff00888296c: 20060034  cbz	w0, #0xfffffff008882a30
0xfffffff008882970: 800b8052  mov	w0, #0x5c
0xfffffff008882974: a9e3ff97  bl	#0xfffffff00887b818
0xfffffff008882978: f70300aa  mov	x23, x0
