; Candidate 1678
; ADRP+ADD at VM 0xfffffff0084f1464 (fileoff 0x14ed464): page=0x1febf0000 add_imm=0xe02

0xfffffff0084f13e4: 11093fd7  blraa	x8, x17
0xfffffff0084f13e8: 00008052  mov	w0, #0
0xfffffff0084f13ec: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0084f13f0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0084f13f4: ff030191  add	sp, sp, #0x40
0xfffffff0084f13f8: ff0f5fd6  retab	
0xfffffff0084f13fc: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff0084f1400: 69048652  mov	w9, #0x3023
0xfffffff0084f1404: 2a5ffff0  adrp	x10, #0xfffffff0070d8000
0xfffffff0084f1408: 4a5d2991  add	x10, x10, #0xa57
0xfffffff0084f140c: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084f1410: e82700a9  stp	x8, x9, [sp]
0xfffffff0084f1414: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1418: 00683e91  add	x0, x0, #0xf9a
0xfffffff0084f141c: 3c8cfe97  bl	#0xfffffff00849450c
0xfffffff0084f1420: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff0084f1424: 69048652  mov	w9, #0x3023
0xfffffff0084f1428: 2a5ffff0  adrp	x10, #0xfffffff0070d8000
0xfffffff0084f142c: 4a5d2991  add	x10, x10, #0xa57
0xfffffff0084f1430: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084f1434: e82700a9  stp	x8, x9, [sp]
0xfffffff0084f1438: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f143c: 00a83d91  add	x0, x0, #0xf6a
0xfffffff0084f1440: 338cfe97  bl	#0xfffffff00849450c
0xfffffff0084f1444: 7f2303d5  pacibsp	
0xfffffff0084f1448: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f144c: fd030091  mov	x29, sp
0xfffffff0084f1450: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1454: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f1458: 78dff897  bl	#0xfffffff008329238
0xfffffff0084f145c: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1460: 00c507f9  str	x0, [x8, #0xf88]
0xfffffff0084f1464: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1468: 00083891  add	x0, x0, #0xe02
0xfffffff0084f146c: 73dff897  bl	#0xfffffff008329238
0xfffffff0084f1470: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1474: 00c907f9  str	x0, [x8, #0xf90]
0xfffffff0084f1478: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f147c: 00883891  add	x0, x0, #0xe22
0xfffffff0084f1480: 6edff897  bl	#0xfffffff008329238
0xfffffff0084f1484: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1488: 00cd07f9  str	x0, [x8, #0xf98]
0xfffffff0084f148c: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1490: 00e43891  add	x0, x0, #0xe39
0xfffffff0084f1494: 69dff897  bl	#0xfffffff008329238
0xfffffff0084f1498: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f149c: 00d107f9  str	x0, [x8, #0xfa0]
0xfffffff0084f14a0: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f14a4: 004c3991  add	x0, x0, #0xe53
0xfffffff0084f14a8: 64dff897  bl	#0xfffffff008329238
0xfffffff0084f14ac: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14b0: 00d507f9  str	x0, [x8, #0xfa8]
0xfffffff0084f14b4: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f14b8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084f14bc: 5fdff897  bl	#0xfffffff008329238
0xfffffff0084f14c0: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14c4: 00d907f9  str	x0, [x8, #0xfb0]
0xfffffff0084f14c8: 405ffff0  adrp	x0, #0xfffffff0070dc000
0xfffffff0084f14cc: 00f01f91  add	x0, x0, #0x7fc
0xfffffff0084f14d0: 5adff897  bl	#0xfffffff008329238
0xfffffff0084f14d4: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14d8: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff0084f14dc: 405fff90  adrp	x0, #0xfffffff0070d9000
0xfffffff0084f14e0: 00b43d91  add	x0, x0, #0xf6d
