; Candidate 11543
; ADRP+ADD at VM 0xfffffff008f874d4 (fileoff 0x1f834d4): page=0x1fe49c000 add_imm=0xd43

0xfffffff008f87454: 1c000014  b	#0xfffffff008f874c4
0xfffffff008f87458: e87f4039  ldrb	w8, [sp, #0x1f]
0xfffffff008f8745c: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff008f87460: e87f0039  strb	w8, [sp, #0x1f]
0xfffffff008f87464: 55040034  cbz	w21, #0xfffffff008f874ec
0xfffffff008f87468: 606a40f9  ldr	x0, [x19, #0xd0]
0xfffffff008f8746c: 100040f9  ldr	x16, [x0]
0xfffffff008f87470: f10300aa  mov	x17, x0
0xfffffff008f87474: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f87478: 301ac1da  autda	x16, x17
0xfffffff008f8747c: 11d580d2  mov	x17, #0x6a8
0xfffffff008f87480: 1002118b  add	x16, x16, x17
0xfffffff008f87484: 080240f9  ldr	x8, [x16]
0xfffffff008f87488: e90310aa  mov	x9, x16
0xfffffff008f8748c: 81008052  mov	w1, #4
0xfffffff008f87490: f10309aa  mov	x17, x9
0xfffffff008f87494: 11a7e9f2  movk	x17, #0x4d38, lsl #48
0xfffffff008f87498: 11093fd7  blraa	x8, x17
0xfffffff008f8749c: 1f401f71  cmp	w0, #0x7d0
0xfffffff008f874a0: 68008052  mov	w8, #3
0xfffffff008f874a4: 0835881a  cinc	w8, w8, hs
0xfffffff008f874a8: 1fa00f71  cmp	w0, #0x3e8
0xfffffff008f874ac: 49008052  mov	w9, #2
0xfffffff008f874b0: 2931881a  csel	w9, w9, w8, lo
0xfffffff008f874b4: e87f4039  ldrb	w8, [sp, #0x1f]
0xfffffff008f874b8: 0e000014  b	#0xfffffff008f874f0
0xfffffff008f874bc: c024fff0  adrp	x0, #0xfffffff007422000
0xfffffff008f874c0: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f874c4: e824ff90  adrp	x8, #0xfffffff007423000
0xfffffff008f874c8: 08bd3591  add	x8, x8, #0xd6f
0xfffffff008f874cc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008f874d0: f40300f9  str	x20, [sp]
0xfffffff008f874d4: e024ff90  adrp	x0, #0xfffffff007423000
0xfffffff008f874d8: 000c3591  add	x0, x0, #0xd43
0xfffffff008f874dc: d13ecf97  bl	#0xfffffff008357020
0xfffffff008f874e0: 80578052  mov	w0, #0x2bc
0xfffffff008f874e4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008f874e8: 3c000014  b	#0xfffffff008f875d8
0xfffffff008f874ec: 09008052  mov	w9, #0
0xfffffff008f874f0: 0801092a  orr	w8, w8, w9
0xfffffff008f874f4: e87b0039  strb	w8, [sp, #0x1e]
0xfffffff008f874f8: 700240f9  ldr	x16, [x19]
0xfffffff008f874fc: f10313aa  mov	x17, x19
0xfffffff008f87500: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f87504: 301ac1da  autda	x16, x17
0xfffffff008f87508: 11ad80d2  mov	x17, #0x568
0xfffffff008f8750c: 1002118b  add	x16, x16, x17
0xfffffff008f87510: 080240f9  ldr	x8, [x16]
0xfffffff008f87514: e90310aa  mov	x9, x16
0xfffffff008f87518: e27b0091  add	x2, sp, #0x1e
0xfffffff008f8751c: e00313aa  mov	x0, x19
0xfffffff008f87520: 41008052  mov	w1, #2
0xfffffff008f87524: 23008052  mov	w3, #1
0xfffffff008f87528: f10309aa  mov	x17, x9
0xfffffff008f8752c: 5104fbf2  movk	x17, #0xd822, lsl #48
0xfffffff008f87530: 11093fd7  blraa	x8, x17
0xfffffff008f87534: 20050035  cbnz	w0, #0xfffffff008f875d8
0xfffffff008f87538: 68624439  ldrb	w8, [x19, #0x118]
0xfffffff008f8753c: 08791912  and	w8, w8, #0xffffffbf
0xfffffff008f87540: 9f020071  cmp	w20, #0
0xfffffff008f87544: 09088052  mov	w9, #0x40
0xfffffff008f87548: e913891a  csel	w9, wzr, w9, ne
0xfffffff008f8754c: 0801092a  orr	w8, w8, w9
0xfffffff008f87550: 68620439  strb	w8, [x19, #0x118]
