; Candidate 14280
; ADRP+ADD at VM 0xfffffff00975d128 (fileoff 0x2759128): page=0xc2e000 add_imm=0xea8

0xfffffff00975d0a8: 63f2fe90  adrp	x3, #0xfffffff0075a9000
0xfffffff00975d0ac: 63700491  add	x3, x3, #0x11c
0xfffffff00975d0b0: 2058af97  bl	#0xfffffff008333130
0xfffffff00975d0b4: 880340b9  ldr	w8, [x28]
0xfffffff00975d0b8: 1f990171  cmp	w8, #0x66
0xfffffff00975d0bc: cb000054  b.lt	#0xfffffff00975d0d4
0xfffffff00975d0c0: 572500b4  cbz	x23, #0xfffffff00975d568
0xfffffff00975d0c4: e90240b9  ldr	w9, [x23]
0xfffffff00975d0c8: 3f910171  cmp	w9, #0x64
0xfffffff00975d0cc: 8c000054  b.gt	#0xfffffff00975d0dc
0xfffffff00975d0d0: 26010014  b	#0xfffffff00975d568
0xfffffff00975d0d4: 1f950171  cmp	w8, #0x65
0xfffffff00975d0d8: 21010054  b.ne	#0xfffffff00975d0fc
0xfffffff00975d0dc: 890b40f9  ldr	x9, [x28, #0x10]
0xfffffff00975d0e0: a90000b4  cbz	x9, #0xfffffff00975d0f4
0xfffffff00975d0e4: 2b0140b9  ldr	w11, [x9]
0xfffffff00975d0e8: 0a050011  add	w10, w8, #1
0xfffffff00975d0ec: 7f010a6b  cmp	w11, w10
0xfffffff00975d0f0: 8c310054  b.gt	#0xfffffff00975d720
0xfffffff00975d0f4: 2a008052  mov	w10, #1
0xfffffff00975d0f8: 03000014  b	#0xfffffff00975d104
0xfffffff00975d0fc: 0a008052  mov	w10, #0
0xfffffff00975d100: 890b40f9  ldr	x9, [x28, #0x10]
0xfffffff00975d104: f7031caa  mov	x23, x28
0xfffffff00975d108: 29f8ffb5  cbnz	x9, #0xfffffff00975d00c
0xfffffff00975d10c: f7031caa  mov	x23, x28
0xfffffff00975d110: 1fc90771  cmp	w8, #0x1f2
0xfffffff00975d114: ccf7ff54  b.gt	#0xfffffff00975d00c
0xfffffff00975d118: 5f010071  cmp	w10, #0
0xfffffff00975d11c: a90c8052  mov	w9, #0x65
0xfffffff00975d120: 2805881a  csinc	w8, w9, w8, eq
0xfffffff00975d124: 880200b9  str	w8, [x20]
0xfffffff00975d128: 606100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975d12c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975d130: 0a1eae97  bl	#0xfffffff0082e4958
0xfffffff00975d134: e00315aa  mov	x0, x21
0xfffffff00975d138: 492efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d13c: c00100b5  cbnz	x0, #0xfffffff00975d174
0xfffffff00975d140: b00240f9  ldr	x16, [x21]
0xfffffff00975d144: f10315aa  mov	x17, x21
0xfffffff00975d148: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d14c: 301ac1da  autda	x16, x17
0xfffffff00975d150: 113d80d2  mov	x17, #0x1e8
0xfffffff00975d154: 1002118b  add	x16, x16, x17
0xfffffff00975d158: 080240f9  ldr	x8, [x16]
0xfffffff00975d15c: e90310aa  mov	x9, x16
0xfffffff00975d160: e00315aa  mov	x0, x21
0xfffffff00975d164: 010080d2  mov	x1, #0
0xfffffff00975d168: f10309aa  mov	x17, x9
0xfffffff00975d16c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975d170: 11093fd7  blraa	x8, x17
0xfffffff00975d174: e00315aa  mov	x0, x21
0xfffffff00975d178: 392efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d17c: e00315aa  mov	x0, x21
0xfffffff00975d180: 372efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d184: f86744a9  ldp	x24, x25, [sp, #0x40]
0xfffffff00975d188: 9bf1fe90  adrp	x27, #0xfffffff00758d000
0xfffffff00975d18c: 7bc73491  add	x27, x27, #0xd31
0xfffffff00975d190: c00100b5  cbnz	x0, #0xfffffff00975d1c8
0xfffffff00975d194: b00240f9  ldr	x16, [x21]
0xfffffff00975d198: f10315aa  mov	x17, x21
0xfffffff00975d19c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d1a0: 301ac1da  autda	x16, x17
0xfffffff00975d1a4: 114380d2  mov	x17, #0x218
