; Candidate 15365
; ADRP+ADD at VM 0xfffffff009b560dc (fileoff 0x2b520dc): page=0x1fdad2000 add_imm=0xed0

0xfffffff009b5605c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b56060: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b56064: e00313aa  mov	x0, x19
0xfffffff009b56068: 010080d2  mov	x1, #0
0xfffffff009b5606c: f10308aa  mov	x17, x8
0xfffffff009b56070: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b56074: 31093fd7  blraa	x9, x17
0xfffffff009b56078: f60300aa  mov	x22, x0
0xfffffff009b5607c: 700240f9  ldr	x16, [x19]
0xfffffff009b56080: f10313aa  mov	x17, x19
0xfffffff009b56084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b56088: 301ac1da  autda	x16, x17
0xfffffff009b5608c: f10310aa  mov	x17, x16
0xfffffff009b56090: f147c1da  xpacd	x17
0xfffffff009b56094: 1f0211eb  cmp	x16, x17
0xfffffff009b56098: 40000054  b.eq	#0xfffffff009b560a0
0xfffffff009b5609c: 408e38d4  brk	#0xc472
0xfffffff009b560a0: 08620891  add	x8, x16, #0x218
0xfffffff009b560a4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b560a8: e00313aa  mov	x0, x19
0xfffffff009b560ac: 010080d2  mov	x1, #0
0xfffffff009b560b0: f10308aa  mov	x17, x8
0xfffffff009b560b4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b560b8: 31093fd7  blraa	x9, x17
0xfffffff009b560bc: ea2f40b9  ldr	w10, [sp, #0x2c]
0xfffffff009b560c0: a8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b560c4: 08d13d91  add	x8, x8, #0xf74
0xfffffff009b560c8: 89d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b560cc: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b560d0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b560d4: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b560d8: f60300f9  str	x22, [sp]
0xfffffff009b560dc: 80d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b560e0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b560e4: a3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b560e8: 63c83191  add	x3, x3, #0xc72
0xfffffff009b560ec: e10315aa  mov	x1, x21
0xfffffff009b560f0: e20314aa  mov	x2, x20
0xfffffff009b560f4: 0f749f97  bl	#0xfffffff008333130
0xfffffff009b560f8: 74de40f9  ldr	x20, [x19, #0x1b8]
0xfffffff009b560fc: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff009b56100: 1f210071  cmp	w8, #8
0xfffffff009b56104: 60000054  b.eq	#0xfffffff009b56110
0xfffffff009b56108: 1f190071  cmp	w8, #6
0xfffffff009b5610c: c1010054  b.ne	#0xfffffff009b56144
0xfffffff009b56110: 7fea02b9  str	wzr, [x19, #0x2e8]
0xfffffff009b56114: 607241f9  ldr	x0, [x19, #0x2e0]
0xfffffff009b56118: 100040f9  ldr	x16, [x0]
0xfffffff009b5611c: f10300aa  mov	x17, x0
0xfffffff009b56120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b56124: 301ac1da  autda	x16, x17
0xfffffff009b56128: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff009b5612c: e90310aa  mov	x9, x16
0xfffffff009b56130: 81028052  mov	w1, #0x14
0xfffffff009b56134: f10309aa  mov	x17, x9
0xfffffff009b56138: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff009b5613c: 11093fd7  blraa	x8, x17
0xfffffff009b56140: 74de40f9  ldr	x20, [x19, #0x1b8]
0xfffffff009b56144: 606241f9  ldr	x0, [x19, #0x2c0]
0xfffffff009b56148: 100040f9  ldr	x16, [x0]
0xfffffff009b5614c: f10300aa  mov	x17, x0
0xfffffff009b56150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b56154: 301ac1da  autda	x16, x17
0xfffffff009b56158: 112980d2  mov	x17, #0x148
