; Candidate 7324
; ADRP+ADD at VM 0xfffffff008867634 (fileoff 0x1863634): page=0x1fe982000 add_imm=0xe80

0xfffffff0088675b4: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0088675b8: 100040f9  ldr	x16, [x0]
0xfffffff0088675bc: f10300aa  mov	x17, x0
0xfffffff0088675c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088675c4: 301ac1da  autda	x16, x17
0xfffffff0088675c8: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0088675cc: e90310aa  mov	x9, x16
0xfffffff0088675d0: f10309aa  mov	x17, x9
0xfffffff0088675d4: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff0088675d8: 11093fd7  blraa	x8, x17
0xfffffff0088675dc: 48008052  mov	w8, #2
0xfffffff0088675e0: 68a200b9  str	w8, [x19, #0xa0]
0xfffffff0088675e4: 87ffff17  b	#0xfffffff008867400
0xfffffff0088675e8: f1320194  bl	#0xfffffff0088b41ac
0xfffffff0088675ec: f50300aa  mov	x21, x0
0xfffffff0088675f0: 80008052  mov	w0, #4
0xfffffff0088675f4: 97500094  bl	#0xfffffff00887b850
0xfffffff0088675f8: e80314aa  mov	x8, x20
0xfffffff0088675fc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008867600: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008867604: 484dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008867608: 08b92791  add	x8, x8, #0x9ee
0xfffffff00886760c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008867610: 489e8052  mov	w8, #0x4f2
0xfffffff008867614: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff008867618: 29553591  add	x9, x9, #0xd55
0xfffffff00886761c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008867620: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff008867624: 08811191  add	x8, x8, #0x460
0xfffffff008867628: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886762c: 680c8052  mov	w8, #0x63
0xfffffff008867630: f52300a9  stp	x21, x8, [sp]
0xfffffff008867634: 004cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008867638: 00003a91  add	x0, x0, #0xe80
0xfffffff00886763c: 018dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008867640: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008867644: 834fff90  adrp	x3, #0xfffffff007257000
0xfffffff008867648: 636c1191  add	x3, x3, #0x45b
0xfffffff00886764c: 02008052  mov	w2, #0
0xfffffff008867650: b82eeb97  bl	#0xfffffff008333130
0xfffffff008867654: 6bffff17  b	#0xfffffff008867400
0xfffffff008867658: 7f2303d5  pacibsp	
0xfffffff00886765c: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008867660: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008867664: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008867668: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00886766c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008867670: fd430291  add	x29, sp, #0x90
0xfffffff008867674: f30300aa  mov	x19, x0
0xfffffff008867678: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff00886767c: 600c8052  mov	w0, #0x63
0xfffffff008867680: c1008052  mov	w1, #6
0xfffffff008867684: 53500094  bl	#0xfffffff00887b7d0
0xfffffff008867688: a0050034  cbz	w0, #0xfffffff00886773c
0xfffffff00886768c: 600c8052  mov	w0, #0x63
0xfffffff008867690: 62500094  bl	#0xfffffff00887b818
0xfffffff008867694: f50300aa  mov	x21, x0
0xfffffff008867698: c5320194  bl	#0xfffffff0088b41ac
0xfffffff00886769c: f40300aa  mov	x20, x0
0xfffffff0088676a0: c0008052  mov	w0, #6
0xfffffff0088676a4: 6b500094  bl	#0xfffffff00887b850
0xfffffff0088676a8: f5010034  cbz	w21, #0xfffffff0088676e4
0xfffffff0088676ac: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088676b0: f3a302a9  stp	x19, x8, [sp, #0x28]
