; Candidate 8314
; ADRP+ADD at VM 0xfffffff0088a2f98 (fileoff 0x189ef98): page=0x1fe98f000 add_imm=0xdc0

0xfffffff0088a2f18: fb0300aa  mov	x27, x0
0xfffffff0088a2f1c: 600f8052  mov	w0, #0x7b
0xfffffff0088a2f20: 81008052  mov	w1, #4
0xfffffff0088a2f24: 2b62ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a2f28: 20040034  cbz	w0, #0xfffffff0088a2fac
0xfffffff0088a2f2c: 600f8052  mov	w0, #0x7b
0xfffffff0088a2f30: 3a62ff97  bl	#0xfffffff00887b818
0xfffffff0088a2f34: f40300aa  mov	x20, x0
0xfffffff0088a2f38: 9d440094  bl	#0xfffffff0088b41ac
0xfffffff0088a2f3c: fc0300aa  mov	x28, x0
0xfffffff0088a2f40: 80008052  mov	w0, #4
0xfffffff0088a2f44: 4362ff97  bl	#0xfffffff00887b850
0xfffffff0088a2f48: b5035af8  ldur	x21, [x29, #-0x60]
0xfffffff0088a2f4c: b8db78a9  ldp	x24, x22, [x29, #-0x78]
0xfffffff0088a2f50: 14110034  cbz	w20, #0xfffffff0088a3170
0xfffffff0088a2f54: e80240b9  ldr	w8, [x23]
0xfffffff0088a2f58: e91640b9  ldr	w9, [x23, #0x14]
0xfffffff0088a2f5c: 6a008052  mov	w10, #3
0xfffffff0088a2f60: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff0088a2f64: e90315aa  mov	x9, x21
0xfffffff0088a2f68: 6a4bffd0  adrp	x10, #0xfffffff007210000
0xfffffff0088a2f6c: 4ab92791  add	x10, x10, #0x9ee
0xfffffff0088a2f70: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a2f74: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff0088a2f78: 68188052  mov	w8, #0xc3
0xfffffff0088a2f7c: 694bfff0  adrp	x9, #0xfffffff007211000
0xfffffff0088a2f80: 29892c91  add	x9, x9, #0xb22
0xfffffff0088a2f84: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a2f88: 884cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a2f8c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a2f90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2f94: 680f8052  mov	w8, #0x7b
0xfffffff0088a2f98: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a2f9c: 00003791  add	x0, x0, #0xdc0
0xfffffff0088a2fa0: fc2300a9  stp	x28, x8, [sp]
0xfffffff0088a2fa4: 2f51d497  bl	#0xfffffff007db7460
0xfffffff0088a2fa8: 02000014  b	#0xfffffff0088a2fb0
0xfffffff0088a2fac: b8db78a9  ldp	x24, x22, [x29, #-0x78]
0xfffffff0088a2fb0: b78359f8  ldur	x23, [x29, #-0x68]
0xfffffff0088a2fb4: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff0088a2fb8: 24000014  b	#0xfffffff0088a3048
0xfffffff0088a2fbc: 7c440094  bl	#0xfffffff0088b41ac
0xfffffff0088a2fc0: f40300aa  mov	x20, x0
0xfffffff0088a2fc4: 80008052  mov	w0, #4
0xfffffff0088a2fc8: 2262ff97  bl	#0xfffffff00887b850
0xfffffff0088a2fcc: e8031caa  mov	x8, x28
0xfffffff0088a2fd0: f8a306a9  stp	x24, x8, [sp, #0x68]
0xfffffff0088a2fd4: e80317aa  mov	x8, x23
0xfffffff0088a2fd8: e83300f9  str	x8, [sp, #0x60]
0xfffffff0088a2fdc: e80316aa  mov	x8, x22
0xfffffff0088a2fe0: e9031aaa  mov	x9, x26
0xfffffff0088a2fe4: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088a2fe8: e80319aa  mov	x8, x25
0xfffffff0088a2fec: e90315aa  mov	x9, x21
0xfffffff0088a2ff0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a2ff4: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2ff8: 08193491  add	x8, x8, #0xd06
0xfffffff0088a2ffc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a3000: 68148052  mov	w8, #0xa3
0xfffffff0088a3004: 694bffd0  adrp	x9, #0xfffffff007211000
0xfffffff0088a3008: 29892c91  add	x9, x9, #0xb22
0xfffffff0088a300c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a3010: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3014: 08593a91  add	x8, x8, #0xe96
