; Candidate 12999
; ADRP+ADD at VM 0xfffffff0091b0f78 (fileoff 0x21acf78): page=0x1166000 add_imm=0xe40

0xfffffff0091b0ef8: 20008052  mov	w0, #1
0xfffffff0091b0efc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091b0f00: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091b0f04: ff0f5fd6  retab	
0xfffffff0091b0f08: 4117ff90  adrp	x1, #0xfffffff007498000
0xfffffff0091b0f0c: 210c1c91  add	x1, x1, #0x703
0xfffffff0091b0f10: e00313aa  mov	x0, x19
0xfffffff0091b0f14: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091b0f18: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091b0f1c: ff2303d5  autibsp	
0xfffffff0091b0f20: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091b0f24: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091b0f2c
0xfffffff0091b0f28: 208e38d4  brk	#0xc471
0xfffffff0091b0f2c: 85c2ff17  b	#0xfffffff0091a1940
0xfffffff0091b0f30: 7f2303d5  pacibsp	
0xfffffff0091b0f34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091b0f38: fd030091  mov	x29, sp
0xfffffff0091b0f3c: 2017ffd0  adrp	x0, #0xfffffff007496000
0xfffffff0091b0f40: 00bc3091  add	x0, x0, #0xc2f
0xfffffff0091b0f44: bde0c597  bl	#0xfffffff008329238
0xfffffff0091b0f48: 288b00f0  adrp	x8, #0xfffffff00a317000
0xfffffff0091b0f4c: 004504f9  str	x0, [x8, #0x888]
0xfffffff0091b0f50: 2017ffd0  adrp	x0, #0xfffffff007496000
0xfffffff0091b0f54: 006c3191  add	x0, x0, #0xc5b
0xfffffff0091b0f58: b8e0c597  bl	#0xfffffff008329238
0xfffffff0091b0f5c: 288b00f0  adrp	x8, #0xfffffff00a317000
0xfffffff0091b0f60: 004904f9  str	x0, [x8, #0x890]
0xfffffff0091b0f64: 2017ffd0  adrp	x0, #0xfffffff007496000
0xfffffff0091b0f68: 00f83191  add	x0, x0, #0xc7e
0xfffffff0091b0f6c: b3e0c597  bl	#0xfffffff008329238
0xfffffff0091b0f70: 288b00f0  adrp	x8, #0xfffffff00a317000
0xfffffff0091b0f74: 004d04f9  str	x0, [x8, #0x898]
0xfffffff0091b0f78: 208b00d0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b0f7c: 00003991  add	x0, x0, #0xe40
0xfffffff0091b0f80: 2117fff0  adrp	x1, #0xfffffff007497000
0xfffffff0091b0f84: 21a42191  add	x1, x1, #0x869
0xfffffff0091b0f88: c24dfff0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091b0f8c: 42a440f9  ldr	x2, [x2, #0x148]
0xfffffff0091b0f90: 03098052  mov	w3, #0x48
0xfffffff0091b0f94: e9cac497  bl	#0xfffffff0082e3b38
0xfffffff0091b0f98: 304effd0  adrp	x16, #0xfffffff007b76000
0xfffffff0091b0f9c: 10820691  add	x16, x16, #0x1a0
0xfffffff0091b0fa0: 10420091  add	x16, x16, #0x10
0xfffffff0091b0fa4: f10300aa  mov	x17, x0
0xfffffff0091b0fa8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b0fac: 300ac1da  pacda	x16, x17
0xfffffff0091b0fb0: 100000f9  str	x16, [x0]
0xfffffff0091b0fb4: 208b00d0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b0fb8: 00a03991  add	x0, x0, #0xe68
0xfffffff0091b0fbc: 2117fff0  adrp	x1, #0xfffffff007497000
0xfffffff0091b0fc0: 21482291  add	x1, x1, #0x892
0xfffffff0091b0fc4: c24dfff0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091b0fc8: 429440f9  ldr	x2, [x2, #0x128]
0xfffffff0091b0fcc: 034f8052  mov	w3, #0x278
0xfffffff0091b0fd0: dacac497  bl	#0xfffffff0082e3b38
0xfffffff0091b0fd4: 304effd0  adrp	x16, #0xfffffff007b76000
0xfffffff0091b0fd8: 10c22691  add	x16, x16, #0x9b0
0xfffffff0091b0fdc: 10420091  add	x16, x16, #0x10
0xfffffff0091b0fe0: f10300aa  mov	x17, x0
0xfffffff0091b0fe4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b0fe8: 300ac1da  pacda	x16, x17
0xfffffff0091b0fec: 100000f9  str	x16, [x0]
0xfffffff0091b0ff0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091b0ff4: ff0f5fd6  retab	
