; Candidate 2367
; ADRP+ADD at VM 0xfffffff00862f7c8 (fileoff 0x162b7c8): page=0x1feade000 add_imm=0xe75

0xfffffff00862f748: 680000b4  cbz	x8, #0xfffffff00862f754
0xfffffff00862f74c: 13008052  mov	w19, #0
0xfffffff00862f750: 24000014  b	#0xfffffff00862f7e0
0xfffffff00862f754: d3578052  mov	w19, #0x2be
0xfffffff00862f758: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00862f75c: 100040f9  ldr	x16, [x0]
0xfffffff00862f760: f10300aa  mov	x17, x0
0xfffffff00862f764: 7145f0f2  movk	x17, #0x822b, lsl #48
0xfffffff00862f768: 301ac1da  autda	x16, x17
0xfffffff00862f76c: 080240f9  ldr	x8, [x16]
0xfffffff00862f770: e90310aa  mov	x9, x16
0xfffffff00862f774: f10309aa  mov	x17, x9
0xfffffff00862f778: b1e1e3f2  movk	x17, #0x1f0d, lsl #48
0xfffffff00862f77c: 11093fd7  blraa	x8, x17
0xfffffff00862f780: 681b8052  mov	w8, #0xdb
0xfffffff00862f784: e956ffb0  adrp	x9, #0xfffffff00710c000
0xfffffff00862f788: 29b52091  add	x9, x9, #0x82d
0xfffffff00862f78c: ea56ffd0  adrp	x10, #0xfffffff00710d000
0xfffffff00862f790: 4a653a91  add	x10, x10, #0xe99
0xfffffff00862f794: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00862f798: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff00862f79c: ea0300f9  str	x10, [sp]
0xfffffff00862f7a0: c056ffb0  adrp	x0, #0xfffffff007108000
0xfffffff00862f7a4: 00380f91  add	x0, x0, #0x3ce
0xfffffff00862f7a8: 6effff97  bl	#0xfffffff00862f560
0xfffffff00862f7ac: 0d000014  b	#0xfffffff00862f7e0
0xfffffff00862f7b0: e856ffb0  adrp	x8, #0xfffffff00710c000
0xfffffff00862f7b4: 08b52091  add	x8, x8, #0x82d
0xfffffff00862f7b8: 2957ffb0  adrp	x9, #0xfffffff007114000
0xfffffff00862f7bc: 29c11e91  add	x9, x9, #0x7b0
0xfffffff00862f7c0: e88700a9  stp	x8, x1, [sp, #8]
0xfffffff00862f7c4: e90300f9  str	x9, [sp]
0xfffffff00862f7c8: e056ffd0  adrp	x0, #0xfffffff00710d000
0xfffffff00862f7cc: 00d43991  add	x0, x0, #0xe75
0xfffffff00862f7d0: 64ffff97  bl	#0xfffffff00862f560
0xfffffff00862f7d4: c8578052  mov	w8, #0x2be
0xfffffff00862f7d8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff00862f7dc: 13110011  add	w19, w8, #4
0xfffffff00862f7e0: e00313aa  mov	x0, x19
0xfffffff00862f7e4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00862f7e8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00862f7ec: ff430191  add	sp, sp, #0x50
0xfffffff00862f7f0: ff0f5fd6  retab	
0xfffffff00862f7f4: 7f2303d5  pacibsp	
0xfffffff00862f7f8: ff0302d1  sub	sp, sp, #0x80
0xfffffff00862f7fc: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00862f800: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00862f804: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00862f808: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00862f80c: fdc30191  add	x29, sp, #0x70
0xfffffff00862f810: f30300aa  mov	x19, x0
0xfffffff00862f814: 35008052  mov	w21, #1
0xfffffff00862f818: 15e0a372  movk	w21, #0x1f00, lsl #16
0xfffffff00862f81c: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff00862f820: 080840b9  ldr	w8, [x0, #8]
0xfffffff00862f824: 0900bc52  mov	w9, #-0x20000000
0xfffffff00862f828: 0901090b  add	w9, w8, w9
0xfffffff00862f82c: 0a7d1813  asr	w10, w8, #0x18
0xfffffff00862f830: 297d1853  lsr	w9, w9, #0x18
0xfffffff00862f834: 3f7d0171  cmp	w9, #0x5f
0xfffffff00862f838: 09048052  mov	w9, #0x20
0xfffffff00862f83c: 4a31891a  csel	w10, w10, w9, lo
0xfffffff00862f840: 0b5d1853  lsl	w11, w8, #8
0xfffffff00862f844: 6b1d0812  and	w11, w11, #0xff000000
