; Candidate 9751
; ADRP+ADD at VM 0xfffffff008b03fdc (fileoff 0x1afffdc): page=0x17de000 add_imm=0xcf8

0xfffffff008b03f5c: 400100b4  cbz	x0, #0xfffffff008b03f84
0xfffffff008b03f60: 100040f9  ldr	x16, [x0]
0xfffffff008b03f64: f10300aa  mov	x17, x0
0xfffffff008b03f68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b03f6c: 301ac1da  autda	x16, x17
0xfffffff008b03f70: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b03f74: e90310aa  mov	x9, x16
0xfffffff008b03f78: f10309aa  mov	x17, x9
0xfffffff008b03f7c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b03f80: 11093fd7  blraa	x8, x17
0xfffffff008b03f84: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008b03f88: c97bfff0  adrp	x9, #0xfffffff007a7e000
0xfffffff008b03f8c: 290d46f9  ldr	x9, [x9, #0xc18]
0xfffffff008b03f90: 290140f9  ldr	x9, [x9]
0xfffffff008b03f94: 3f0108eb  cmp	x9, x8
0xfffffff008b03f98: 41010054  b.ne	#0xfffffff008b03fc0
0xfffffff008b03f9c: e0031aaa  mov	x0, x26
0xfffffff008b03fa0: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008b03fa4: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff008b03fa8: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff008b03fac: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff008b03fb0: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff008b03fb4: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008b03fb8: ff030591  add	sp, sp, #0x140
0xfffffff008b03fbc: ff0f5fd6  retab	
0xfffffff008b03fc0: a367c997  bl	#0xfffffff007d5de4c
0xfffffff008b03fc4: 7f2303d5  pacibsp	
0xfffffff008b03fc8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008b03fcc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008b03fd0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008b03fd4: fd830091  add	x29, sp, #0x20
0xfffffff008b03fd8: f40300aa  mov	x20, x0
0xfffffff008b03fdc: e0be00d0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b03fe0: 00e03391  add	x0, x0, #0xcf8
0xfffffff008b03fe4: 100040f9  ldr	x16, [x0]
0xfffffff008b03fe8: f10300aa  mov	x17, x0
0xfffffff008b03fec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b03ff0: 301ac1da  autda	x16, x17
0xfffffff008b03ff4: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008b03ff8: e90310aa  mov	x9, x16
0xfffffff008b03ffc: f10309aa  mov	x17, x9
0xfffffff008b04000: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008b04004: 11093fd7  blraa	x8, x17
0xfffffff008b04008: f30300aa  mov	x19, x0
0xfffffff008b0400c: 200c00b4  cbz	x0, #0xfffffff008b04190
0xfffffff008b04010: 700240f9  ldr	x16, [x19]
0xfffffff008b04014: f10313aa  mov	x17, x19
0xfffffff008b04018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b0401c: 301ac1da  autda	x16, x17
0xfffffff008b04020: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008b04024: e90310aa  mov	x9, x16
0xfffffff008b04028: e00313aa  mov	x0, x19
0xfffffff008b0402c: f10309aa  mov	x17, x9
0xfffffff008b04030: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008b04034: 11093fd7  blraa	x8, x17
0xfffffff008b04038: 00020036  tbz	w0, #0, #0xfffffff008b04078
0xfffffff008b0403c: e80313aa  mov	x8, x19
0xfffffff008b04040: 100d41f8  ldr	x16, [x8, #0x10]!
0xfffffff008b04044: 300300b4  cbz	x16, #0xfffffff008b040a8
0xfffffff008b04048: f10308aa  mov	x17, x8
0xfffffff008b0404c: 311eeef2  movk	x17, #0x70f1, lsl #48
0xfffffff008b04050: 301ac1da  autda	x16, x17
0xfffffff008b04054: f10310aa  mov	x17, x16
0xfffffff008b04058: f147c1da  xpacd	x17
