; Candidate 7758
; ADRP+ADD at VM 0xfffffff00887dae4 (fileoff 0x1879ae4): page=0x1fe96c000 add_imm=0xe80

0xfffffff00887da64: 681e8052  mov	w8, #0xf3
0xfffffff00887da68: 694dfff0  adrp	x9, #0xfffffff00722c000
0xfffffff00887da6c: 29910a91  add	x9, x9, #0x2a4
0xfffffff00887da70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887da74: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887da78: 08b91891  add	x8, x8, #0x62e
0xfffffff00887da7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887da80: 280b8052  mov	w8, #0x59
0xfffffff00887da84: 604dfff0  adrp	x0, #0xfffffff00722c000
0xfffffff00887da88: 00580e91  add	x0, x0, #0x396
0xfffffff00887da8c: f72300a9  stp	x23, x8, [sp]
0xfffffff00887da90: 74e6d497  bl	#0xfffffff007db7460
0xfffffff00887da94: 5f000014  b	#0xfffffff00887dc10
0xfffffff00887da98: c5d90094  bl	#0xfffffff0088b41ac
0xfffffff00887da9c: f60300aa  mov	x22, x0
0xfffffff00887daa0: 80008052  mov	w0, #4
0xfffffff00887daa4: 6bf7ff97  bl	#0xfffffff00887b850
0xfffffff00887daa8: e80314aa  mov	x8, x20
0xfffffff00887daac: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887dab0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00887dab4: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887dab8: 08c50d91  add	x8, x8, #0x371
0xfffffff00887dabc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887dac0: a81d8052  mov	w8, #0xed
0xfffffff00887dac4: 694dfff0  adrp	x9, #0xfffffff00722c000
0xfffffff00887dac8: 29910a91  add	x9, x9, #0x2a4
0xfffffff00887dacc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887dad0: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887dad4: 08b91891  add	x8, x8, #0x62e
0xfffffff00887dad8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887dadc: 280b8052  mov	w8, #0x59
0xfffffff00887dae0: f62300a9  stp	x22, x8, [sp]
0xfffffff00887dae4: 604bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00887dae8: 00003a91  add	x0, x0, #0xe80
0xfffffff00887daec: 418cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00887daf0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887daf4: e34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff00887daf8: 63480191  add	x3, x3, #0x52
0xfffffff00887dafc: 02008052  mov	w2, #0
0xfffffff00887db00: 8cd5ea97  bl	#0xfffffff008333130
0xfffffff00887db04: f67c8012  mov	w22, #-0x3e8
0xfffffff00887db08: b00240f9  ldr	x16, [x21]
0xfffffff00887db0c: f10315aa  mov	x17, x21
0xfffffff00887db10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887db14: 301ac1da  autda	x16, x17
0xfffffff00887db18: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00887db1c: e90310aa  mov	x9, x16
0xfffffff00887db20: e00315aa  mov	x0, x21
0xfffffff00887db24: f10309aa  mov	x17, x9
0xfffffff00887db28: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00887db2c: 11093fd7  blraa	x8, x17
0xfffffff00887db30: eefeff17  b	#0xfffffff00887d6e8
0xfffffff00887db34: 9ed90094  bl	#0xfffffff0088b41ac
0xfffffff00887db38: f50300aa  mov	x21, x0
0xfffffff00887db3c: 80008052  mov	w0, #4
0xfffffff00887db40: 44f7ff97  bl	#0xfffffff00887b850
0xfffffff00887db44: e80314aa  mov	x8, x20
0xfffffff00887db48: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887db4c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00887db50: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887db54: 08690c91  add	x8, x8, #0x31a
0xfffffff00887db58: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887db5c: 081d8052  mov	w8, #0xe8
0xfffffff00887db60: 694dfff0  adrp	x9, #0xfffffff00722c000
