; Candidate 11604
; ADRP+ADD at VM 0xfffffff008fc9df0 (fileoff 0x1fc5df0): page=0x1fe45c000 add_imm=0xdd7

0xfffffff008fc9d70: 700000b4  cbz	x16, #0xfffffff008fc9d7c
0xfffffff008fc9d74: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008fc9d78: 110a1fd7  braa	x16, x17
0xfffffff008fc9d7c: 00008052  mov	w0, #0
0xfffffff008fc9d80: c0035fd6  ret	
0xfffffff008fc9d84: 5f2403d5  bti	c
0xfffffff008fc9d88: 01000014  b	#0xfffffff008fc9d8c
0xfffffff008fc9d8c: 3f0540f1  cmp	x9, #1, lsl #12
0xfffffff008fc9d90: ea030091  mov	x10, sp
0xfffffff008fc9d94: c3000054  b.lo	#0xfffffff008fc9dac
0xfffffff008fc9d98: 4a0540d1  sub	x10, x10, #1, lsl #12
0xfffffff008fc9d9c: 5f014039  ldrb	wzr, [x10]
0xfffffff008fc9da0: 290540d1  sub	x9, x9, #1, lsl #12
0xfffffff008fc9da4: 3f0540f1  cmp	x9, #1, lsl #12
0xfffffff008fc9da8: 88ffff54  b.hi	#0xfffffff008fc9d98
0xfffffff008fc9dac: 4a0109cb  sub	x10, x10, x9
0xfffffff008fc9db0: 5f014039  ldrb	wzr, [x10]
0xfffffff008fc9db4: c0035fd6  ret	
0xfffffff008fc9db8: 7f2303d5  pacibsp	
0xfffffff008fc9dbc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fc9dc0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fc9dc4: fdc30091  add	x29, sp, #0x30
0xfffffff008fc9dc8: 28178052  mov	w8, #0xb9
0xfffffff008fc9dcc: e922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fc9dd0: 29d93891  add	x9, x9, #0xe36
0xfffffff008fc9dd4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fc9dd8: ea22ff90  adrp	x10, #0xfffffff007425000
0xfffffff008fc9ddc: 4a513d91  add	x10, x10, #0xf54
0xfffffff008fc9de0: eb22ff90  adrp	x11, #0xfffffff007425000
0xfffffff008fc9de4: 6b113891  add	x11, x11, #0xe04
0xfffffff008fc9de8: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fc9dec: eb0300f9  str	x11, [sp]
0xfffffff008fc9df0: e022ff90  adrp	x0, #0xfffffff007425000
0xfffffff008fc9df4: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fc9df8: c529d397  bl	#0xfffffff00849450c
0xfffffff008fc9dfc: 7f2303d5  pacibsp	
0xfffffff008fc9e00: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fc9e04: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fc9e08: fdc30091  add	x29, sp, #0x30
0xfffffff008fc9e0c: 88178052  mov	w8, #0xbc
0xfffffff008fc9e10: e922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fc9e14: 29d93891  add	x9, x9, #0xe36
0xfffffff008fc9e18: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fc9e1c: ea22ff90  adrp	x10, #0xfffffff007425000
0xfffffff008fc9e20: 4a793d91  add	x10, x10, #0xf5e
0xfffffff008fc9e24: eb22ff90  adrp	x11, #0xfffffff007425000
0xfffffff008fc9e28: 6b113891  add	x11, x11, #0xe04
0xfffffff008fc9e2c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fc9e30: eb0300f9  str	x11, [sp]
0xfffffff008fc9e34: e022ff90  adrp	x0, #0xfffffff007425000
0xfffffff008fc9e38: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fc9e3c: b429d397  bl	#0xfffffff00849450c
0xfffffff008fc9e40: 7f2303d5  pacibsp	
0xfffffff008fc9e44: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fc9e48: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fc9e4c: fdc30091  add	x29, sp, #0x30
0xfffffff008fc9e50: 28188052  mov	w8, #0xc1
0xfffffff008fc9e54: e922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fc9e58: 29d93891  add	x9, x9, #0xe36
0xfffffff008fc9e5c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fc9e60: ea22ff90  adrp	x10, #0xfffffff007425000
0xfffffff008fc9e64: 4a9d3e91  add	x10, x10, #0xfa7
0xfffffff008fc9e68: eb22ff90  adrp	x11, #0xfffffff007425000
0xfffffff008fc9e6c: 6b113891  add	x11, x11, #0xe04
