; Candidate 15375
; ADRP+ADD at VM 0xfffffff009b579a0 (fileoff 0x2b539a0): page=0x1fdad1000 add_imm=0xed0

0xfffffff009b57920: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b57924: e00313aa  mov	x0, x19
0xfffffff009b57928: 010080d2  mov	x1, #0
0xfffffff009b5792c: f10308aa  mov	x17, x8
0xfffffff009b57930: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b57934: 31093fd7  blraa	x9, x17
0xfffffff009b57938: f60300aa  mov	x22, x0
0xfffffff009b5793c: 700240f9  ldr	x16, [x19]
0xfffffff009b57940: f10313aa  mov	x17, x19
0xfffffff009b57944: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b57948: 301ac1da  autda	x16, x17
0xfffffff009b5794c: f10310aa  mov	x17, x16
0xfffffff009b57950: f147c1da  xpacd	x17
0xfffffff009b57954: 1f0211eb  cmp	x16, x17
0xfffffff009b57958: 40000054  b.eq	#0xfffffff009b57960
0xfffffff009b5795c: 408e38d4  brk	#0xc472
0xfffffff009b57960: 08620891  add	x8, x16, #0x218
0xfffffff009b57964: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b57968: e00313aa  mov	x0, x19
0xfffffff009b5796c: 010080d2  mov	x1, #0
0xfffffff009b57970: f10308aa  mov	x17, x8
0xfffffff009b57974: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b57978: 31093fd7  blraa	x9, x17
0xfffffff009b5797c: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b57980: 0a6978b8  ldr	w10, [x8, x24]
0xfffffff009b57984: a8d6fe90  adrp	x8, #0xfffffff00762b000
0xfffffff009b57988: 08010791  add	x8, x8, #0x1c0
0xfffffff009b5798c: 89d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b57990: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b57994: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b57998: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b5799c: f60300f9  str	x22, [sp]
0xfffffff009b579a0: 80d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b579a4: 00403b91  add	x0, x0, #0xed0
0xfffffff009b579a8: a3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b579ac: 63703891  add	x3, x3, #0xe1c
0xfffffff009b579b0: e10315aa  mov	x1, x21
0xfffffff009b579b4: e20314aa  mov	x2, x20
0xfffffff009b579b8: de6d9f97  bl	#0xfffffff008333130
0xfffffff009b579bc: bf3b03d5  dmb	ish
0xfffffff009b579c0: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b579c4: 0841378b  add	x8, x8, w23, uxtw
0xfffffff009b579c8: 09014bb9  ldr	w9, [x8, #0xb00]
0xfffffff009b579cc: 0a80b052  mov	w10, #-0x7c000000
0xfffffff009b579d0: 29010a2a  orr	w9, w9, w10
0xfffffff009b579d4: 09010bb9  str	w9, [x8, #0xb00]
0xfffffff009b579d8: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b579dc: 74002837  tbnz	w20, #5, #0xfffffff009b579e8
0xfffffff009b579e0: 00008052  mov	w0, #0
0xfffffff009b579e4: 7b000014  b	#0xfffffff009b57bd0
0xfffffff009b579e8: 5405f036  tbz	w20, #0x1e, #0xfffffff009b57a90
0xfffffff009b579ec: 2cd98d97  bl	#0xfffffff007ecde9c
0xfffffff009b579f0: 1f040071  cmp	w0, #1
0xfffffff009b579f4: e1040054  b.ne	#0xfffffff009b57a90
0xfffffff009b579f8: 700240f9  ldr	x16, [x19]
0xfffffff009b579fc: f10313aa  mov	x17, x19
0xfffffff009b57a00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b57a04: 301ac1da  autda	x16, x17
0xfffffff009b57a08: 113d80d2  mov	x17, #0x1e8
0xfffffff009b57a0c: 1002118b  add	x16, x16, x17
0xfffffff009b57a10: 080240f9  ldr	x8, [x16]
0xfffffff009b57a14: e90310aa  mov	x9, x16
0xfffffff009b57a18: e00313aa  mov	x0, x19
0xfffffff009b57a1c: 010080d2  mov	x1, #0
