; Candidate 16543
; ADRP+ADD at VM 0xfffffff009ed85cc (fileoff 0x2ed45cc): page=0x1fd96f000 add_imm=0xe7b

0xfffffff009ed854c: 080140f9  ldr	x8, [x8]
0xfffffff009ed8550: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff009ed8554: 166840f9  ldr	x22, [x0, #0xd0]
0xfffffff009ed8558: ffd304f8  stur	xzr, [sp, #0x4d]
0xfffffff009ed855c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ed8560: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009ed8564: e00302aa  mov	x0, x2
0xfffffff009ed8568: 2d858197  bl	#0xfffffff007f39a1c
0xfffffff009ed856c: 600300b4  cbz	x0, #0xfffffff009ed85d8
0xfffffff009ed8570: 1da58b97  bl	#0xfffffff0081c19e4
0xfffffff009ed8574: 61cbfef0  adrp	x1, #0xfffffff007847000
0xfffffff009ed8578: 21403f91  add	x1, x1, #0xfd0
0xfffffff009ed857c: c236fe97  bl	#0xfffffff009e66084
0xfffffff009ed8580: c0020034  cbz	w0, #0xfffffff009ed85d8
0xfffffff009ed8584: 88024039  ldrb	w8, [x20]
0xfffffff009ed8588: 1f0d0071  cmp	w8, #3
0xfffffff009ed858c: e0030054  b.eq	#0xfffffff009ed8608
0xfffffff009ed8590: 1f090071  cmp	w8, #2
0xfffffff009ed8594: e0030054  b.eq	#0xfffffff009ed8610
0xfffffff009ed8598: 1f050071  cmp	w8, #1
0xfffffff009ed859c: e1080054  b.ne	#0xfffffff009ed86b8
0xfffffff009ed85a0: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009ed85a4: 00c10f91  add	x0, x8, #0x3f0
0xfffffff009ed85a8: 226a9197  bl	#0xfffffff008332e30
0xfffffff009ed85ac: a0030034  cbz	w0, #0xfffffff009ed8620
0xfffffff009ed85b0: 083e8452  mov	w8, #0x21f0
0xfffffff009ed85b4: 6802088b  add	x8, x19, x8
0xfffffff009ed85b8: a9678752  mov	w9, #0x3b3d
0xfffffff009ed85bc: 6acbfef0  adrp	x10, #0xfffffff007847000
0xfffffff009ed85c0: 4a913991  add	x10, x10, #0xe64
0xfffffff009ed85c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed85c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ed85cc: 60cbfef0  adrp	x0, #0xfffffff007847000
0xfffffff009ed85d0: 00ec3991  add	x0, x0, #0xe7b
0xfffffff009ed85d4: 69000014  b	#0xfffffff009ed8778
0xfffffff009ed85d8: 083e8452  mov	w8, #0x21f0
0xfffffff009ed85dc: 6802088b  add	x8, x19, x8
0xfffffff009ed85e0: c9668752  mov	w9, #0x3b36
0xfffffff009ed85e4: 6acbfef0  adrp	x10, #0xfffffff007847000
0xfffffff009ed85e8: 4a913991  add	x10, x10, #0xe64
0xfffffff009ed85ec: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed85f0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ed85f4: 60cbfe90  adrp	x0, #0xfffffff007844000
0xfffffff009ed85f8: 00d43e91  add	x0, x0, #0xfb5
0xfffffff009ed85fc: b29cfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed8600: 33008052  mov	w19, #1
0xfffffff009ed8604: 5f000014  b	#0xfffffff009ed8780
0xfffffff009ed8608: 22008052  mov	w2, #1
0xfffffff009ed860c: 06000014  b	#0xfffffff009ed8624
0xfffffff009ed8610: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009ed8614: 00c10f91  add	x0, x8, #0x3f0
0xfffffff009ed8618: 066a9197  bl	#0xfffffff008332e30
0xfffffff009ed861c: c0090034  cbz	w0, #0xfffffff009ed8754
0xfffffff009ed8620: 02008052  mov	w2, #0
0xfffffff009ed8624: 81064079  ldrh	w1, [x20, #2]
0xfffffff009ed8628: e00313aa  mov	x0, x19
0xfffffff009ed862c: 06e20094  bl	#0xfffffff009f10e44
0xfffffff009ed8630: 800500b4  cbz	x0, #0xfffffff009ed86e0
0xfffffff009ed8634: f50300aa  mov	x21, x0
0xfffffff009ed8638: 086040f9  ldr	x8, [x0, #0xc0]
0xfffffff009ed863c: 082540b9  ldr	w8, [x8, #0x24]
0xfffffff009ed8640: 08050011  add	w8, w8, #1
0xfffffff009ed8644: 93120091  add	x19, x20, #4
0xfffffff009ed8648: c96640f9  ldr	x9, [x22, #0xc8]
