; Candidate 3101
; ADRP+ADD at VM 0xfffffff0087131a8 (fileoff 0x170f1a8): page=0x1fea1e000 add_imm=0xd90

0xfffffff008713128: 757a00b9  str	w21, [x19, #0x78]
0xfffffff00871312c: 743600f9  str	x20, [x19, #0x68]
0xfffffff008713130: 740000b4  cbz	x20, #0xfffffff00871313c
0xfffffff008713134: 880640f9  ldr	x8, [x20, #8]
0xfffffff008713138: 02000014  b	#0xfffffff008713140
0xfffffff00871313c: 080080d2  mov	x8, #0
0xfffffff008713140: 683200f9  str	x8, [x19, #0x60]
0xfffffff008713144: 7f0200f9  str	xzr, [x19]
0xfffffff008713148: 00e6072f  movi	d0, #0xffffffff00000000
0xfffffff00871314c: 603a00fd  str	d0, [x19, #0x70]
0xfffffff008713150: e00313aa  mov	x0, x19
0xfffffff008713154: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008713158: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00871315c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008713160: ff0f5fd6  retab	
0xfffffff008713164: 7f2303d5  pacibsp	
0xfffffff008713168: ffc301d1  sub	sp, sp, #0x70
0xfffffff00871316c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008713170: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008713174: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008713178: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00871317c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008713180: fd830191  add	x29, sp, #0x60
0xfffffff008713184: f30300aa  mov	x19, x0
0xfffffff008713188: 57008052  mov	w23, #2
0xfffffff00871318c: 1701a072  movk	w23, #8, lsl #16
0xfffffff008713190: 087840b9  ldr	w8, [x0, #0x78]
0xfffffff008713194: ff02286a  bics	wzr, w23, w8
0xfffffff008713198: 81010054  b.ne	#0xfffffff0087131c8
0xfffffff00871319c: 0852ffd0  adrp	x8, #0xfffffff007155000
0xfffffff0087131a0: 08990f91  add	x8, x8, #0x3e6
0xfffffff0087131a4: e80300f9  str	x8, [sp]
0xfffffff0087131a8: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087131ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087131b0: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087131b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087131b8: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff0087131bc: 63183b91  add	x3, x3, #0xec6
0xfffffff0087131c0: 02008052  mov	w2, #0
0xfffffff0087131c4: db7ff097  bl	#0xfffffff008333130
0xfffffff0087131c8: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff0087131cc: e80300b4  cbz	x8, #0xfffffff008713248
0xfffffff0087131d0: 180080d2  mov	x24, #0
0xfffffff0087131d4: 190080d2  mov	x25, #0
0xfffffff0087131d8: f450ffd0  adrp	x20, #0xfffffff007131000
0xfffffff0087131dc: 94423691  add	x20, x20, #0xd90
0xfffffff0087131e0: 5597ffd0  adrp	x21, #0xfffffff0079fd000
0xfffffff0087131e4: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff0087131e8: 3651ff90  adrp	x22, #0xfffffff007137000
0xfffffff0087131ec: d67e3b91  add	x22, x22, #0xedf
0xfffffff0087131f0: 090540b9  ldr	w9, [x8, #4]
0xfffffff0087131f4: 3f0309eb  cmp	x25, x9
0xfffffff0087131f8: 82020054  b.hs	#0xfffffff008713248
0xfffffff0087131fc: 697a40b9  ldr	w9, [x19, #0x78]
0xfffffff008713200: ff02296a  bics	wzr, w23, w9
0xfffffff008713204: c1010054  b.ne	#0xfffffff00871323c
0xfffffff008713208: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff00871320c: 2801188b  add	x8, x9, x24
0xfffffff008713210: 490000b4  cbz	x9, #0xfffffff008713218
0xfffffff008713214: 090140b9  ldr	w9, [x8]
0xfffffff008713218: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff00871321c: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008713220: f92300a9  stp	x25, x8, [sp]
0xfffffff008713224: e00314aa  mov	x0, x20
