; Candidate 16546
; ADRP+ADD at VM 0xfffffff009edae2c (fileoff 0x2ed6e2c): page=0x1fd96e000 add_imm=0xd4c

0xfffffff009edadac: 140080d2  mov	x20, #0
0xfffffff009edadb0: d6060011  add	w22, w22, #1
0xfffffff009edadb4: d8ffff17  b	#0xfffffff009edad14
0xfffffff009edadb8: 083e8452  mov	w8, #0x21f0
0xfffffff009edadbc: 6802088b  add	x8, x19, x8
0xfffffff009edadc0: e93b8852  mov	w9, #0x41df
0xfffffff009edadc4: 6acbfed0  adrp	x10, #0xfffffff007848000
0xfffffff009edadc8: 4ab12e91  add	x10, x10, #0xbac
0xfffffff009edadcc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009edadd0: e87f01a9  stp	x8, xzr, [sp, #0x10]
0xfffffff009edadd4: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009edadd8: 00bc3291  add	x0, x0, #0xcaf
0xfffffff009edaddc: 88ffff17  b	#0xfffffff009edabfc
0xfffffff009edade0: 887640b9  ldr	w8, [x20, #0x74]
0xfffffff009edade4: 09050051  sub	w9, w8, #1
0xfffffff009edade8: 3f090071  cmp	w9, #2
0xfffffff009edadec: 22050054  b.hs	#0xfffffff009edae90
0xfffffff009edadf0: e2e30091  add	x2, sp, #0x38
0xfffffff009edadf4: e00313aa  mov	x0, x19
0xfffffff009edadf8: e10314aa  mov	x1, x20
0xfffffff009edadfc: 23008052  mov	w3, #1
0xfffffff009edae00: 50d0fd97  bl	#0xfffffff009e4ef40
0xfffffff009edae04: a00a0034  cbz	w0, #0xfffffff009edaf58
0xfffffff009edae08: 083e8452  mov	w8, #0x21f0
0xfffffff009edae0c: 6802088b  add	x8, x19, x8
0xfffffff009edae10: 890640f9  ldr	x9, [x20, #8]
0xfffffff009edae14: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009edae18: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009edae1c: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009edae20: 08b12e91  add	x8, x8, #0xbac
0xfffffff009edae24: a93f8852  mov	w9, #0x41fd
0xfffffff009edae28: e82700a9  stp	x8, x9, [sp]
0xfffffff009edae2c: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009edae30: 00303591  add	x0, x0, #0xd4c
0xfffffff009edae34: a492fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edae38: b8008052  mov	w24, #5
0xfffffff009edae3c: 98ffff17  b	#0xfffffff009edac9c
0xfffffff009edae40: 80820291  add	x0, x20, #0xa0
0xfffffff009edae44: db4a7b97  bl	#0xfffffff007dad9b0
0xfffffff009edae48: f90314aa  mov	x25, x20
0xfffffff009edae4c: a8624239  ldrb	w8, [x21, #0x98]
0xfffffff009edae50: 1f051d72  tst	w8, #0x18
0xfffffff009edae54: 60030054  b.eq	#0xfffffff009edaec0
0xfffffff009edae58: 083e8452  mov	w8, #0x21f0
0xfffffff009edae5c: 6802088b  add	x8, x19, x8
0xfffffff009edae60: a90640f9  ldr	x9, [x21, #8]
0xfffffff009edae64: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009edae68: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009edae6c: 08b12e91  add	x8, x8, #0xbac
0xfffffff009edae70: 89458852  mov	w9, #0x422c
0xfffffff009edae74: e82700a9  stp	x8, x9, [sp]
0xfffffff009edae78: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009edae7c: 006c3691  add	x0, x0, #0xd9b
0xfffffff009edae80: 9192fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edae84: 58008052  mov	w24, #2
0xfffffff009edae88: 940800b5  cbnz	x20, #0xfffffff009edaf98
0xfffffff009edae8c: 45000014  b	#0xfffffff009edafa0
0xfffffff009edae90: 093e8452  mov	w9, #0x21f0
0xfffffff009edae94: 6902098b  add	x9, x19, x9
0xfffffff009edae98: 8a0640f9  ldr	x10, [x20, #8]
0xfffffff009edae9c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009edaea0: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009edaea4: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009edaea8: 08b12e91  add	x8, x8, #0xbac
