; Candidate 14178
; ADRP+ADD at VM 0xfffffff009749f24 (fileoff 0x2745f24): page=0xc42000 add_imm=0xd30

0xfffffff009749ea4: 01008052  mov	w1, #0
0xfffffff009749ea8: 15000094  bl	#0xfffffff009749efc
0xfffffff009749eac: 2827fff0  adrp	x8, #0xfffffff007c30000
0xfffffff009749eb0: 08a12f91  add	x8, x8, #0xbe8
0xfffffff009749eb4: 02c11691  add	x2, x8, #0x5b0
0xfffffff009749eb8: 10d942f9  ldr	x16, [x8, #0x5b0]
0xfffffff009749ebc: e00314aa  mov	x0, x20
0xfffffff009749ec0: e10313aa  mov	x1, x19
0xfffffff009749ec4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009749ec8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009749ecc: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009749ed0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009749ed4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009749ed8: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff009749edc: ff030391  add	sp, sp, #0xc0
0xfffffff009749ee0: ff2303d5  autibsp	
0xfffffff009749ee4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009749ee8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009749ef0
0xfffffff009749eec: 208e38d4  brk	#0xc471
0xfffffff009749ef0: f10302aa  mov	x17, x2
0xfffffff009749ef4: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff009749ef8: 110a1fd7  braa	x16, x17
0xfffffff009749efc: 7f2303d5  pacibsp	
0xfffffff009749f00: ff8302d1  sub	sp, sp, #0xa0
0xfffffff009749f04: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff009749f08: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff009749f0c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff009749f10: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff009749f14: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff009749f18: fd430291  add	x29, sp, #0x90
0xfffffff009749f1c: f40301aa  mov	x20, x1
0xfffffff009749f20: f30300aa  mov	x19, x0
0xfffffff009749f24: 006200d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009749f28: 00c03491  add	x0, x0, #0xd30
0xfffffff009749f2c: 8b6aae97  bl	#0xfffffff0082e4958
0xfffffff009749f30: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009749f34: 600300b4  cbz	x0, #0xfffffff009749fa0
0xfffffff009749f38: 100040f9  ldr	x16, [x0]
0xfffffff009749f3c: f10300aa  mov	x17, x0
0xfffffff009749f40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749f44: 301ac1da  autda	x16, x17
0xfffffff009749f48: 113d80d2  mov	x17, #0x1e8
0xfffffff009749f4c: 1002118b  add	x16, x16, x17
0xfffffff009749f50: 080240f9  ldr	x8, [x16]
0xfffffff009749f54: e90310aa  mov	x9, x16
0xfffffff009749f58: 010080d2  mov	x1, #0
0xfffffff009749f5c: f10309aa  mov	x17, x9
0xfffffff009749f60: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009749f64: 11093fd7  blraa	x8, x17
0xfffffff009749f68: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009749f6c: a00100b4  cbz	x0, #0xfffffff009749fa0
0xfffffff009749f70: 100040f9  ldr	x16, [x0]
0xfffffff009749f74: f10300aa  mov	x17, x0
0xfffffff009749f78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749f7c: 301ac1da  autda	x16, x17
0xfffffff009749f80: 114380d2  mov	x17, #0x218
0xfffffff009749f84: 1002118b  add	x16, x16, x17
0xfffffff009749f88: 080240f9  ldr	x8, [x16]
0xfffffff009749f8c: e90310aa  mov	x9, x16
0xfffffff009749f90: 010080d2  mov	x1, #0
0xfffffff009749f94: f10309aa  mov	x17, x9
0xfffffff009749f98: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009749f9c: 11093fd7  blraa	x8, x17
0xfffffff009749fa0: 700240f9  ldr	x16, [x19]
