; Candidate 7788
; ADRP+ADD at VM 0xfffffff00887f7c4 (fileoff 0x187b7c4): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887f744: f80300aa  mov	x24, x0
0xfffffff00887f748: 80008052  mov	w0, #4
0xfffffff00887f74c: 41f0ff97  bl	#0xfffffff00887b850
0xfffffff00887f750: d90f0034  cbz	w25, #0xfffffff00887f948
0xfffffff00887f754: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00887f758: e80314aa  mov	x8, x20
0xfffffff00887f75c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00887f760: 884cffb0  adrp	x8, #0xfffffff007210000
0xfffffff00887f764: 08b92791  add	x8, x8, #0x9ee
0xfffffff00887f768: c9168052  mov	w9, #0xb6
0xfffffff00887f76c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887f770: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f774: 08012091  add	x8, x8, #0x800
0xfffffff00887f778: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887f77c: 680d8052  mov	w8, #0x6b
0xfffffff00887f780: 604dffb0  adrp	x0, #0xfffffff00722c000
0xfffffff00887f784: 00f02291  add	x0, x0, #0x8bc
0xfffffff00887f788: f82300a9  stp	x24, x8, [sp]
0xfffffff00887f78c: 35dfd497  bl	#0xfffffff007db7460
0xfffffff00887f790: 87000014  b	#0xfffffff00887f9ac
0xfffffff00887f794: 86d20094  bl	#0xfffffff0088b41ac
0xfffffff00887f798: f60300aa  mov	x22, x0
0xfffffff00887f79c: 00018052  mov	w0, #8
0xfffffff00887f7a0: 2cf0ff97  bl	#0xfffffff00887b850
0xfffffff00887f7a4: e80314aa  mov	x8, x20
0xfffffff00887f7a8: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff00887f7ac: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f7b0: 08012091  add	x8, x8, #0x800
0xfffffff00887f7b4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887f7b8: 680d8052  mov	w8, #0x6b
0xfffffff00887f7bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887f7c0: f60300f9  str	x22, [sp]
0xfffffff00887f7c4: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887f7c8: 00003a91  add	x0, x0, #0xe80
0xfffffff00887f7cc: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887f7d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887f7d4: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f7d8: 63f41a91  add	x3, x3, #0x6bd
0xfffffff00887f7dc: 02008052  mov	w2, #0
0xfffffff00887f7e0: 54ceea97  bl	#0xfffffff008333130
0xfffffff00887f7e4: 13f8ffb5  cbnz	x19, #0xfffffff00887f6e4
0xfffffff00887f7e8: 600d8052  mov	w0, #0x6b
0xfffffff00887f7ec: 81008052  mov	w1, #4
0xfffffff00887f7f0: f8efff97  bl	#0xfffffff00887b7d0
0xfffffff00887f7f4: a0090034  cbz	w0, #0xfffffff00887f928
0xfffffff00887f7f8: 600d8052  mov	w0, #0x6b
0xfffffff00887f7fc: 07f0ff97  bl	#0xfffffff00887b818
0xfffffff00887f800: f70300aa  mov	x23, x0
0xfffffff00887f804: 6ad20094  bl	#0xfffffff0088b41ac
0xfffffff00887f808: f60300aa  mov	x22, x0
0xfffffff00887f80c: 80008052  mov	w0, #4
0xfffffff00887f810: 10f0ff97  bl	#0xfffffff00887b850
0xfffffff00887f814: b7050034  cbz	w23, #0xfffffff00887f8c8
0xfffffff00887f818: e80314aa  mov	x8, x20
0xfffffff00887f81c: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff00887f820: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f824: 08212191  add	x8, x8, #0x848
0xfffffff00887f828: 89158052  mov	w9, #0xac
0xfffffff00887f82c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00887f830: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f834: 08012091  add	x8, x8, #0x800
0xfffffff00887f838: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887f83c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887f840: 680d8052  mov	w8, #0x6b
