; Candidate 7151
; ADRP+ADD at VM 0xfffffff00885b3c0 (fileoff 0x18573c0): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885b340: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff00885b344: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff00885b348: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff00885b34c: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff00885b350: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff00885b354: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff00885b358: ff830491  add	sp, sp, #0x120
0xfffffff00885b35c: ff0f5fd6  retab	
0xfffffff00885b360: 93630194  bl	#0xfffffff0088b41ac
0xfffffff00885b364: f90300aa  mov	x25, x0
0xfffffff00885b368: 80008052  mov	w0, #4
0xfffffff00885b36c: 39810094  bl	#0xfffffff00887b850
0xfffffff00885b370: e80317aa  mov	x8, x23
0xfffffff00885b374: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885b378: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff00885b37c: 8b1a40b9  ldr	w11, [x20, #0x18]
0xfffffff00885b380: eb2305a9  stp	x11, x8, [sp, #0x50]
0xfffffff00885b384: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff00885b388: a84dffb0  adrp	x8, #0xfffffff007210000
0xfffffff00885b38c: 08b92791  add	x8, x8, #0x9ee
0xfffffff00885b390: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885b394: a8778152  mov	w8, #0xbbd
0xfffffff00885b398: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885b39c: 29552691  add	x9, x9, #0x995
0xfffffff00885b3a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885b3a4: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885b3a8: 08811191  add	x8, x8, #0x460
0xfffffff00885b3ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885b3b0: 880c8052  mov	w8, #0x64
0xfffffff00885b3b4: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885b3b8: 63243491  add	x3, x3, #0xd09
0xfffffff00885b3bc: f92300a9  stp	x25, x8, [sp]
0xfffffff00885b3c0: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885b3c4: 00003a91  add	x0, x0, #0xe80
0xfffffff00885b3c8: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885b3cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885b3d0: 02008052  mov	w2, #0
0xfffffff00885b3d4: 575feb97  bl	#0xfffffff008333130
0xfffffff00885b3d8: a3ffff17  b	#0xfffffff00885b264
0xfffffff00885b3dc: 7f2303d5  pacibsp	
0xfffffff00885b3e0: ff4304d1  sub	sp, sp, #0x110
0xfffffff00885b3e4: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff00885b3e8: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff00885b3ec: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff00885b3f0: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff00885b3f4: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff00885b3f8: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff00885b3fc: fd030491  add	x29, sp, #0x100
0xfffffff00885b400: f50302aa  mov	x21, x2
0xfffffff00885b404: f40301aa  mov	x20, x1
0xfffffff00885b408: f30300aa  mov	x19, x0
0xfffffff00885b40c: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff00885b410: 800c8052  mov	w0, #0x64
0xfffffff00885b414: 01018052  mov	w1, #8
0xfffffff00885b418: ee800094  bl	#0xfffffff00887b7d0
0xfffffff00885b41c: e0020034  cbz	w0, #0xfffffff00885b478
0xfffffff00885b420: 800c8052  mov	w0, #0x64
0xfffffff00885b424: fd800094  bl	#0xfffffff00887b818
0xfffffff00885b428: f70300aa  mov	x23, x0
0xfffffff00885b42c: 60630194  bl	#0xfffffff0088b41ac
0xfffffff00885b430: f60300aa  mov	x22, x0
0xfffffff00885b434: 00018052  mov	w0, #8
0xfffffff00885b438: 06810094  bl	#0xfffffff00887b850
0xfffffff00885b43c: 97030034  cbz	w23, #0xfffffff00885b4ac
