; Candidate 7241
; ADRP+ADD at VM 0xfffffff008862144 (fileoff 0x185e144): page=0x1fe987000 add_imm=0xe80

0xfffffff0088620c4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088620c8: 284effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088620cc: 08811191  add	x8, x8, #0x460
0xfffffff0088620d0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088620d4: 680c8052  mov	w8, #0x63
0xfffffff0088620d8: a34fff90  adrp	x3, #0xfffffff007256000
0xfffffff0088620dc: 639c0891  add	x3, x3, #0x227
0xfffffff0088620e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088620e4: f60300f9  str	x22, [sp]
0xfffffff0088620e8: 204cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088620ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088620f0: 218dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088620f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088620f8: 02008052  mov	w2, #0
0xfffffff0088620fc: 0d44eb97  bl	#0xfffffff008333130
0xfffffff008862100: 42fcff17  b	#0xfffffff008861208
0xfffffff008862104: 2a480194  bl	#0xfffffff0088b41ac
0xfffffff008862108: f60300aa  mov	x22, x0
0xfffffff00886210c: 80008052  mov	w0, #4
0xfffffff008862110: d0650094  bl	#0xfffffff00887b850
0xfffffff008862114: e8031aaa  mov	x8, x26
0xfffffff008862118: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00886211c: 481d8052  mov	w8, #0xea
0xfffffff008862120: 694dfff0  adrp	x9, #0xfffffff007211000
0xfffffff008862124: 29892c91  add	x9, x9, #0xb22
0xfffffff008862128: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00886212c: 284effb0  adrp	x8, #0xfffffff007227000
0xfffffff008862130: 08811191  add	x8, x8, #0x460
0xfffffff008862134: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008862138: 680c8052  mov	w8, #0x63
0xfffffff00886213c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008862140: f60300f9  str	x22, [sp]
0xfffffff008862144: 204cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008862148: 00003a91  add	x0, x0, #0xe80
0xfffffff00886214c: 218dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008862150: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008862154: a34fff90  adrp	x3, #0xfffffff007256000
0xfffffff008862158: 63a00791  add	x3, x3, #0x1e8
0xfffffff00886215c: 02008052  mov	w2, #0
0xfffffff008862160: f443eb97  bl	#0xfffffff008333130
0xfffffff008862164: 28fcff17  b	#0xfffffff008861204
0xfffffff008862168: b00240f9  ldr	x16, [x21]
0xfffffff00886216c: f10315aa  mov	x17, x21
0xfffffff008862170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008862174: 301ac1da  autda	x16, x17
0xfffffff008862178: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00886217c: e90310aa  mov	x9, x16
0xfffffff008862180: e00315aa  mov	x0, x21
0xfffffff008862184: e10317aa  mov	x1, x23
0xfffffff008862188: f10309aa  mov	x17, x9
0xfffffff00886218c: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff008862190: 11093fd7  blraa	x8, x17
0xfffffff008862194: e0070034  cbz	w0, #0xfffffff008862290
0xfffffff008862198: 600a8052  mov	w0, #0x53
0xfffffff00886219c: 81008052  mov	w1, #4
0xfffffff0088621a0: 8c650094  bl	#0xfffffff00887b7d0
0xfffffff0088621a4: 000d0034  cbz	w0, #0xfffffff008862344
0xfffffff0088621a8: 600a8052  mov	w0, #0x53
0xfffffff0088621ac: 9b650094  bl	#0xfffffff00887b818
0xfffffff0088621b0: fc0300aa  mov	x28, x0
0xfffffff0088621b4: fe470194  bl	#0xfffffff0088b41ac
0xfffffff0088621b8: f60300aa  mov	x22, x0
0xfffffff0088621bc: 80008052  mov	w0, #4
0xfffffff0088621c0: a4650094  bl	#0xfffffff00887b850
