; Candidate 6407
; ADRP+ADD at VM 0xfffffff008829cf8 (fileoff 0x1825cf8): page=0x1fe9f8000 add_imm=0xd2c

0xfffffff008829c78: e10316aa  mov	x1, x22
0xfffffff008829c7c: d5460194  bl	#0xfffffff00887b7d0
0xfffffff008829c80: 20080034  cbz	w0, #0xfffffff008829d84
0xfffffff008829c84: e00314aa  mov	x0, x20
0xfffffff008829c88: e4460194  bl	#0xfffffff00887b818
0xfffffff008829c8c: 9302f837  tbnz	w19, #0x1f, #0xfffffff008829cdc
0xfffffff008829c90: 78021b12  and	w24, w19, #0x20
0xfffffff008829c94: 19000052  eor	w25, w0, #1
0xfffffff008829c98: 45290294  bl	#0xfffffff0088b41ac
0xfffffff008829c9c: f70300aa  mov	x23, x0
0xfffffff008829ca0: e00316aa  mov	x0, x22
0xfffffff008829ca4: eb460194  bl	#0xfffffff00887b850
0xfffffff008829ca8: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff008829cac: e8020037  tbnz	w8, #0, #0xfffffff008829d08
0xfffffff008829cb0: a80240b9  ldr	w8, [x21]
0xfffffff008829cb4: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff008829cb8: e8430191  add	x8, sp, #0x50
0xfffffff008829cbc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008829cc0: e80314aa  mov	x8, x20
0xfffffff008829cc4: f72300a9  stp	x23, x8, [sp]
0xfffffff008829cc8: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829ccc: 003c3591  add	x0, x0, #0xd4f
0xfffffff008829cd0: 0c000014  b	#0xfffffff008829d00
0xfffffff008829cd4: e07c8012  mov	w0, #-0x3e8
0xfffffff008829cd8: 7e000014  b	#0xfffffff008829ed0
0xfffffff008829cdc: c0030034  cbz	w0, #0xfffffff008829d54
0xfffffff008829ce0: e803134b  neg	w8, w19
0xfffffff008829ce4: 88032837  tbnz	w8, #5, #0xfffffff008829d54
0xfffffff008829ce8: a80240b9  ldr	w8, [x21]
0xfffffff008829cec: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008829cf0: e8430191  add	x8, sp, #0x50
0xfffffff008829cf4: e80300f9  str	x8, [sp]
0xfffffff008829cf8: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829cfc: 00b03491  add	x0, x0, #0xd2c
0xfffffff008829d00: d835d697  bl	#0xfffffff007db7460
0xfffffff008829d04: 20000014  b	#0xfffffff008829d84
0xfffffff008829d08: 29290294  bl	#0xfffffff0088b41ac
0xfffffff008829d0c: f70300aa  mov	x23, x0
0xfffffff008829d10: e00316aa  mov	x0, x22
0xfffffff008829d14: cf460194  bl	#0xfffffff00887b850
0xfffffff008829d18: a80240b9  ldr	w8, [x21]
0xfffffff008829d1c: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff008829d20: e8430191  add	x8, sp, #0x50
0xfffffff008829d24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008829d28: e80314aa  mov	x8, x20
0xfffffff008829d2c: f72300a9  stp	x23, x8, [sp]
0xfffffff008829d30: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829d34: 00003a91  add	x0, x0, #0xe80
0xfffffff008829d38: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829d3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829d40: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829d44: 63883e91  add	x3, x3, #0xfa2
0xfffffff008829d48: 02008052  mov	w2, #0
0xfffffff008829d4c: f924ec97  bl	#0xfffffff008333130
0xfffffff008829d50: 0d000014  b	#0xfffffff008829d84
0xfffffff008829d54: a80240b9  ldr	w8, [x21]
0xfffffff008829d58: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008829d5c: e8430191  add	x8, sp, #0x50
0xfffffff008829d60: e80300f9  str	x8, [sp]
0xfffffff008829d64: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829d68: 00003a91  add	x0, x0, #0xe80
0xfffffff008829d6c: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829d70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829d74: 0351ffd0  adrp	x3, #0xfffffff00724b000
