; Candidate 13060
; ADRP+ADD at VM 0xfffffff0091dc964 (fileoff 0x21d8964): page=0x1fe2c1000 add_imm=0xd0b

0xfffffff0091dc8e4: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc8e8: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc8ec: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc8f0: 29791091  add	x9, x9, #0x41e
0xfffffff0091dc8f4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc8f8: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc8fc: e00300f9  str	x0, [sp]
0xfffffff0091dc900: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc904: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc908: d66aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc90c: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff0091dc910: 10000014  b	#0xfffffff0091dc950
0xfffffff0091dc914: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc918: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dc91c: 488f8052  mov	w8, #0x47a
0xfffffff0091dc920: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dc924: 29993591  add	x9, x9, #0xd66
0xfffffff0091dc928: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dc92c: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dc930: 08e51091  add	x8, x8, #0x439
0xfffffff0091dc934: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dc938: 4ab91091  add	x10, x10, #0x42e
0xfffffff0091dc93c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dc940: e00300f9  str	x0, [sp]
0xfffffff0091dc944: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc948: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc94c: c56aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc950: 150080d2  mov	x21, #0
0xfffffff0091dc954: 140080d2  mov	x20, #0
0xfffffff0091dc958: 1c0080d2  mov	x28, #0
0xfffffff0091dc95c: 1b0080d2  mov	x27, #0
0xfffffff0091dc960: bcfeff17  b	#0xfffffff0091dc450
0xfffffff0091dc964: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc968: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dc96c: a88f8052  mov	w8, #0x47d
0xfffffff0091dc970: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dc974: 29993591  add	x9, x9, #0xd66
0xfffffff0091dc978: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dc97c: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dc980: 08e51091  add	x8, x8, #0x439
0xfffffff0091dc984: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dc988: 4a651191  add	x10, x10, #0x459
0xfffffff0091dc98c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dc990: e00300f9  str	x0, [sp]
0xfffffff0091dc994: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc998: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc99c: b16aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc9a0: 150080d2  mov	x21, #0
0xfffffff0091dc9a4: 140080d2  mov	x20, #0
0xfffffff0091dc9a8: 1c0080d2  mov	x28, #0
0xfffffff0091dc9ac: a9feff17  b	#0xfffffff0091dc450
0xfffffff0091dc9b0: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc9b4: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dc9b8: 08908052  mov	w8, #0x480
0xfffffff0091dc9bc: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dc9c0: 29993591  add	x9, x9, #0xd66
0xfffffff0091dc9c4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dc9c8: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dc9cc: 08e51091  add	x8, x8, #0x439
0xfffffff0091dc9d0: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dc9d4: 4a911191  add	x10, x10, #0x464
0xfffffff0091dc9d8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dc9dc: e00300f9  str	x0, [sp]
0xfffffff0091dc9e0: 0016ffb0  adrp	x0, #0xfffffff00749d000
