; Candidate 7564
; ADRP+ADD at VM 0xfffffff008872dc0 (fileoff 0x186edc0): page=0x1fe9a1000 add_imm=0xe0f

0xfffffff008872d40: 00008052  mov	w0, #0
0xfffffff008872d44: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008872d48: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008872d4c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008872d50: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008872d54: ff030291  add	sp, sp, #0x80
0xfffffff008872d58: ff0f5fd6  retab	
0xfffffff008872d5c: 7f2303d5  pacibsp	
0xfffffff008872d60: ff8301d1  sub	sp, sp, #0x60
0xfffffff008872d64: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008872d68: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008872d6c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008872d70: fd430191  add	x29, sp, #0x50
0xfffffff008872d74: f30300aa  mov	x19, x0
0xfffffff008872d78: 600b8052  mov	w0, #0x5b
0xfffffff008872d7c: e1008052  mov	w1, #7
0xfffffff008872d80: 94220094  bl	#0xfffffff00887b7d0
0xfffffff008872d84: a0040034  cbz	w0, #0xfffffff008872e18
0xfffffff008872d88: 600b8052  mov	w0, #0x5b
0xfffffff008872d8c: a3220094  bl	#0xfffffff00887b818
0xfffffff008872d90: f50300aa  mov	x21, x0
0xfffffff008872d94: 06050194  bl	#0xfffffff0088b41ac
0xfffffff008872d98: f40300aa  mov	x20, x0
0xfffffff008872d9c: e0008052  mov	w0, #7
0xfffffff008872da0: ac220094  bl	#0xfffffff00887b850
0xfffffff008872da4: 75010034  cbz	w21, #0xfffffff008872dd0
0xfffffff008872da8: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff008872dac: 08992b91  add	x8, x8, #0xae6
0xfffffff008872db0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008872db4: 680b8052  mov	w8, #0x5b
0xfffffff008872db8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008872dbc: f40300f9  str	x20, [sp]
0xfffffff008872dc0: 004dffb0  adrp	x0, #0xfffffff007213000
0xfffffff008872dc4: 003c3891  add	x0, x0, #0xe0f
0xfffffff008872dc8: a611d597  bl	#0xfffffff007db7460
0xfffffff008872dcc: 13000014  b	#0xfffffff008872e18
0xfffffff008872dd0: f7040194  bl	#0xfffffff0088b41ac
0xfffffff008872dd4: f40300aa  mov	x20, x0
0xfffffff008872dd8: e0008052  mov	w0, #7
0xfffffff008872ddc: 9d220094  bl	#0xfffffff00887b850
0xfffffff008872de0: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff008872de4: 08992b91  add	x8, x8, #0xae6
0xfffffff008872de8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008872dec: 680b8052  mov	w8, #0x5b
0xfffffff008872df0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008872df4: f40300f9  str	x20, [sp]
0xfffffff008872df8: a04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008872dfc: 00003a91  add	x0, x0, #0xe80
0xfffffff008872e00: a18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008872e04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008872e08: 234ffff0  adrp	x3, #0xfffffff007259000
0xfffffff008872e0c: 63540c91  add	x3, x3, #0x315
0xfffffff008872e10: 02008052  mov	w2, #0
0xfffffff008872e14: c700eb97  bl	#0xfffffff008333130
0xfffffff008872e18: 94088052  mov	w20, #0x44
0xfffffff008872e1c: 140ca072  movk	w20, #0x60, lsl #16
0xfffffff008872e20: 82121f11  add	w2, w20, #0x7c4
0xfffffff008872e24: e00313aa  mov	x0, x19
0xfffffff008872e28: 21008052  mov	w1, #1
0xfffffff008872e2c: 23008052  mov	w3, #1
0xfffffff008872e30: d0480094  bl	#0xfffffff008885170
0xfffffff008872e34: e00313aa  mov	x0, x19
0xfffffff008872e38: 21008052  mov	w1, #1
0xfffffff008872e3c: 82088052  mov	w2, #0x44
