; Candidate 2152
; ADRP+ADD at VM 0xfffffff008592b94 (fileoff 0x158eb94): page=0x1ff417000 add_imm=0xd20

0xfffffff008592b14: d13b8cd2  mov	x17, #0x61de
0xfffffff008592b18: 3002c1da  pacia	x16, x17
0xfffffff008592b1c: e10310aa  mov	x1, x16
0xfffffff008592b20: 020080d2  mov	x2, #0
0xfffffff008592b24: 050080d2  mov	x5, #0
0xfffffff008592b28: 060080d2  mov	x6, #0
0xfffffff008592b2c: 04020014  b	#0xfffffff00859333c
0xfffffff008592b30: 7f2303d5  pacibsp	
0xfffffff008592b34: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008592b38: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008592b3c: fd430091  add	x29, sp, #0x10
0xfffffff008592b40: f30301aa  mov	x19, x1
0xfffffff008592b44: a8a0ffd0  adrp	x8, #0xfffffff0079a8000
0xfffffff008592b48: 08c13091  add	x8, x8, #0xc30
0xfffffff008592b4c: 010140f9  ldr	x1, [x8]
0xfffffff008592b50: 6944f597  bl	#0xfffffff0082e3cf4
0xfffffff008592b54: 200100b4  cbz	x0, #0xfffffff008592b78
0xfffffff008592b58: e10313aa  mov	x1, x19
0xfffffff008592b5c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008592b60: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008592b64: ff2303d5  autibsp	
0xfffffff008592b68: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008592b6c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008592b74
0xfffffff008592b70: 208e38d4  brk	#0xc471
0xfffffff008592b74: 1afaff17  b	#0xfffffff0085913dc
0xfffffff008592b78: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008592b7c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008592b80: ff0f5fd6  retab	
0xfffffff008592b84: 7f2303d5  pacibsp	
0xfffffff008592b88: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008592b8c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008592b90: fd430091  add	x29, sp, #0x10
0xfffffff008592b94: a0a0fff0  adrp	x0, #0xfffffff0079a9000
0xfffffff008592b98: 00803491  add	x0, x0, #0xd20
0xfffffff008592b9c: 560ef797  bl	#0xfffffff0083564f4
0xfffffff008592ba0: f30300aa  mov	x19, x0
0xfffffff008592ba4: 28008052  mov	w8, #1
0xfffffff008592ba8: 08000039  strb	w8, [x0]
0xfffffff008592bac: 000080d2  mov	x0, #0
0xfffffff008592bb0: ea000094  bl	#0xfffffff008592f58
0xfffffff008592bb4: 600600f9  str	x0, [x19, #8]
0xfffffff008592bb8: e00313aa  mov	x0, x19
0xfffffff008592bbc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008592bc0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008592bc4: ff0f5fd6  retab	
0xfffffff008592bc8: 5f2403d5  bti	c
0xfffffff008592bcc: 000440f9  ldr	x0, [x0, #8]
0xfffffff008592bd0: 100040f9  ldr	x16, [x0]
0xfffffff008592bd4: f10300aa  mov	x17, x0
0xfffffff008592bd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008592bdc: 301ac1da  autda	x16, x17
0xfffffff008592be0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008592be4: e10310aa  mov	x1, x16
0xfffffff008592be8: f00308aa  mov	x16, x8
0xfffffff008592bec: f10301aa  mov	x17, x1
0xfffffff008592bf0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008592bf4: 110a1fd7  braa	x16, x17
0xfffffff008592bf8: 5f2403d5  bti	c
0xfffffff008592bfc: c0035fd6  ret	
0xfffffff008592c00: 5f2403d5  bti	c
0xfffffff008592c04: c0035fd6  ret	
0xfffffff008592c08: 5f2403d5  bti	c
0xfffffff008592c0c: 000440f9  ldr	x0, [x0, #8]
0xfffffff008592c10: 100040f9  ldr	x16, [x0]
