; Candidate 3404
; ADRP+ADD at VM 0xfffffff00873c0e4 (fileoff 0x17380e4): page=0x1fe9f5000 add_imm=0xd90

0xfffffff00873c064: 68f20e11  add	w8, w19, #0x3bc
0xfffffff00873c068: 1f011b6b  cmp	w8, w27
0xfffffff00873c06c: 480c0054  b.hi	#0xfffffff00873c1f4
0xfffffff00873c070: 480313ab  adds	x8, x26, x19
0xfffffff00873c074: ea379f1a  cset	w10, hs
0xfffffff00873c078: 49014093  sbfx	x9, x10, #0, #1
0xfffffff00873c07c: 2a010aca  eor	x10, x9, x10
0xfffffff00873c080: 0a0c00b5  cbnz	x10, #0xfffffff00873c200
0xfffffff00873c084: e90bf8b7  tbnz	x9, #0x3f, #0xfffffff00873c200
0xfffffff00873c088: 16a943b9  ldr	w22, [x8, #0x3a8]
0xfffffff00873c08c: 800e40f9  ldr	x0, [x20, #0x18]
0xfffffff00873c090: e2a30091  add	x2, sp, #0x28
0xfffffff00873c094: e3830091  add	x3, sp, #0x20
0xfffffff00873c098: e10315aa  mov	x1, x21
0xfffffff00873c09c: 96e80194  bl	#0xfffffff0087b62f4
0xfffffff00873c0a0: a0080034  cbz	w0, #0xfffffff00873c1b4
0xfffffff00873c0a4: 00cb400d  ld1r	{v0.2s}, [x24]
0xfffffff00873c0a8: 20a300fc  stur	d0, [x25, #0xa]
0xfffffff00873c0ac: 3f2301b8  stur	wzr, [x25, #0x12]
0xfffffff00873c0b0: bf0200f1  cmp	x21, #0
0xfffffff00873c0b4: e8018052  mov	w8, #0xf
0xfffffff00873c0b8: 08019f1a  csel	w8, w8, wzr, eq
0xfffffff00873c0bc: 28831f78  sturh	w8, [x25, #-8]
0xfffffff00873c0c0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00873c0c4: 170940f9  ldr	x23, [x8, #0x10]
0xfffffff00873c0c8: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00873c0cc: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00873c0d0: c90100b4  cbz	x9, #0xfffffff00873c108
0xfffffff00873c0d4: e9e58052  mov	w9, #0x72f
0xfffffff00873c0d8: 8850fff0  adrp	x8, #0xfffffff00714f000
0xfffffff00873c0dc: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00873c0e0: e82700a9  stp	x8, x9, [sp]
0xfffffff00873c0e4: a04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00873c0e8: 00403691  add	x0, x0, #0xd90
0xfffffff00873c0ec: 0196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873c0f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873c0f4: 02008052  mov	w2, #0
0xfffffff00873c0f8: e34ffff0  adrp	x3, #0xfffffff00713b000
0xfffffff00873c0fc: 63fc3e91  add	x3, x3, #0xfbf
0xfffffff00873c100: 0cdcef97  bl	#0xfffffff008333130
0xfffffff00873c104: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00873c108: e94228ab  adds	x9, x23, w8, uxtw
0xfffffff00873c10c: 42050054  b.hs	#0xfffffff00873c1b4
0xfffffff00873c110: 29a560d3  ubfx	x9, x9, #0x20, #0xa
0xfffffff00873c114: 29030079  strh	w9, [x25]
0xfffffff00873c118: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff00873c11c: 370940f9  ldr	x23, [x9, #0x10]
0xfffffff00873c120: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00873c124: 690000b5  cbnz	x9, #0xfffffff00873c130
0xfffffff00873c128: 087d4092  and	x8, x8, #0xffffffff
0xfffffff00873c12c: 0e000014  b	#0xfffffff00873c164
0xfffffff00873c130: 09e68052  mov	w9, #0x730
0xfffffff00873c134: 8850fff0  adrp	x8, #0xfffffff00714f000
0xfffffff00873c138: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00873c13c: e82700a9  stp	x8, x9, [sp]
0xfffffff00873c140: a04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00873c144: 00403691  add	x0, x0, #0xd90
0xfffffff00873c148: 0196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873c14c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873c150: 02008052  mov	w2, #0
0xfffffff00873c154: e34ffff0  adrp	x3, #0xfffffff00713b000
0xfffffff00873c158: 63cc3f91  add	x3, x3, #0xff3
0xfffffff00873c15c: f5dbef97  bl	#0xfffffff008333130
0xfffffff00873c160: e82340b9  ldr	w8, [sp, #0x20]
