; Candidate 14812
; ADRP+ADD at VM 0xfffffff009962780 (fileoff 0x295e780): page=0x1fdc88000 add_imm=0xd2b

0xfffffff009962700: 48020037  tbnz	w8, #0, #0xfffffff009962748
0xfffffff009962704: 01000014  b	#0xfffffff009962708
0xfffffff009962708: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff00996270c: 081543b9  ldr	w8, [x8, #0x314]
0xfffffff009962710: e10308aa  mov	x1, x8
0xfffffff009962714: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009962718: 081943b9  ldr	w8, [x8, #0x318]
0xfffffff00996271c: e20308aa  mov	x2, x8
0xfffffff009962720: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009962724: 081d43b9  ldr	w8, [x8, #0x31c]
0xfffffff009962728: e30308aa  mov	x3, x8
0xfffffff00996272c: a8035fb8  ldur	w8, [x29, #-0x10]
0xfffffff009962730: e40308aa  mov	x4, x8
0xfffffff009962734: 00058052  mov	w0, #0x28
0xfffffff009962738: 0030a672  movk	w0, #0x3180, lsl #16
0xfffffff00996273c: 050080d2  mov	x5, #0
0xfffffff009962740: f16da097  bl	#0xfffffff00817df04
0xfffffff009962744: 01000014  b	#0xfffffff009962748
0xfffffff009962748: 01000014  b	#0xfffffff00996274c
0xfffffff00996274c: 48588052  mov	w8, #0x2c2
0xfffffff009962750: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009962754: a8431eb8  stur	w8, [x29, #-0x1c]
0xfffffff009962758: 99000014  b	#0xfffffff0099629bc
0xfffffff00996275c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009962760: 081d43b9  ldr	w8, [x8, #0x31c]
0xfffffff009962764: aa035fb8  ldur	w10, [x29, #-0x10]
0xfffffff009962768: 29008052  mov	w9, #1
0xfffffff00996276c: 2921ca1a  lsl	w9, w9, w10
0xfffffff009962770: 0801096a  ands	w8, w8, w9
0xfffffff009962774: e8179f1a  cset	w8, eq
0xfffffff009962778: c8000037  tbnz	w8, #0, #0xfffffff009962790
0xfffffff00996277c: 01000014  b	#0xfffffff009962780
0xfffffff009962780: 40e4fe90  adrp	x0, #0xfffffff0075ea000
0xfffffff009962784: 00ac3491  add	x0, x0, #0xd2b
0xfffffff009962788: 26d2a797  bl	#0xfffffff008357020
0xfffffff00996278c: 01000014  b	#0xfffffff009962790
0xfffffff009962790: e81740b9  ldr	w8, [sp, #0x14]
0xfffffff009962794: a8031eb8  stur	w8, [x29, #-0x20]
0xfffffff009962798: a9835ef8  ldur	x9, [x29, #-0x18]
0xfffffff00996279c: 291543b9  ldr	w9, [x9, #0x314]
0xfffffff0099627a0: a9031eb8  stur	w9, [x29, #-0x20]
0xfffffff0099627a4: a8c31db8  stur	w8, [x29, #-0x24]
0xfffffff0099627a8: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff0099627ac: 08c12891  add	x8, x8, #0xa30
0xfffffff0099627b0: a9035fb8  ldur	w9, [x29, #-0x10]
0xfffffff0099627b4: 087969f8  ldr	x8, [x8, x9, lsl #3]
0xfffffff0099627b8: 080100f1  subs	x8, x8, #0
0xfffffff0099627bc: e8179f1a  cset	w8, eq
0xfffffff0099627c0: 28010037  tbnz	w8, #0, #0xfffffff0099627e4
0xfffffff0099627c4: 01000014  b	#0xfffffff0099627c8
0xfffffff0099627c8: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff0099627cc: 08c12891  add	x8, x8, #0xa30
0xfffffff0099627d0: a9035fb8  ldur	w9, [x29, #-0x10]
0xfffffff0099627d4: 007969f8  ldr	x0, [x8, x9, lsl #3]
0xfffffff0099627d8: 217c0594  bl	#0xfffffff009ac185c
0xfffffff0099627dc: e01300b9  str	w0, [sp, #0x10]
0xfffffff0099627e0: 04000014  b	#0xfffffff0099627f0
0xfffffff0099627e4: 08008052  mov	w8, #0
0xfffffff0099627e8: e81300b9  str	w8, [sp, #0x10]
0xfffffff0099627ec: 01000014  b	#0xfffffff0099627f0
0xfffffff0099627f0: e81340b9  ldr	w8, [sp, #0x10]
0xfffffff0099627f4: a8c31db8  stur	w8, [x29, #-0x24]
0xfffffff0099627f8: a9035fb8  ldur	w9, [x29, #-0x10]
0xfffffff0099627fc: 28008052  mov	w8, #1
